Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,4.631n,524,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.14n,524,
Delay(Ch1,Ch2),64.54ms,64.632297m,64.54m,66.08m,93.32µ,524,

