Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,9.948n,471,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.7n,471,
Delay(Ch1,Ch2),64.7ms,64.788031m,64.7m,66.08m,93.45µ,471,

