Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,3.966n,540,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,37.26n,540,
Delay(Ch1,Ch2),64.49ms,64.585275m,64.49m,66.08m,93.31µ,540,

