Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,21.01n,751,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,34.18n,751,
Delay(Ch1,Ch2),63.87ms,63.965266m,63.87m,66.08m,93.27µ,751,

