Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,19.55n,116,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,37.91n,116,
Delay(Ch1,Ch2),65.74ms,65.831177m,65.74m,66.08m,82.27µ,116,

