Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,11.97n,813,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.63n,813,
Delay(Ch1,Ch2),63.69ms,63.78325m,63.69m,66.08m,93.19µ,813,

