Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,12.68n,551,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,36.9n,551,
Delay(Ch1,Ch2),64.46ms,64.552954m,64.46m,66.08m,93.31µ,551,

