Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,6.35n,501,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,36.5n,501,
Delay(Ch1,Ch2),64.61ms,64.699874m,64.61m,66.08m,93.35µ,501,

