Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,11.65n,197,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,33.79n,197,
Delay(Ch1,Ch2),65.5ms,65.595077m,65.5m,66.08m,92.23µ,197,

