Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,10.41n,395,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.27n,395,
Delay(Ch1,Ch2),64.92ms,65.011767m,64.92m,66.08m,93.49µ,395,

