Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,10.02n,850,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,37.3n,850,
Delay(Ch1,Ch2),63.58ms,63.674743m,63.58m,66.08m,93.13µ,850,

