Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,5.74n,738,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,36.23n,738,
Delay(Ch1,Ch2),63.91ms,64.003461m,63.91m,66.08m,93.27µ,738,

