Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,12.81n,637,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,37.47n,637,
Delay(Ch1,Ch2),64.21ms,64.300193m,64.21m,66.08m,93.33µ,637,

