Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,21.15n,100,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,37.38n,100,
Delay(Ch1,Ch2),65.79ms,65.876317m,65.79m,66.08m,77.0µ,100,

