Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,16.4n,22.0,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,37.81n,22.0,
Delay(Ch1,Ch2),66.02ms,66.051451m,66.02m,66.08m,19.18µ,22.0,

