Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,7.724n,488,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,37.8n,488,
Delay(Ch1,Ch2),64.65ms,64.738062m,64.65m,66.08m,93.4µ,488,

