Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,8.547n,835,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,36.84n,835,
Delay(Ch1,Ch2),63.63ms,63.718735m,63.63m,66.08m,93.14µ,835,

