Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,18.79n,782,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,35.57n,782,
Delay(Ch1,Ch2),63.78ms,63.874197m,63.78m,66.08m,93.27µ,782,

