Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,5.923n,736,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,36.89n,736,
Delay(Ch1,Ch2),63.92ms,64.009338m,63.92m,66.08m,93.27µ,736,

