Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,11.52n,596,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.74n,596,
Delay(Ch1,Ch2),64.33ms,64.420732m,64.33m,66.08m,93.29µ,596,

