Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,4.349n,528,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,37.9n,528,
Delay(Ch1,Ch2),64.53ms,64.620538m,64.53m,66.08m,93.32µ,528,

