Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,9.7n,704,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,37.25n,704,
Delay(Ch1,Ch2),64.01ms,64.103325m,64.01m,66.08m,93.29µ,704,

