Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,9.108n,468,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.03n,468,
Delay(Ch1,Ch2),64.71ms,64.796854m,64.71m,66.08m,93.46µ,468,

