Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,23.92n,91.0,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,35.82n,91.0,
Delay(Ch1,Ch2),65.82ms,65.901151m,65.82m,66.08m,73.13µ,91.0,

