Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,10.11n,824,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,38.0n,824,
Delay(Ch1,Ch2),63.66ms,63.75099m,63.66m,66.08m,93.16µ,824,

