Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,13.01n,35.0,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,37.46n,35.0,
Delay(Ch1,Ch2),65.98ms,66.031985m,65.98m,66.08m,30.38µ,35.0,

