[2023-09-29 10:41:47.948205] [gNB 0][rsc 0][Rx 0][sfn 728][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -92.7 dBm

[2023-09-29 10:41:47.948679] [gNB 1][rsc 0][Rx 0][sfn 728][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -73.4 dBm

[2023-09-29 10:41:47.949216] [gNB 2][rsc 0][Rx 0][sfn 728][slot 4] DL PRS ToA ==> -1.5 / 2048 samples, peak channel power -53.6 dBm, SNR +4.0 dB, rsrp -72.5 dBm

[2023-09-29 10:41:47.949727] [gNB 3][rsc 0][Rx 0][sfn 728][slot 5] DL PRS ToA ==> -1.8 / 2048 samples, peak channel power -58.0 dBm, SNR +4.0 dB, rsrp -77.3 dBm

[2023-09-29 10:41:47.958189] [gNB 0][rsc 0][Rx 0][sfn 729][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.4 dBm

[2023-09-29 10:41:47.958665] [gNB 1][rsc 0][Rx 0][sfn 729][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.7 dBm

[2023-09-29 10:41:47.959149] [gNB 2][rsc 0][Rx 0][sfn 729][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -71.8 dBm

[2023-09-29 10:41:47.959641] [gNB 3][rsc 0][Rx 0][sfn 729][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -58.3 dBm, SNR +4.0 dB, rsrp -75.4 dBm

[2023-09-29 10:41:47.968149] [gNB 0][rsc 0][Rx 0][sfn 730][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR -6753088.5 dB, rsrp -79.8 dBm

[2023-09-29 10:41:47.968631] [gNB 1][rsc 0][Rx 0][sfn 730][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.3 dBm

[2023-09-29 10:41:47.969149] [gNB 2][rsc 0][Rx 0][sfn 730][slot 4] DL PRS ToA ==> -1.8 / 2048 samples, peak channel power -54.1 dBm, SNR +4.0 dB, rsrp -72.3 dBm

[2023-09-29 10:41:47.969691] [gNB 3][rsc 0][Rx 0][sfn 730][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -58.3 dBm, SNR +4.0 dB, rsrp -76.5 dBm

[2023-09-29 10:41:47.978151] [gNB 0][rsc 0][Rx 0][sfn 731][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -77.2 dBm

[2023-09-29 10:41:47.978629] [gNB 1][rsc 0][Rx 0][sfn 731][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.6 dBm

[2023-09-29 10:41:47.979196] [gNB 2][rsc 0][Rx 0][sfn 731][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -71.2 dBm

