[2023-09-29 11:13:28.539580] [gNB 0][rsc 0][Rx 0][sfn 643][slot 2] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp -80.7 dBm

[2023-09-29 11:13:28.539981] [gNB 1][rsc 0][Rx 0][sfn 643][slot 3] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -56.4 dBm, SNR +4.0 dB, rsrp -81.8 dBm

[2023-09-29 11:13:28.540328] [gNB 2][rsc 0][Rx 0][sfn 643][slot 4] DL PRS ToA ==> -9.0 / 4096 samples, peak channel power -55.8 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:13:28.540700] [gNB 3][rsc 0][Rx 0][sfn 643][slot 5] DL PRS ToA ==> -9.0 / 4096 samples, peak channel power -55.1 dBm, SNR +4.0 dB, rsrp -81.0 dBm

[2023-09-29 11:13:28.546149] [gNB 0][rsc 0][Rx 0][sfn 644][slot 2] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -53.5 dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-29 11:13:28.546476] [gNB 1][rsc 0][Rx 0][sfn 644][slot 3] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -57.8 dBm, SNR +4.0 dB, rsrp -82.9 dBm

[2023-09-29 11:13:28.546800] [gNB 2][rsc 0][Rx 0][sfn 644][slot 4] DL PRS ToA ==> -1035.0 / 4096 samples, peak channel power -52.4 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:13:28.547114] [gNB 3][rsc 0][Rx 0][sfn 644][slot 5] DL PRS ToA ==> -9.0 / 4096 samples, peak channel power -54.8 dBm, SNR +4.0 dB, rsrp -80.8 dBm

[2023-09-29 11:13:28.552796] [gNB 0][rsc 0][Rx 0][sfn 645][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -53.4 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-29 11:13:28.553133] [gNB 1][rsc 0][Rx 0][sfn 645][slot 3] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -56.9 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 11:13:28.553468] [gNB 2][rsc 0][Rx 0][sfn 645][slot 4] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -52.5 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:13:28.553806] [gNB 3][rsc 0][Rx 0][sfn 645][slot 5] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -54.7 dBm, SNR +4.0 dB, rsrp -82.7 dBm

[2023-09-29 11:13:28.559488] [gNB 0][rsc 0][Rx 0][sfn 646][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -53.6 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 11:13:28.559790] [gNB 1][rsc 0][Rx 0][sfn 646][slot 3] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -56.0 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 11:13:28.560092] [gNB 2][rsc 0][Rx 0][sfn 646][slot 4] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -53.2 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:13:28.560527] [gNB 3][rsc 0][Rx 0][sfn 646][slot 5] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -54.9 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:13:28.566087] [gNB 0][rsc 0][Rx 0][sfn 647][slot 2] DL PRS ToA ==> -9.0 / 4096 samples, peak channel power -54.1 dBm, SNR +4.0 dB, rsrp -81.9 dBm

[2023-09-29 11:13:28.566424] [gNB 1][rsc 0][Rx 0][sfn 647][slot 3] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -56.0 dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-29 11:13:28.566762] [gNB 2][rsc 0][Rx 0][sfn 647][slot 4] DL PRS ToA ==> -16.0 / 4096 samples, peak channel power -54.5 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:13:28.567105] [gNB 3][rsc 0][Rx 0][sfn 647][slot 5] DL PRS ToA ==> -13.0 / 4096 samples, peak channel power -55.4 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:13:28.572807] [gNB 0][rsc 0][Rx 0][sfn 648][slot 2] DL PRS ToA ==> -9.0 / 4096 samples, peak channel power -55.6 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-29 11:13:28.573129] [gNB 1][rsc 0][Rx 0][sfn 648][slot 3] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -56.1 dBm, SNR +4.0 dB, rsrp -83.3 dBm

[2023-09-29 11:13:28.573463] [gNB 2][rsc 0][Rx 0][sfn 648][slot 4] DL PRS ToA ==> -15.0 / 4096 samples, peak channel power -54.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:13:28.573893] [gNB 3][rsc 0][Rx 0][sfn 648][slot 5] DL PRS ToA ==> -13.0 / 4096 samples, peak channel power -56.4 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

