[2023-09-29 11:18:37.260815] [gNB 0][rsc 0][Rx 0][sfn 892][slot 2] DL PRS ToA ==> 9.5 / 4096 samples, peak channel power -59.1 dBm, SNR +4.0 dB, rsrp -81.0 dBm

[2023-09-29 11:18:37.261365] [gNB 1][rsc 0][Rx 0][sfn 892][slot 3] DL PRS ToA ==> 8.8 / 4096 samples, peak channel power -61.6 dBm, SNR +4.0 dB, rsrp -81.4 dBm

[2023-09-29 11:18:37.261842] [gNB 2][rsc 0][Rx 0][sfn 892][slot 4] DL PRS ToA ==> 3.2 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:18:37.262247] [gNB 3][rsc 0][Rx 0][sfn 892][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.8 dBm

[2023-09-29 11:18:37.267312] [gNB 0][rsc 0][Rx 0][sfn 893][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 11:18:37.267767] [gNB 1][rsc 0][Rx 0][sfn 893][slot 3] DL PRS ToA ==> 8.8 / 4096 samples, peak channel power -61.9 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 11:18:37.268225] [gNB 2][rsc 0][Rx 0][sfn 893][slot 4] DL PRS ToA ==> 2.5 / 4096 samples, peak channel power -56.3 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:18:37.268660] [gNB 3][rsc 0][Rx 0][sfn 893][slot 5] DL PRS ToA ==> 5.2 / 4096 samples, peak channel power -60.7 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-29 11:18:37.273863] [gNB 0][rsc 0][Rx 0][sfn 894][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 11:18:37.274241] [gNB 1][rsc 0][Rx 0][sfn 894][slot 3] DL PRS ToA ==> 8.8 / 4096 samples, peak channel power -62.2 dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-29 11:18:37.274597] [gNB 2][rsc 0][Rx 0][sfn 894][slot 4] DL PRS ToA ==> 3.5 / 4096 samples, peak channel power -54.6 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:18:37.274943] [gNB 3][rsc 0][Rx 0][sfn 894][slot 5] DL PRS ToA ==> 5.2 / 4096 samples, peak channel power -60.9 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-29 11:18:37.280587] [gNB 0][rsc 0][Rx 0][sfn 895][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-29 11:18:37.280965] [gNB 1][rsc 0][Rx 0][sfn 895][slot 3] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -62.2 dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-29 11:18:37.281412] [gNB 2][rsc 0][Rx 0][sfn 895][slot 4] DL PRS ToA ==> 2.8 / 4096 samples, peak channel power -53.3 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:18:37.281842] [gNB 3][rsc 0][Rx 0][sfn 895][slot 5] DL PRS ToA ==> 5.2 / 4096 samples, peak channel power -61.0 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:18:37.287169] [gNB 0][rsc 0][Rx 0][sfn 896][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-29 11:18:37.287545] [gNB 1][rsc 0][Rx 0][sfn 896][slot 3] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -62.1 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 11:18:37.287972] [gNB 2][rsc 0][Rx 0][sfn 896][slot 4] DL PRS ToA ==> 2.8 / 4096 samples, peak channel power -52.5 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:18:37.288325] [gNB 3][rsc 0][Rx 0][sfn 896][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-29 11:18:37.293864] [gNB 0][rsc 0][Rx 0][sfn 897][slot 2] DL PRS ToA ==> 9.2 / 4096 samples, peak channel power -59.5 dBm, SNR -2622080.2 dB, rsrp -81.8 dBm

[2023-09-29 11:18:37.294237] [gNB 1][rsc 0][Rx 0][sfn 897][slot 3] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -62.0 dBm, SNR -2622080.2 dB, rsrp -83.0 dBm

[2023-09-29 11:18:37.294590] [gNB 2][rsc 0][Rx 0][sfn 897][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -53.8 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:18:37.294943] [gNB 3][rsc 0][Rx 0][sfn 897][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:18:37.300479] [gNB 0][rsc 0][Rx 0][sfn 898][slot 2] DL PRS ToA ==> 9.2 / 4096 samples, peak channel power -59.6 dBm, SNR -2622080.2 dB, rsrp -81.8 dBm

[2023-09-29 11:18:37.300850] [gNB 1][rsc 0][Rx 0][sfn 898][slot 3] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -62.2 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 11:18:37.301218] [gNB 2][rsc 0][Rx 0][sfn 898][slot 4] DL PRS ToA ==> 2.5 / 4096 samples, peak channel power -54.7 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:18:37.301776] [gNB 3][rsc 0][Rx 0][sfn 898][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-29 11:18:37.307173] [gNB 0][rsc 0][Rx 0][sfn 899][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 11:18:37.307532] [gNB 1][rsc 0][Rx 0][sfn 899][slot 3] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -62.3 dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-29 11:18:37.307993] [gNB 2][rsc 0][Rx 0][sfn 899][slot 4] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -56.4 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:18:37.308578] [gNB 3][rsc 0][Rx 0][sfn 899][slot 5] DL PRS ToA ==> 5.2 / 4096 samples, peak channel power -61.0 dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-29 11:18:37.313800] [gNB 0][rsc 0][Rx 0][sfn 900][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 11:18:37.314258] [gNB 1][rsc 0][Rx 0][sfn 900][slot 3] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -62.2 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 11:18:37.314618] [gNB 2][rsc 0][Rx 0][sfn 900][slot 4] DL PRS ToA ==> 2.2 / 4096 samples, peak channel power -56.3 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:18:37.315071] [gNB 3][rsc 0][Rx 0][sfn 900][slot 5] DL PRS ToA ==> 5.0 / 4096 samples, peak channel power -60.9 dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-29 11:18:37.320479] [gNB 0][rsc 0][Rx 0][sfn 901][slot 2] DL PRS ToA ==> 9.0 / 4096 samples, peak channel power -59.6 dBm, SNR -2622080.2 dB, rsrp -81.8 dBm

[2023-09-29 11:18:37.320841] [gNB 1][rsc 0][Rx 0][sfn 901][slot 3] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -62.1 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 11:18:37.321264] [gNB 2][rsc 0][Rx 0][sfn 901][slot 4] DL PRS ToA ==> 2.2 / 4096 samples, peak channel power -55.5 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:18:37.322010] [gNB 3][rsc 0][Rx 0][sfn 901][slot 5] DL PRS ToA ==> 5.0 / 4096 samples, peak channel power -60.8 dBm, SNR +4.0 dB, rsrp -82.5 dBm

[2023-09-29 11:18:37.327186] [gNB 0][rsc 0][Rx 0][sfn 902][slot 2] DL PRS ToA ==> 9.0 / 4096 samples, peak channel power -59.6 dBm, SNR -2622080.2 dB, rsrp -81.6 dBm

[2023-09-29 11:18:37.327565] [gNB 1][rsc 0][Rx 0][sfn 902][slot 3] DL PRS ToA ==> 8.2 / 4096 samples, peak channel power -62.2 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 11:18:37.327952] [gNB 2][rsc 0][Rx 0][sfn 902][slot 4] DL PRS ToA ==> 2.2 / 4096 samples, peak channel power -55.0 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:18:37.328711] [gNB 3][rsc 0][Rx 0][sfn 902][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.4 dBm

[2023-09-29 11:18:37.333813] [gNB 0][rsc 0][Rx 0][sfn 903][slot 2] DL PRS ToA ==> 9.0 / 4096 samples, peak channel power -59.4 dBm, SNR +4.0 dB, rsrp -80.4 dBm

[2023-09-29 11:18:37.334181] [gNB 1][rsc 0][Rx 0][sfn 903][slot 3] DL PRS ToA ==> 8.2 / 4096 samples, peak channel power -62.3 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 11:18:37.334629] [gNB 2][rsc 0][Rx 0][sfn 903][slot 4] DL PRS ToA ==> 3.2 / 4096 samples, peak channel power -53.9 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:18:37.335733] [gNB 3][rsc 0][Rx 0][sfn 903][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.5 dBm

[2023-09-29 11:18:37.340495] [gNB 0][rsc 0][Rx 0][sfn 904][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-29 11:18:37.340868] [gNB 1][rsc 0][Rx 0][sfn 904][slot 3] DL PRS ToA ==> 8.2 / 4096 samples, peak channel power -62.3 dBm, SNR -2622080.2 dB, rsrp -83.5 dBm

[2023-09-29 11:18:37.341269] [gNB 2][rsc 0][Rx 0][sfn 904][slot 4] DL PRS ToA ==> 3.5 / 4096 samples, peak channel power -52.8 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:18:37.342029] [gNB 3][rsc 0][Rx 0][sfn 904][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-29 11:18:37.347075] [gNB 0][rsc 0][Rx 0][sfn 905][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.8 dBm

[2023-09-29 11:18:37.347435] [gNB 1][rsc 0][Rx 0][sfn 905][slot 3] DL PRS ToA ==> 8.2 / 4096 samples, peak channel power -62.2 dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-29 11:18:37.347800] [gNB 2][rsc 0][Rx 0][sfn 905][slot 4] DL PRS ToA ==> 2.2 / 4096 samples, peak channel power -55.3 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:18:37.348159] [gNB 3][rsc 0][Rx 0][sfn 905][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-29 11:18:37.353803] [gNB 0][rsc 0][Rx 0][sfn 906][slot 2] DL PRS ToA ==> 9.0 / 4096 samples, peak channel power -59.6 dBm, SNR +4.0 dB, rsrp -81.9 dBm

[2023-09-29 11:18:37.354163] [gNB 1][rsc 0][Rx 0][sfn 906][slot 3] DL PRS ToA ==> 8.2 / 4096 samples, peak channel power -62.0 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 11:18:37.354549] [gNB 2][rsc 0][Rx 0][sfn 906][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:18:37.355314] [gNB 3][rsc 0][Rx 0][sfn 906][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.9 dBm

[2023-09-29 11:18:37.360519] [gNB 0][rsc 0][Rx 0][sfn 907][slot 2] DL PRS ToA ==> 8.8 / 4096 samples, peak channel power -59.6 dBm, SNR +4.0 dB, rsrp -81.0 dBm

[2023-09-29 11:18:37.360885] [gNB 1][rsc 0][Rx 0][sfn 907][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 11:18:37.361334] [gNB 2][rsc 0][Rx 0][sfn 907][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -54.1 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:18:37.361687] [gNB 3][rsc 0][Rx 0][sfn 907][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.5 dBm

[2023-09-29 11:18:37.367114] [gNB 0][rsc 0][Rx 0][sfn 908][slot 2] DL PRS ToA ==> 8.8 / 4096 samples, peak channel power -59.5 dBm, SNR -2622080.2 dB, rsrp -81.7 dBm

[2023-09-29 11:18:37.367481] [gNB 1][rsc 0][Rx 0][sfn 908][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

