[2023-09-29 10:12:07.609799] [gNB 0][rsc 0][Rx 0][sfn 691][slot 2] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -52.0 dBm, SNR +4.0 dB, rsrp -77.4 dBm

[2023-09-29 10:12:07.610218] [gNB 1][rsc 0][Rx 0][sfn 691][slot 3] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -59.6 dBm, SNR +4.0 dB, rsrp -81.4 dBm

[2023-09-29 10:12:07.610557] [gNB 2][rsc 0][Rx 0][sfn 691][slot 4] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -54.2 dBm, SNR +4.0 dB, rsrp -79.6 dBm

[2023-09-29 10:12:07.610891] [gNB 3][rsc 0][Rx 0][sfn 691][slot 5] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -58.2 dBm, SNR +4.0 dB, rsrp -81.8 dBm

[2023-09-29 10:12:07.616322] [gNB 0][rsc 0][Rx 0][sfn 692][slot 2] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -52.2 dBm, SNR +4.0 dB, rsrp -79.1 dBm

[2023-09-29 10:12:07.616930] [gNB 1][rsc 0][Rx 0][sfn 692][slot 3] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -60.0 dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

[2023-09-29 10:12:07.617722] [gNB 2][rsc 0][Rx 0][sfn 692][slot 4] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp -79.3 dBm

[2023-09-29 10:12:07.618137] [gNB 3][rsc 0][Rx 0][sfn 692][slot 5] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 10:12:07.623672] [gNB 0][rsc 0][Rx 0][sfn 693][slot 2] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -52.2 dBm, SNR -2622080.2 dB, rsrp -79.0 dBm

[2023-09-29 10:12:07.624024] [gNB 1][rsc 0][Rx 0][sfn 693][slot 3] DL PRS ToA ==> -4.0 / 4096 samples, peak channel power -60.4 dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

[2023-09-29 10:12:07.624402] [gNB 2][rsc 0][Rx 0][sfn 693][slot 4] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -54.2 dBm, SNR -2622080.2 dB, rsrp -80.4 dBm

[2023-09-29 10:12:07.624888] [gNB 3][rsc 0][Rx 0][sfn 693][slot 5] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:12:07.629929] [gNB 0][rsc 0][Rx 0][sfn 694][slot 2] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -52.2 dBm, SNR -2622080.2 dB, rsrp -79.0 dBm

[2023-09-29 10:12:07.630481] [gNB 1][rsc 0][Rx 0][sfn 694][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.1 dBm

[2023-09-29 10:12:07.631028] [gNB 2][rsc 0][Rx 0][sfn 694][slot 4] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -54.5 dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:12:07.631596] [gNB 3][rsc 0][Rx 0][sfn 694][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:12:07.636410] [gNB 0][rsc 0][Rx 0][sfn 695][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622078.0 dB, rsrp -85.8 dBm

[2023-09-29 10:12:07.636873] [gNB 1][rsc 0][Rx 0][sfn 695][slot 3] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -59.9 dBm, SNR -2622077.8 dB, rsrp -82.6 dBm

[2023-09-29 10:12:07.637331] [gNB 2][rsc 0][Rx 0][sfn 695][slot 4] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -54.0 dBm, SNR +4.0 dB, rsrp -79.7 dBm

[2023-09-29 10:12:07.637782] [gNB 3][rsc 0][Rx 0][sfn 695][slot 5] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -58.5 dBm, SNR +4.0 dB, rsrp -83.5 dBm

[2023-09-29 10:12:07.643783] [gNB 0][rsc 0][Rx 0][sfn 696][slot 2] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -52.3 dBm, SNR -2622080.2 dB, rsrp -78.8 dBm

[2023-09-29 10:12:07.644879] [gNB 1][rsc 0][Rx 0][sfn 696][slot 3] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -60.0 dBm, SNR +4.0 dB, rsrp -83.0 dBm

[2023-09-29 10:12:07.645537] [gNB 2][rsc 0][Rx 0][sfn 696][slot 4] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -54.5 dBm, SNR -2622080.2 dB, rsrp -80.4 dBm

[2023-09-29 10:12:07.646108] [gNB 3][rsc 0][Rx 0][sfn 696][slot 5] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -58.7 dBm, SNR +4.0 dB, rsrp -83.2 dBm

[2023-09-29 10:12:07.650116] [gNB 0][rsc 0][Rx 0][sfn 697][slot 2] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -52.3 dBm, SNR +4.0 dB, rsrp -78.0 dBm

[2023-09-29 10:12:07.650613] [gNB 1][rsc 0][Rx 0][sfn 697][slot 3] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -59.7 dBm, SNR +4.0 dB, rsrp -81.7 dBm

[2023-09-29 10:12:07.650999] [gNB 2][rsc 0][Rx 0][sfn 697][slot 4] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp -79.8 dBm

[2023-09-29 10:12:07.651328] [gNB 3][rsc 0][Rx 0][sfn 697][slot 5] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -58.2 dBm, SNR +4.0 dB, rsrp -81.2 dBm

[2023-09-29 10:12:07.656312] [gNB 0][rsc 0][Rx 0][sfn 698][slot 2] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -52.5 dBm, SNR +4.0 dB, rsrp -78.5 dBm

[2023-09-29 10:12:07.656649] [gNB 1][rsc 0][Rx 0][sfn 698][slot 3] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -59.9 dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

[2023-09-29 10:12:07.656985] [gNB 2][rsc 0][Rx 0][sfn 698][slot 4] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -54.7 dBm, SNR +4.0 dB, rsrp -80.1 dBm

[2023-09-29 10:12:07.657358] [gNB 3][rsc 0][Rx 0][sfn 698][slot 5] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 10:12:07.663020] [gNB 0][rsc 0][Rx 0][sfn 699][slot 2] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -52.3 dBm, SNR -2622080.2 dB, rsrp -79.0 dBm

[2023-09-29 10:12:07.663347] [gNB 1][rsc 0][Rx 0][sfn 699][slot 3] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -60.4 dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

[2023-09-29 10:12:07.663684] [gNB 2][rsc 0][Rx 0][sfn 699][slot 4] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -54.5 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:12:07.664015] [gNB 3][rsc 0][Rx 0][sfn 699][slot 5] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -58.6 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 10:12:07.669638] [gNB 0][rsc 0][Rx 0][sfn 700][slot 2] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -52.4 dBm, SNR -2622080.2 dB, rsrp -79.2 dBm

[2023-09-29 10:12:07.669969] [gNB 1][rsc 0][Rx 0][sfn 700][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -84.7 dBm

[2023-09-29 10:12:07.670285] [gNB 2][rsc 0][Rx 0][sfn 700][slot 4] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -54.5 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:12:07.670669] [gNB 3][rsc 0][Rx 0][sfn 700][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.7 dBm

[2023-09-29 10:12:07.676308] [gNB 0][rsc 0][Rx 0][sfn 701][slot 2] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -52.1 dBm, SNR -2622080.2 dB, rsrp -78.9 dBm

[2023-09-29 10:12:07.676647] [gNB 1][rsc 0][Rx 0][sfn 701][slot 3] DL PRS ToA ==> -4.5 / 4096 samples, peak channel power -60.5 dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

[2023-09-29 10:12:07.676984] [gNB 2][rsc 0][Rx 0][sfn 701][slot 4] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -54.3 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:12:07.677386] [gNB 3][rsc 0][Rx 0][sfn 701][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.5 dBm

[2023-09-29 10:12:07.683006] [gNB 0][rsc 0][Rx 0][sfn 702][slot 2] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -52.2 dBm, SNR -2622080.2 dB, rsrp -78.8 dBm

[2023-09-29 10:12:07.683347] [gNB 1][rsc 0][Rx 0][sfn 702][slot 3] DL PRS ToA ==> -6.5 / 4096 samples, peak channel power -60.5 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-29 10:12:07.683681] [gNB 2][rsc 0][Rx 0][sfn 702][slot 4] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -54.4 dBm, SNR -2622080.2 dB, rsrp -80.4 dBm

[2023-09-29 10:12:07.683972] [gNB 3][rsc 0][Rx 0][sfn 702][slot 5] DL PRS ToA ==> -6.5 / 4096 samples, peak channel power -59.2 dBm, SNR -2622080.2 dB, rsrp -83.0 dBm

[2023-09-29 10:12:07.689641] [gNB 0][rsc 0][Rx 0][sfn 703][slot 2] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -52.4 dBm, SNR +4.0 dB, rsrp -78.7 dBm

[2023-09-29 10:12:07.689966] [gNB 1][rsc 0][Rx 0][sfn 703][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.9 dBm

[2023-09-29 10:12:07.690293] [gNB 2][rsc 0][Rx 0][sfn 703][slot 4] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -54.6 dBm, SNR +4.0 dB, rsrp -80.2 dBm

[2023-09-29 10:12:07.690663] [gNB 3][rsc 0][Rx 0][sfn 703][slot 5] DL PRS ToA ==> -6.5 / 4096 samples, peak channel power -58.8 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:12:07.696328] [gNB 0][rsc 0][Rx 0][sfn 704][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.4 dBm

