[2023-09-28 19:04:15.449899] [gNB 1][rsc 0][Rx 0][sfn 363][slot 3] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -59.4 dBm, SNR +4.0 dB, rsrp -82.7 dBm

[2023-09-28 19:04:15.450341] [gNB 2][rsc 0][Rx 0][sfn 363][slot 4] DL PRS ToA ==> -0.5 / 4096 samples, peak channel power -57.1 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-28 19:04:15.451843] [gNB 3][rsc 0][Rx 0][sfn 363][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-28 19:04:15.456044] [gNB 0][rsc 0][Rx 0][sfn 364][slot 2] DL PRS ToA ==> -3.5 / 4096 samples, peak channel power -51.6 dBm, SNR +4.0 dB, rsrp -76.3 dBm

[2023-09-28 19:04:15.456508] [gNB 1][rsc 0][Rx 0][sfn 364][slot 3] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -59.4 dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-28 19:04:15.456946] [gNB 2][rsc 0][Rx 0][sfn 364][slot 4] DL PRS ToA ==> -0.5 / 4096 samples, peak channel power -56.7 dBm, SNR +4.0 dB, rsrp -81.1 dBm

[2023-09-28 19:04:15.457391] [gNB 3][rsc 0][Rx 0][sfn 364][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -83.0 dBm

[2023-09-28 19:04:15.462753] [gNB 0][rsc 0][Rx 0][sfn 365][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -54.0 dBm, SNR +4.0 dB, rsrp -76.3 dBm

[2023-09-28 19:04:15.463215] [gNB 1][rsc 0][Rx 0][sfn 365][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-28 19:04:15.463658] [gNB 2][rsc 0][Rx 0][sfn 365][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.7 dBm

[2023-09-28 19:04:15.464092] [gNB 3][rsc 0][Rx 0][sfn 365][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-28 19:04:15.469380] [gNB 0][rsc 0][Rx 0][sfn 366][slot 2] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -52.0 dBm, SNR -2622080.2 dB, rsrp -76.5 dBm

[2023-09-28 19:04:15.469861] [gNB 1][rsc 0][Rx 0][sfn 366][slot 3] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -59.5 dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-28 19:04:15.470314] [gNB 2][rsc 0][Rx 0][sfn 366][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -57.1 dBm, SNR +4.0 dB, rsrp -81.1 dBm

[2023-09-28 19:04:15.470755] [gNB 3][rsc 0][Rx 0][sfn 366][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.8 dBm

[2023-09-28 19:04:15.476085] [gNB 0][rsc 0][Rx 0][sfn 367][slot 2] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -50.7 dBm, SNR -2622080.2 dB, rsrp -76.4 dBm

[2023-09-28 19:04:15.476561] [gNB 1][rsc 0][Rx 0][sfn 367][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-28 19:04:15.477000] [gNB 2][rsc 0][Rx 0][sfn 367][slot 4] DL PRS ToA ==> 6.5 / 4096 samples, peak channel power -56.9 dBm, SNR +4.0 dB, rsrp -81.5 dBm

[2023-09-28 19:04:15.477501] [gNB 3][rsc 0][Rx 0][sfn 367][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.0 dBm

[2023-09-28 19:04:15.482691] [gNB 0][rsc 0][Rx 0][sfn 368][slot 2] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -49.6 dBm, SNR -2622080.2 dB, rsrp -76.6 dBm

[2023-09-28 19:04:15.483154] [gNB 1][rsc 0][Rx 0][sfn 368][slot 3] DL PRS ToA ==> 3.5 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

[2023-09-28 19:04:15.483632] [gNB 2][rsc 0][Rx 0][sfn 368][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.6 dBm

[2023-09-28 19:04:15.484093] [gNB 3][rsc 0][Rx 0][sfn 368][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-28 19:04:15.489402] [gNB 0][rsc 0][Rx 0][sfn 369][slot 2] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -51.6 dBm, SNR -2622080.2 dB, rsrp -76.4 dBm

[2023-09-28 19:04:15.489985] [gNB 1][rsc 0][Rx 0][sfn 369][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.4 dBm

[2023-09-28 19:04:15.490460] [gNB 2][rsc 0][Rx 0][sfn 369][slot 4] DL PRS ToA ==> 10.0 / 4096 samples, peak channel power -57.1 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-28 19:04:15.490897] [gNB 3][rsc 0][Rx 0][sfn 369][slot 5] DL PRS ToA ==> 9.0 / 4096 samples, peak channel power -59.2 dBm, SNR +4.0 dB, rsrp -83.9 dBm

[2023-09-28 19:04:15.496099] [gNB 0][rsc 0][Rx 0][sfn 370][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -76.7 dBm

[2023-09-28 19:04:15.496579] [gNB 1][rsc 0][Rx 0][sfn 370][slot 3] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -59.4 dBm, SNR -2622080.2 dB, rsrp -82.4 dBm

[2023-09-28 19:04:15.497015] [gNB 2][rsc 0][Rx 0][sfn 370][slot 4] DL PRS ToA ==> 9.5 / 4096 samples, peak channel power -56.9 dBm, SNR +4.0 dB, rsrp -81.8 dBm

[2023-09-28 19:04:15.498048] [gNB 3][rsc 0][Rx 0][sfn 370][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.5 dBm

[2023-09-28 19:04:15.503448] [gNB 0][rsc 0][Rx 0][sfn 371][slot 2] DL PRS ToA ==> 11.0 / 4096 samples, peak channel power -51.4 dBm, SNR +4.0 dB, rsrp -75.9 dBm

[2023-09-28 19:04:15.503918] [gNB 1][rsc 0][Rx 0][sfn 371][slot 3] DL PRS ToA ==> 11.5 / 4096 samples, peak channel power -59.2 dBm, SNR +4.0 dB, rsrp -81.8 dBm

[2023-09-28 19:04:15.504355] [gNB 2][rsc 0][Rx 0][sfn 371][slot 4] DL PRS ToA ==> 13.0 / 4096 samples, peak channel power -56.9 dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-28 19:04:15.505110] [gNB 3][rsc 0][Rx 0][sfn 371][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-28 19:04:15.509398] [gNB 0][rsc 0][Rx 0][sfn 372][slot 2] DL PRS ToA ==> 10.5 / 4096 samples, peak channel power -51.3 dBm, SNR -2622080.2 dB, rsrp -76.4 dBm

[2023-09-28 19:04:15.509873] [gNB 1][rsc 0][Rx 0][sfn 372][slot 3] DL PRS ToA ==> 11.5 / 4096 samples, peak channel power -59.4 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-28 19:04:15.510314] [gNB 2][rsc 0][Rx 0][sfn 372][slot 4] DL PRS ToA ==> 13.0 / 4096 samples, peak channel power -56.6 dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-28 19:04:15.513583] [gNB 3][rsc 0][Rx 0][sfn 372][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.5 dBm

[2023-09-28 19:04:15.517392] [gNB 0][rsc 0][Rx 0][sfn 373][slot 2] DL PRS ToA ==> 15.0 / 4096 samples, peak channel power -52.8 dBm, SNR +4.0 dB, rsrp -75.8 dBm

[2023-09-28 19:04:15.517853] [gNB 1][rsc 0][Rx 0][sfn 373][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.5 dBm

[2023-09-28 19:04:15.518296] [gNB 2][rsc 0][Rx 0][sfn 373][slot 4] DL PRS ToA ==> 16.5 / 4096 samples, peak channel power -56.5 dBm, SNR +4.0 dB, rsrp -80.3 dBm

[2023-09-28 19:04:15.518752] [gNB 3][rsc 0][Rx 0][sfn 373][slot 5] DL PRS ToA ==> 15.5 / 4096 samples, peak channel power -59.3 dBm, SNR +4.0 dB, rsrp -82.9 dBm

[2023-09-28 19:04:15.523988] [gNB 0][rsc 0][Rx 0][sfn 374][slot 2] DL PRS ToA ==> 14.5 / 4096 samples, peak channel power -50.4 dBm, SNR +4.0 dB, rsrp -75.5 dBm

