[2023-09-29 10:20:31.469654] [gNB 0][rsc 0][Rx 0][sfn 706][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -85.2 dBm

[2023-09-29 10:20:31.470023] [gNB 1][rsc 0][Rx 0][sfn 706][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 10:20:31.470386] [gNB 2][rsc 0][Rx 0][sfn 706][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.470772] [gNB 3][rsc 0][Rx 0][sfn 706][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-29 10:20:31.476287] [gNB 0][rsc 0][Rx 0][sfn 707][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622078.5 dB, rsrp -86.7 dBm

[2023-09-29 10:20:31.476653] [gNB 1][rsc 0][Rx 0][sfn 707][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.3 dBm

[2023-09-29 10:20:31.477014] [gNB 2][rsc 0][Rx 0][sfn 707][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.7 dBm

[2023-09-29 10:20:31.477498] [gNB 3][rsc 0][Rx 0][sfn 707][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:20:31.482953] [gNB 0][rsc 0][Rx 0][sfn 708][slot 2] DL PRS ToA ==> -23.2 / 4096 samples, peak channel power -58.6 dBm, SNR +4.0 dB, rsrp -78.1 dBm

[2023-09-29 10:20:31.483316] [gNB 1][rsc 0][Rx 0][sfn 708][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.9 dBm

[2023-09-29 10:20:31.483678] [gNB 2][rsc 0][Rx 0][sfn 708][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.3 dBm

[2023-09-29 10:20:31.484218] [gNB 3][rsc 0][Rx 0][sfn 708][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 10:20:31.489657] [gNB 0][rsc 0][Rx 0][sfn 709][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.2 dBm

[2023-09-29 10:20:31.490026] [gNB 1][rsc 0][Rx 0][sfn 709][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.3 dBm

[2023-09-29 10:20:31.490388] [gNB 2][rsc 0][Rx 0][sfn 709][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.490975] [gNB 3][rsc 0][Rx 0][sfn 709][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:20:31.496265] [gNB 0][rsc 0][Rx 0][sfn 710][slot 2] DL PRS ToA ==> -23.8 / 4096 samples, peak channel power -58.6 dBm, SNR +4.0 dB, rsrp -78.8 dBm

[2023-09-29 10:20:31.496621] [gNB 1][rsc 0][Rx 0][sfn 710][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-29 10:20:31.496973] [gNB 2][rsc 0][Rx 0][sfn 710][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.9 dBm

[2023-09-29 10:20:31.498430] [gNB 3][rsc 0][Rx 0][sfn 710][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 10:20:31.502959] [gNB 0][rsc 0][Rx 0][sfn 711][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -79.3 dBm

[2023-09-29 10:20:31.503339] [gNB 1][rsc 0][Rx 0][sfn 711][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622079.5 dB, rsrp -87.1 dBm

[2023-09-29 10:20:31.503701] [gNB 2][rsc 0][Rx 0][sfn 711][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.5 dBm

[2023-09-29 10:20:31.504054] [gNB 3][rsc 0][Rx 0][sfn 711][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.6 dBm

