[2023-09-29 10:38:43.711168] [gNB 0][rsc 0][Rx 0][sfn 728][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -91.2 dBm

[2023-09-29 10:38:43.711596] [gNB 1][rsc 0][Rx 0][sfn 728][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -73.4 dBm

[2023-09-29 10:38:43.712108] [gNB 2][rsc 0][Rx 0][sfn 728][slot 4] DL PRS ToA ==> -3.5 / 2048 samples, peak channel power -53.5 dBm, SNR +4.0 dB, rsrp -72.4 dBm

[2023-09-29 10:38:43.712590] [gNB 3][rsc 0][Rx 0][sfn 728][slot 5] DL PRS ToA ==> -3.8 / 2048 samples, peak channel power -57.9 dBm, SNR +4.0 dB, rsrp -77.4 dBm

[2023-09-29 10:38:43.721158] [gNB 0][rsc 0][Rx 0][sfn 729][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -79.3 dBm

[2023-09-29 10:38:43.721582] [gNB 1][rsc 0][Rx 0][sfn 729][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.9 dBm

[2023-09-29 10:38:43.722061] [gNB 2][rsc 0][Rx 0][sfn 729][slot 4] DL PRS ToA ==> -2.5 / 2048 samples, peak channel power -53.8 dBm, SNR +4.0 dB, rsrp -71.7 dBm

[2023-09-29 10:38:43.722579] [gNB 3][rsc 0][Rx 0][sfn 729][slot 5] DL PRS ToA ==> -2.8 / 2048 samples, peak channel power -58.2 dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-29 10:38:43.731054] [gNB 0][rsc 0][Rx 0][sfn 730][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -79.7 dBm

[2023-09-29 10:38:43.731576] [gNB 1][rsc 0][Rx 0][sfn 730][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.7 dBm

[2023-09-29 10:38:43.732056] [gNB 2][rsc 0][Rx 0][sfn 730][slot 4] DL PRS ToA ==> -2.5 / 2048 samples, peak channel power -53.8 dBm, SNR +4.0 dB, rsrp -71.5 dBm

[2023-09-29 10:38:43.732580] [gNB 3][rsc 0][Rx 0][sfn 730][slot 5] DL PRS ToA ==> -3.0 / 2048 samples, peak channel power -58.2 dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-29 10:38:43.741055] [gNB 0][rsc 0][Rx 0][sfn 731][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.3 dBm

[2023-09-29 10:38:43.741576] [gNB 1][rsc 0][Rx 0][sfn 731][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.7 dBm

[2023-09-29 10:38:43.742059] [gNB 2][rsc 0][Rx 0][sfn 731][slot 4] DL PRS ToA ==> -0.5 / 2048 samples, peak channel power -53.6 dBm, SNR +4.0 dB, rsrp -71.7 dBm

[2023-09-29 10:38:43.742549] [gNB 3][rsc 0][Rx 0][sfn 731][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -58.1 dBm, SNR +4.0 dB, rsrp -76.1 dBm

[2023-09-29 10:38:43.751061] [gNB 0][rsc 0][Rx 0][sfn 732][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.8 dBm

[2023-09-29 10:38:43.751542] [gNB 1][rsc 0][Rx 0][sfn 732][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.8 dBm

[2023-09-29 10:38:43.752061] [gNB 2][rsc 0][Rx 0][sfn 732][slot 4] DL PRS ToA ==> -0.5 / 2048 samples, peak channel power -53.7 dBm, SNR +4.0 dB, rsrp -72.1 dBm

[2023-09-29 10:38:43.752546] [gNB 3][rsc 0][Rx 0][sfn 732][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -58.1 dBm, SNR +4.0 dB, rsrp -76.4 dBm

[2023-09-29 10:38:43.761056] [gNB 0][rsc 0][Rx 0][sfn 733][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -79.0 dBm

[2023-09-29 10:38:43.761539] [gNB 1][rsc 0][Rx 0][sfn 733][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.7 dBm

[2023-09-29 10:38:43.762062] [gNB 2][rsc 0][Rx 0][sfn 733][slot 4] DL PRS ToA ==> -0.5 / 2048 samples, peak channel power -53.9 dBm, SNR +4.0 dB, rsrp -72.4 dBm

[2023-09-29 10:38:43.762554] [gNB 3][rsc 0][Rx 0][sfn 733][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.1 dBm

[2023-09-29 10:38:43.771057] [gNB 0][rsc 0][Rx 0][sfn 734][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -78.4 dBm

[2023-09-29 10:38:43.771544] [gNB 1][rsc 0][Rx 0][sfn 734][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.6 dBm

[2023-09-29 10:38:43.772028] [gNB 2][rsc 0][Rx 0][sfn 734][slot 4] DL PRS ToA ==> -0.5 / 2048 samples, peak channel power -53.9 dBm, SNR +4.0 dB, rsrp -72.0 dBm

[2023-09-29 10:38:43.772546] [gNB 3][rsc 0][Rx 0][sfn 734][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-29 10:38:43.781025] [gNB 0][rsc 0][Rx 0][sfn 735][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -78.6 dBm

[2023-09-29 10:38:43.781544] [gNB 1][rsc 0][Rx 0][sfn 735][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.5 dBm

[2023-09-29 10:38:43.782030] [gNB 2][rsc 0][Rx 0][sfn 735][slot 4] DL PRS ToA ==> -0.5 / 2048 samples, peak channel power -54.0 dBm, SNR +4.0 dB, rsrp -71.5 dBm

[2023-09-29 10:38:43.782551] [gNB 3][rsc 0][Rx 0][sfn 735][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -58.2 dBm, SNR +4.0 dB, rsrp -75.3 dBm

[2023-09-29 10:38:43.791027] [gNB 0][rsc 0][Rx 0][sfn 736][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -79.3 dBm

[2023-09-29 10:38:43.791546] [gNB 1][rsc 0][Rx 0][sfn 736][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.4 dBm

[2023-09-29 10:38:43.792033] [gNB 2][rsc 0][Rx 0][sfn 736][slot 4] DL PRS ToA ==> -0.5 / 2048 samples, peak channel power -54.0 dBm, SNR +4.0 dB, rsrp -71.3 dBm

[2023-09-29 10:38:43.792517] [gNB 3][rsc 0][Rx 0][sfn 736][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -58.2 dBm, SNR +4.0 dB, rsrp -75.5 dBm

[2023-09-29 10:38:43.801028] [gNB 0][rsc 0][Rx 0][sfn 737][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -79.8 dBm

