[2023-09-29 11:02:15.645539] [gNB 0][rsc 0][Rx 0][sfn 153][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -89.0 dBm

[2023-09-29 11:02:15.645999] [gNB 1][rsc 0][Rx 0][sfn 153][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -84.4 dBm

[2023-09-29 11:02:15.646500] [gNB 2][rsc 0][Rx 0][sfn 153][slot 4] DL PRS ToA ==> -3.2 / 2048 samples, peak channel power -49.4 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:02:15.647024] [gNB 3][rsc 0][Rx 0][sfn 153][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -49.5 dBm, SNR +4.0 dB, rsrp -68.6 dBm

[2023-09-29 11:02:15.655513] [gNB 0][rsc 0][Rx 0][sfn 154][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -78.2 dBm

[2023-09-29 11:02:15.655999] [gNB 1][rsc 0][Rx 0][sfn 154][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.7 dBm

[2023-09-29 11:02:15.656480] [gNB 2][rsc 0][Rx 0][sfn 154][slot 4] DL PRS ToA ==> -1.8 / 2048 samples, peak channel power -48.5 dBm, SNR +4.0 dB, rsrp -79.6 dBm

[2023-09-29 11:02:15.657029] [gNB 3][rsc 0][Rx 0][sfn 154][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -49.8 dBm, SNR +4.0 dB, rsrp -68.4 dBm

[2023-09-29 11:02:15.665477] [gNB 0][rsc 0][Rx 0][sfn 155][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -77.4 dBm

[2023-09-29 11:02:15.665961] [gNB 1][rsc 0][Rx 0][sfn 155][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.2 dBm

[2023-09-29 11:02:15.666570] [gNB 2][rsc 0][Rx 0][sfn 155][slot 4] DL PRS ToA ==> -2.2 / 2048 samples, peak channel power -46.5 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:02:15.666959] [gNB 3][rsc 0][Rx 0][sfn 155][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -49.9 dBm, SNR +4.0 dB, rsrp -68.4 dBm

[2023-09-29 11:02:15.675482] [gNB 0][rsc 0][Rx 0][sfn 156][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.0 dBm

[2023-09-29 11:02:15.675959] [gNB 1][rsc 0][Rx 0][sfn 156][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.2 dBm

[2023-09-29 11:02:15.676476] [gNB 2][rsc 0][Rx 0][sfn 156][slot 4] DL PRS ToA ==> -3.0 / 2048 samples, peak channel power -48.4 dBm, SNR +4.0 dB, rsrp -76.5 dBm

[2023-09-29 11:02:15.676960] [gNB 3][rsc 0][Rx 0][sfn 156][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -49.9 dBm, SNR +4.0 dB, rsrp -68.0 dBm

[2023-09-29 11:02:15.685475] [gNB 0][rsc 0][Rx 0][sfn 157][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -78.0 dBm

[2023-09-29 11:02:15.685954] [gNB 1][rsc 0][Rx 0][sfn 157][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.2 dBm

[2023-09-29 11:02:15.686444] [gNB 2][rsc 0][Rx 0][sfn 157][slot 4] DL PRS ToA ==> -0.8 / 2048 samples, peak channel power -49.0 dBm, SNR +4.0 dB, rsrp -83.5 dBm

[2023-09-29 11:02:15.687070] [gNB 3][rsc 0][Rx 0][sfn 157][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -49.8 dBm, SNR +4.0 dB, rsrp -68.4 dBm

[2023-09-29 11:02:15.695443] [gNB 0][rsc 0][Rx 0][sfn 158][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR -6753092.0 dB, rsrp -76.5 dBm

[2023-09-29 11:02:15.695959] [gNB 1][rsc 0][Rx 0][sfn 158][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.4 dBm

[2023-09-29 11:02:15.696464] [gNB 2][rsc 0][Rx 0][sfn 158][slot 4] DL PRS ToA ==> -1.8 / 2048 samples, peak channel power -47.2 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:02:15.697011] [gNB 3][rsc 0][Rx 0][sfn 158][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -50.1 dBm, SNR +4.0 dB, rsrp -68.3 dBm

[2023-09-29 11:02:15.705445] [gNB 0][rsc 0][Rx 0][sfn 159][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR -6753088.5 dB, rsrp -75.0 dBm

[2023-09-29 11:02:15.705959] [gNB 1][rsc 0][Rx 0][sfn 159][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.2 dBm

[2023-09-29 11:02:15.706469] [gNB 2][rsc 0][Rx 0][sfn 159][slot 4] DL PRS ToA ==> -0.8 / 2048 samples, peak channel power -48.9 dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-29 11:02:15.707016] [gNB 3][rsc 0][Rx 0][sfn 159][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -49.9 dBm, SNR +4.0 dB, rsrp -68.0 dBm

[2023-09-29 11:02:15.715443] [gNB 0][rsc 0][Rx 0][sfn 160][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -77.7 dBm

[2023-09-29 11:02:15.715928] [gNB 1][rsc 0][Rx 0][sfn 160][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.2 dBm

[2023-09-29 11:02:15.716531] [gNB 2][rsc 0][Rx 0][sfn 160][slot 4] DL PRS ToA ==> -1.5 / 2048 samples, peak channel power -46.5 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:02:15.716938] [gNB 3][rsc 0][Rx 0][sfn 160][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -49.9 dBm, SNR +4.0 dB, rsrp -68.4 dBm

[2023-09-29 11:02:15.725444] [gNB 0][rsc 0][Rx 0][sfn 161][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -76.1 dBm

[2023-09-29 11:02:15.725930] [gNB 1][rsc 0][Rx 0][sfn 161][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.2 dBm

[2023-09-29 11:02:15.726449] [gNB 2][rsc 0][Rx 0][sfn 161][slot 4] DL PRS ToA ==> -2.2 / 2048 samples, peak channel power -49.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:02:15.726933] [gNB 3][rsc 0][Rx 0][sfn 161][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -49.9 dBm, SNR +4.0 dB, rsrp -68.3 dBm

[2023-09-29 11:02:15.735446] [gNB 0][rsc 0][Rx 0][sfn 162][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.5 dBm

[2023-09-29 11:02:15.735930] [gNB 1][rsc 0][Rx 0][sfn 162][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.8 dBm

[2023-09-29 11:02:15.736414] [gNB 2][rsc 0][Rx 0][sfn 162][slot 4] DL PRS ToA ==> -2.2 / 2048 samples, peak channel power -49.0 dBm, SNR +4.0 dB, rsrp -76.6 dBm

[2023-09-29 11:02:15.736936] [gNB 3][rsc 0][Rx 0][sfn 162][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -49.9 dBm, SNR +4.0 dB, rsrp -68.0 dBm

[2023-09-29 11:02:15.745417] [gNB 0][rsc 0][Rx 0][sfn 163][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.0 dBm

[2023-09-29 11:02:15.745929] [gNB 1][rsc 0][Rx 0][sfn 163][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.9 dBm

[2023-09-29 11:02:15.746416] [gNB 2][rsc 0][Rx 0][sfn 163][slot 4] DL PRS ToA ==> -2.2 / 2048 samples, peak channel power -49.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:02:15.746938] [gNB 3][rsc 0][Rx 0][sfn 163][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -49.9 dBm, SNR +4.0 dB, rsrp -68.5 dBm

[2023-09-29 11:02:15.755419] [gNB 0][rsc 0][Rx 0][sfn 164][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -74.9 dBm

[2023-09-29 11:02:15.755933] [gNB 1][rsc 0][Rx 0][sfn 164][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR -6753088.5 dB, rsrp -75.2 dBm

[2023-09-29 11:02:15.756419] [gNB 2][rsc 0][Rx 0][sfn 164][slot 4] DL PRS ToA ==> -2.2 / 2048 samples, peak channel power -49.2 dBm, SNR +4.0 dB, rsrp -76.7 dBm

