[2023-09-29 10:30:57.360992] [gNB 0][rsc 0][Rx 0][sfn 628][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -96.6 dBm

[2023-09-29 10:30:57.361446] [gNB 1][rsc 0][Rx 0][sfn 628][slot 3] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -52.1 dBm, SNR +4.0 dB, rsrp -73.5 dBm

[2023-09-29 10:30:57.361951] [gNB 2][rsc 0][Rx 0][sfn 628][slot 4] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -51.8 dBm, SNR +4.0 dB, rsrp -72.4 dBm

[2023-09-29 10:30:57.362422] [gNB 3][rsc 0][Rx 0][sfn 628][slot 5] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -54.7 dBm, SNR +4.0 dB, rsrp -77.1 dBm

[2023-09-29 10:30:57.370952] [gNB 0][rsc 0][Rx 0][sfn 629][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR -6753093.0 dB, rsrp -80.6 dBm

[2023-09-29 10:30:57.371414] [gNB 1][rsc 0][Rx 0][sfn 629][slot 3] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -51.8 dBm, SNR +4.0 dB, rsrp -72.9 dBm

[2023-09-29 10:30:57.371920] [gNB 2][rsc 0][Rx 0][sfn 629][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -51.1 dBm, SNR +4.0 dB, rsrp -71.7 dBm

[2023-09-29 10:30:57.372407] [gNB 3][rsc 0][Rx 0][sfn 629][slot 5] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -55.0 dBm, SNR +4.0 dB, rsrp -76.1 dBm

[2023-09-29 10:30:57.380914] [gNB 0][rsc 0][Rx 0][sfn 630][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.4 dBm

[2023-09-29 10:30:57.381401] [gNB 1][rsc 0][Rx 0][sfn 630][slot 3] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -52.1 dBm, SNR +4.0 dB, rsrp -72.3 dBm

[2023-09-29 10:30:57.381927] [gNB 2][rsc 0][Rx 0][sfn 630][slot 4] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -51.0 dBm, SNR +4.0 dB, rsrp -72.4 dBm

[2023-09-29 10:30:57.382406] [gNB 3][rsc 0][Rx 0][sfn 630][slot 5] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -55.1 dBm, SNR +4.0 dB, rsrp -76.2 dBm

[2023-09-29 10:30:57.390914] [gNB 0][rsc 0][Rx 0][sfn 631][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -78.3 dBm

[2023-09-29 10:30:57.391401] [gNB 1][rsc 0][Rx 0][sfn 631][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.3 dBm

[2023-09-29 10:30:57.391887] [gNB 2][rsc 0][Rx 0][sfn 631][slot 4] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -52.1 dBm, SNR +4.0 dB, rsrp -71.4 dBm

[2023-09-29 10:30:57.392407] [gNB 3][rsc 0][Rx 0][sfn 631][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -74.9 dBm

[2023-09-29 10:30:57.400883] [gNB 0][rsc 0][Rx 0][sfn 632][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -79.2 dBm

[2023-09-29 10:30:57.401405] [gNB 1][rsc 0][Rx 0][sfn 632][slot 3] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -52.0 dBm, SNR +4.0 dB, rsrp -72.7 dBm

[2023-09-29 10:30:57.401891] [gNB 2][rsc 0][Rx 0][sfn 632][slot 4] DL PRS ToA ==> 0.5 / 2048 samples, peak channel power -52.7 dBm, SNR +4.0 dB, rsrp -71.5 dBm

[2023-09-29 10:30:57.402430] [gNB 3][rsc 0][Rx 0][sfn 632][slot 5] DL PRS ToA ==> 0.5 / 2048 samples, peak channel power -55.3 dBm, SNR +4.0 dB, rsrp -75.5 dBm

[2023-09-29 10:30:57.410887] [gNB 0][rsc 0][Rx 0][sfn 633][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.4 dBm

[2023-09-29 10:30:57.411410] [gNB 1][rsc 0][Rx 0][sfn 633][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.2 dBm

[2023-09-29 10:30:57.411891] [gNB 2][rsc 0][Rx 0][sfn 633][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -52.0 dBm, SNR +4.0 dB, rsrp -72.4 dBm

[2023-09-29 10:30:57.412381] [gNB 3][rsc 0][Rx 0][sfn 633][slot 5] DL PRS ToA ==> 0.5 / 2048 samples, peak channel power -55.0 dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-29 10:30:57.420899] [gNB 0][rsc 0][Rx 0][sfn 634][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR -6753093.0 dB, rsrp -78.8 dBm

[2023-09-29 10:30:57.421373] [gNB 1][rsc 0][Rx 0][sfn 634][slot 3] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -51.9 dBm, SNR +4.0 dB, rsrp -72.4 dBm

[2023-09-29 10:30:57.421892] [gNB 2][rsc 0][Rx 0][sfn 634][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -51.1 dBm, SNR +4.0 dB, rsrp -71.2 dBm

[2023-09-29 10:30:57.422381] [gNB 3][rsc 0][Rx 0][sfn 634][slot 5] DL PRS ToA ==> 0.5 / 2048 samples, peak channel power -55.2 dBm, SNR +4.0 dB, rsrp -75.2 dBm

[2023-09-29 10:30:57.430895] [gNB 0][rsc 0][Rx 0][sfn 635][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -79.5 dBm

[2023-09-29 10:30:57.431374] [gNB 1][rsc 0][Rx 0][sfn 635][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.6 dBm

[2023-09-29 10:30:57.431892] [gNB 2][rsc 0][Rx 0][sfn 635][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -50.8 dBm, SNR +4.0 dB, rsrp -71.9 dBm

[2023-09-29 10:30:57.432380] [gNB 3][rsc 0][Rx 0][sfn 635][slot 5] DL PRS ToA ==> 0.5 / 2048 samples, peak channel power -55.1 dBm, SNR +4.0 dB, rsrp -75.8 dBm

[2023-09-29 10:30:57.440890] [gNB 0][rsc 0][Rx 0][sfn 636][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR -6753091.5 dB, rsrp -76.9 dBm

[2023-09-29 10:30:57.441374] [gNB 1][rsc 0][Rx 0][sfn 636][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.2 dBm

[2023-09-29 10:30:57.441870] [gNB 2][rsc 0][Rx 0][sfn 636][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -51.1 dBm, SNR +4.0 dB, rsrp -72.1 dBm

[2023-09-29 10:30:57.442381] [gNB 3][rsc 0][Rx 0][sfn 636][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.4 dBm

[2023-09-29 10:30:57.450867] [gNB 0][rsc 0][Rx 0][sfn 637][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -79.2 dBm

[2023-09-29 10:30:57.451377] [gNB 1][rsc 0][Rx 0][sfn 637][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.7 dBm

[2023-09-29 10:30:57.451863] [gNB 2][rsc 0][Rx 0][sfn 637][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -50.8 dBm, SNR +4.0 dB, rsrp -71.2 dBm

[2023-09-29 10:30:57.452381] [gNB 3][rsc 0][Rx 0][sfn 637][slot 5] DL PRS ToA ==> 0.5 / 2048 samples, peak channel power -55.1 dBm, SNR +4.0 dB, rsrp -75.6 dBm

