[2023-09-29 10:54:45.788612] [gNB 1][rsc 0][Rx 0][sfn 203][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.2 dBm

[2023-09-29 10:54:45.789128] [gNB 2][rsc 0][Rx 0][sfn 203][slot 4] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.5 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 10:54:45.789595] [gNB 3][rsc 0][Rx 0][sfn 203][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -48.7 dBm, SNR +4.0 dB, rsrp -68.2 dBm

[2023-09-29 10:54:45.798123] [gNB 0][rsc 0][Rx 0][sfn 204][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.1 dBm

[2023-09-29 10:54:45.798581] [gNB 1][rsc 0][Rx 0][sfn 204][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.6 dBm

[2023-09-29 10:54:45.799065] [gNB 2][rsc 0][Rx 0][sfn 204][slot 4] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.4 dBm, SNR +4.0 dB, rsrp -76.9 dBm

[2023-09-29 10:54:45.799621] [gNB 3][rsc 0][Rx 0][sfn 204][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.4 dBm, SNR +4.0 dB, rsrp -68.5 dBm

[2023-09-29 10:54:45.808096] [gNB 0][rsc 0][Rx 0][sfn 205][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -76.5 dBm

[2023-09-29 10:54:45.808613] [gNB 1][rsc 0][Rx 0][sfn 205][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.5 dBm

[2023-09-29 10:54:45.809100] [gNB 2][rsc 0][Rx 0][sfn 205][slot 4] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -48.8 dBm, SNR +4.0 dB, rsrp -77.0 dBm

[2023-09-29 10:54:45.809597] [gNB 3][rsc 0][Rx 0][sfn 205][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -48.0 dBm, SNR +4.0 dB, rsrp -68.2 dBm

