[2023-09-29 10:40:22.346752] [gNB 0][rsc 0][Rx 0][sfn 356][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR -6753089.0 dB, rsrp -90.8 dBm

[2023-09-29 10:40:22.347184] [gNB 1][rsc 0][Rx 0][sfn 356][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -73.3 dBm

[2023-09-29 10:40:22.347761] [gNB 2][rsc 0][Rx 0][sfn 356][slot 4] DL PRS ToA ==> -1.5 / 2048 samples, peak channel power -53.7 dBm, SNR +4.0 dB, rsrp -72.5 dBm

[2023-09-29 10:40:22.348242] [gNB 3][rsc 0][Rx 0][sfn 356][slot 5] DL PRS ToA ==> -1.8 / 2048 samples, peak channel power -57.9 dBm, SNR +4.0 dB, rsrp -77.3 dBm

[2023-09-29 10:40:22.356729] [gNB 0][rsc 0][Rx 0][sfn 357][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.9 dBm

[2023-09-29 10:40:22.357180] [gNB 1][rsc 0][Rx 0][sfn 357][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.9 dBm

[2023-09-29 10:40:22.357756] [gNB 2][rsc 0][Rx 0][sfn 357][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.3 dBm

[2023-09-29 10:40:22.358236] [gNB 3][rsc 0][Rx 0][sfn 357][slot 5] DL PRS ToA ==> -1.8 / 2048 samples, peak channel power -58.2 dBm, SNR +4.0 dB, rsrp -76.8 dBm

[2023-09-29 10:40:22.366690] [gNB 0][rsc 0][Rx 0][sfn 358][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -78.1 dBm

[2023-09-29 10:40:22.367172] [gNB 1][rsc 0][Rx 0][sfn 358][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.5 dBm

[2023-09-29 10:40:22.367711] [gNB 2][rsc 0][Rx 0][sfn 358][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.3 dBm

[2023-09-29 10:40:22.368233] [gNB 3][rsc 0][Rx 0][sfn 358][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -58.3 dBm, SNR +4.0 dB, rsrp -76.4 dBm

[2023-09-29 10:40:22.376701] [gNB 0][rsc 0][Rx 0][sfn 359][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR -6753090.0 dB, rsrp -79.6 dBm

[2023-09-29 10:40:22.377177] [gNB 1][rsc 0][Rx 0][sfn 359][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.4 dBm

[2023-09-29 10:40:22.377668] [gNB 2][rsc 0][Rx 0][sfn 359][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -71.5 dBm

[2023-09-29 10:40:22.378231] [gNB 3][rsc 0][Rx 0][sfn 359][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -58.3 dBm, SNR +4.0 dB, rsrp -75.5 dBm

[2023-09-29 10:40:22.386665] [gNB 0][rsc 0][Rx 0][sfn 360][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.9 dBm

[2023-09-29 10:40:22.387177] [gNB 1][rsc 0][Rx 0][sfn 360][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.5 dBm

[2023-09-29 10:40:22.387716] [gNB 2][rsc 0][Rx 0][sfn 360][slot 4] DL PRS ToA ==> -0.5 / 2048 samples, peak channel power -53.9 dBm, SNR +4.0 dB, rsrp -71.3 dBm

[2023-09-29 10:40:22.388195] [gNB 3][rsc 0][Rx 0][sfn 360][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -58.3 dBm, SNR +4.0 dB, rsrp -75.4 dBm

[2023-09-29 10:40:22.396673] [gNB 0][rsc 0][Rx 0][sfn 361][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -79.4 dBm

[2023-09-29 10:40:22.397188] [gNB 1][rsc 0][Rx 0][sfn 361][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.5 dBm

[2023-09-29 10:40:22.397668] [gNB 2][rsc 0][Rx 0][sfn 361][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -71.9 dBm

[2023-09-29 10:40:22.398197] [gNB 3][rsc 0][Rx 0][sfn 361][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -58.2 dBm, SNR +4.0 dB, rsrp -76.4 dBm

[2023-09-29 10:40:22.406662] [gNB 0][rsc 0][Rx 0][sfn 362][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -77.8 dBm

[2023-09-29 10:40:22.407146] [gNB 1][rsc 0][Rx 0][sfn 362][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.3 dBm

[2023-09-29 10:40:22.407709] [gNB 2][rsc 0][Rx 0][sfn 362][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.4 dBm

[2023-09-29 10:40:22.408199] [gNB 3][rsc 0][Rx 0][sfn 362][slot 5] DL PRS ToA ==> -1.2 / 2048 samples, peak channel power -58.2 dBm, SNR +4.0 dB, rsrp -76.8 dBm

[2023-09-29 10:40:22.416672] [gNB 0][rsc 0][Rx 0][sfn 363][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.7 dBm

[2023-09-29 10:40:22.417147] [gNB 1][rsc 0][Rx 0][sfn 363][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.3 dBm

[2023-09-29 10:40:22.417669] [gNB 2][rsc 0][Rx 0][sfn 363][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.1 dBm

