[2023-09-29 11:13:58.626031] [gNB 0][rsc 0][Rx 0][sfn 38][slot 2] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -54.3 dBm, SNR +4.0 dB, rsrp -81.9 dBm

[2023-09-29 11:13:58.626405] [gNB 1][rsc 0][Rx 0][sfn 38][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -56.4 dBm, SNR +4.0 dB, rsrp -83.5 dBm

[2023-09-29 11:13:58.626815] [gNB 2][rsc 0][Rx 0][sfn 38][slot 4] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -56.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:13:58.627220] [gNB 3][rsc 0][Rx 0][sfn 38][slot 5] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -55.1 dBm, SNR +4.0 dB, rsrp -82.5 dBm

[2023-09-29 11:13:58.632588] [gNB 0][rsc 0][Rx 0][sfn 39][slot 2] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -54.5 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-29 11:13:58.632927] [gNB 1][rsc 0][Rx 0][sfn 39][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -57.1 dBm, SNR +4.0 dB, rsrp -81.5 dBm

[2023-09-29 11:13:58.633274] [gNB 2][rsc 0][Rx 0][sfn 39][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -58.5 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:13:58.633665] [gNB 3][rsc 0][Rx 0][sfn 39][slot 5] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -55.5 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-29 11:13:58.639237] [gNB 0][rsc 0][Rx 0][sfn 40][slot 2] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -54.4 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-29 11:13:58.639571] [gNB 1][rsc 0][Rx 0][sfn 40][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -57.3 dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-29 11:13:58.639907] [gNB 2][rsc 0][Rx 0][sfn 40][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -57.7 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:13:58.640324] [gNB 3][rsc 0][Rx 0][sfn 40][slot 5] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -55.5 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:13:58.645935] [gNB 0][rsc 0][Rx 0][sfn 41][slot 2] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-29 11:13:58.646269] [gNB 1][rsc 0][Rx 0][sfn 41][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -57.0 dBm, SNR -2622080.2 dB, rsrp -83.0 dBm

[2023-09-29 11:13:58.646693] [gNB 2][rsc 0][Rx 0][sfn 41][slot 4] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -54.6 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:13:58.647070] [gNB 3][rsc 0][Rx 0][sfn 41][slot 5] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -55.5 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-29 11:13:58.652554] [gNB 0][rsc 0][Rx 0][sfn 42][slot 2] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -55.1 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-29 11:13:58.652898] [gNB 1][rsc 0][Rx 0][sfn 42][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -57.3 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 11:13:58.653329] [gNB 2][rsc 0][Rx 0][sfn 42][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -52.7 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:13:58.653684] [gNB 3][rsc 0][Rx 0][sfn 42][slot 5] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -55.3 dBm, SNR +4.0 dB, rsrp -82.8 dBm

[2023-09-29 11:13:58.659233] [gNB 0][rsc 0][Rx 0][sfn 43][slot 2] DL PRS ToA ==> 6.0 / 4096 samples, peak channel power -55.5 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-29 11:13:58.659566] [gNB 1][rsc 0][Rx 0][sfn 43][slot 3] DL PRS ToA ==> 6.0 / 4096 samples, peak channel power -57.0 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 11:13:58.659997] [gNB 2][rsc 0][Rx 0][sfn 43][slot 4] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -54.1 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:13:58.660367] [gNB 3][rsc 0][Rx 0][sfn 43][slot 5] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -55.5 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-29 11:13:58.665932] [gNB 0][rsc 0][Rx 0][sfn 44][slot 2] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -54.4 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-29 11:13:58.666265] [gNB 1][rsc 0][Rx 0][sfn 44][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -57.2 dBm, SNR +4.0 dB, rsrp -81.9 dBm

[2023-09-29 11:13:58.666665] [gNB 2][rsc 0][Rx 0][sfn 44][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:13:58.667039] [gNB 3][rsc 0][Rx 0][sfn 44][slot 5] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -55.3 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-29 11:13:58.672529] [gNB 0][rsc 0][Rx 0][sfn 45][slot 2] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -54.6 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-29 11:13:58.672866] [gNB 1][rsc 0][Rx 0][sfn 45][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -57.3 dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-29 11:13:58.673297] [gNB 2][rsc 0][Rx 0][sfn 45][slot 4] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -55.0 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:13:58.673666] [gNB 3][rsc 0][Rx 0][sfn 45][slot 5] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -55.4 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-29 11:13:58.679236] [gNB 0][rsc 0][Rx 0][sfn 46][slot 2] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp -81.5 dBm

[2023-09-29 11:13:58.679570] [gNB 1][rsc 0][Rx 0][sfn 46][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -57.2 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

