[2023-09-29 10:21:34.468038] [gNB 0][rsc 0][Rx 0][sfn 944][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.9 dBm

[2023-09-29 10:21:34.468473] [gNB 1][rsc 0][Rx 0][sfn 944][slot 3] DL PRS ToA ==> -7.8 / 4096 samples, peak channel power -63.1 dBm, SNR +4.0 dB, rsrp -80.6 dBm

[2023-09-29 10:21:34.468980] [gNB 2][rsc 0][Rx 0][sfn 944][slot 4] DL PRS ToA ==> -8.4 / 4096 samples, peak channel power -60.5 dBm, SNR +4.0 dB, rsrp -79.6 dBm

[2023-09-29 10:21:34.469461] [gNB 3][rsc 0][Rx 0][sfn 944][slot 5] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -64.6 dBm, SNR +4.0 dB, rsrp -82.8 dBm

[2023-09-29 10:21:34.474652] [gNB 0][rsc 0][Rx 0][sfn 945][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -79.4 dBm

[2023-09-29 10:21:34.475043] [gNB 1][rsc 0][Rx 0][sfn 945][slot 3] DL PRS ToA ==> -5.9 / 4096 samples, peak channel power -63.5 dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-29 10:21:34.475399] [gNB 2][rsc 0][Rx 0][sfn 945][slot 4] DL PRS ToA ==> -6.4 / 4096 samples, peak channel power -60.8 dBm, SNR +4.0 dB, rsrp -80.6 dBm

[2023-09-29 10:21:34.475909] [gNB 3][rsc 0][Rx 0][sfn 945][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.5 dBm

[2023-09-29 10:21:34.481289] [gNB 0][rsc 0][Rx 0][sfn 946][slot 2] DL PRS ToA ==> -6.8 / 4096 samples, peak channel power -58.7 dBm, SNR +4.0 dB, rsrp -79.4 dBm

[2023-09-29 10:21:34.481688] [gNB 1][rsc 0][Rx 0][sfn 946][slot 3] DL PRS ToA ==> -6.9 / 4096 samples, peak channel power -63.7 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-29 10:21:34.482046] [gNB 2][rsc 0][Rx 0][sfn 946][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.9 dBm

