[2023-09-29 10:12:46.012418] [gNB 0][rsc 0][Rx 0][sfn 310][slot 2] DL PRS ToA ==> -6.5 / 4096 samples, peak channel power -52.2 dBm, SNR +4.0 dB, rsrp -77.8 dBm

[2023-09-29 10:12:46.012764] [gNB 1][rsc 0][Rx 0][sfn 310][slot 3] DL PRS ToA ==> -5.5 / 4096 samples, peak channel power -60.8 dBm, SNR -2622080.2 dB, rsrp -83.0 dBm

[2023-09-29 10:12:46.013094] [gNB 2][rsc 0][Rx 0][sfn 310][slot 4] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp -80.1 dBm

[2023-09-29 10:12:46.013441] [gNB 3][rsc 0][Rx 0][sfn 310][slot 5] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -59.0 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:12:46.019044] [gNB 0][rsc 0][Rx 0][sfn 311][slot 2] DL PRS ToA ==> -6.5 / 4096 samples, peak channel power -52.5 dBm, SNR -2622080.2 dB, rsrp -78.9 dBm

[2023-09-29 10:12:46.019377] [gNB 1][rsc 0][Rx 0][sfn 311][slot 3] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -60.3 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-29 10:12:46.019693] [gNB 2][rsc 0][Rx 0][sfn 311][slot 4] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -54.5 dBm, SNR -2622080.2 dB, rsrp -80.4 dBm

[2023-09-29 10:12:46.020496] [gNB 3][rsc 0][Rx 0][sfn 311][slot 5] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -59.2 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 10:12:46.025739] [gNB 0][rsc 0][Rx 0][sfn 312][slot 2] DL PRS ToA ==> -6.5 / 4096 samples, peak channel power -52.4 dBm, SNR -2622080.2 dB, rsrp -79.2 dBm

[2023-09-29 10:12:46.026054] [gNB 1][rsc 0][Rx 0][sfn 312][slot 3] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -60.2 dBm, SNR +4.0 dB, rsrp -82.3 dBm

[2023-09-29 10:12:46.026395] [gNB 2][rsc 0][Rx 0][sfn 312][slot 4] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -54.6 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:12:46.027352] [gNB 3][rsc 0][Rx 0][sfn 312][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

