[2023-09-29 11:18:20.214932] [gNB 0][rsc 0][Rx 0][sfn 382][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.9 dBm

[2023-09-29 11:18:20.215341] [gNB 1][rsc 0][Rx 0][sfn 382][slot 3] DL PRS ToA ==> 4.2 / 4096 samples, peak channel power -61.7 dBm, SNR +4.0 dB, rsrp -81.9 dBm

[2023-09-29 11:18:20.215678] [gNB 2][rsc 0][Rx 0][sfn 382][slot 4] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -55.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:18:20.216005] [gNB 3][rsc 0][Rx 0][sfn 382][slot 5] DL PRS ToA ==> 0.8 / 4096 samples, peak channel power -60.5 dBm, SNR +4.0 dB, rsrp -81.0 dBm

[2023-09-29 11:18:20.221510] [gNB 0][rsc 0][Rx 0][sfn 383][slot 2] DL PRS ToA ==> 5.8 / 4096 samples, peak channel power -59.6 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 11:18:20.221879] [gNB 1][rsc 0][Rx 0][sfn 383][slot 3] DL PRS ToA ==> 5.0 / 4096 samples, peak channel power -61.9 dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-29 11:18:20.222186] [gNB 2][rsc 0][Rx 0][sfn 383][slot 4] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -53.4 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:18:20.222498] [gNB 3][rsc 0][Rx 0][sfn 383][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.5 dBm

[2023-09-29 11:18:20.228169] [gNB 0][rsc 0][Rx 0][sfn 384][slot 2] DL PRS ToA ==> 5.5 / 4096 samples, peak channel power -59.6 dBm, SNR +4.0 dB, rsrp -81.2 dBm

[2023-09-29 11:18:20.228504] [gNB 1][rsc 0][Rx 0][sfn 384][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.4 dBm

[2023-09-29 11:18:20.228844] [gNB 2][rsc 0][Rx 0][sfn 384][slot 4] DL PRS ToA ==> -1.2 / 4096 samples, peak channel power -55.5 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:18:20.229187] [gNB 3][rsc 0][Rx 0][sfn 384][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-29 11:18:20.234792] [gNB 0][rsc 0][Rx 0][sfn 385][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -81.8 dBm

[2023-09-29 11:18:20.235118] [gNB 1][rsc 0][Rx 0][sfn 385][slot 3] DL PRS ToA ==> 5.8 / 4096 samples, peak channel power -62.3 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 11:18:20.235453] [gNB 2][rsc 0][Rx 0][sfn 385][slot 4] DL PRS ToA ==> -0.2 / 4096 samples, peak channel power -53.8 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:18:20.235794] [gNB 3][rsc 0][Rx 0][sfn 385][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.4 dBm

[2023-09-29 11:18:20.241474] [gNB 0][rsc 0][Rx 0][sfn 386][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -81.8 dBm

[2023-09-29 11:18:20.241814] [gNB 1][rsc 0][Rx 0][sfn 386][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

[2023-09-29 11:18:20.242158] [gNB 2][rsc 0][Rx 0][sfn 386][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:18:20.242503] [gNB 3][rsc 0][Rx 0][sfn 386][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

