,gNB0,P0,gNB1,P1,gNB2,P2,gNB3,P3
0,0.2,-59.3,-0.2,-61.5,-5.2,-54.1,-3.8,-60.5
1,3.2,-59.4,2.5,-61.8,-3.5,-53.6,-0.8,-60.8
2,0.0,-inf,0.0,-inf,-2.2,-54.9,0.0,-inf
3,0.0,-inf,-30.0,-62.3,-36.0,-55.0,0.0,-inf
4,-29.5,-59.7,-30.0,-62.2,-36.2,-55.9,0.0,-inf
5,0.0,-inf,-29.2,-62.2,-33.8,-56.5,-32.5,-60.8
6,-28.8,-59.6,-29.5,-62.2,-34.0,-55.1,0.0,-inf
7,0.0,-inf,-28.8,-62.3,-33.2,-54.2,0.0,-inf
8,0.0,-inf,-28.8,-62.3,-33.5,-53.0,0.0,-inf
9,-18.2,-59.6,0.0,-inf,-25.0,-53.1,0.0,-inf
10,-18.5,-59.5,0.0,-inf,-25.2,-54.1,0.0,-inf
11,-9.8,-59.5,-10.5,-62.2,-16.5,-54.7,0.0,-inf
12,0.0,-inf,-10.5,-62.2,-16.8,-55.8,0.0,-inf
13,0.0,-inf,-3.8,-62.1,-8.2,-56.5,0.0,-inf
14,-4.2,-59.5,0.0,-inf,-9.5,-55.1,0.0,-inf
15,1.5,-59.5,0.8,-62.0,-5.2,-55.0,0.0,-inf
16,1.2,-59.6,0.0,-inf,-5.5,-55.6,0.0,-inf
17,6.2,-59.5,5.5,-61.9,1.0,-56.4,2.2,-60.9
18,0.0,-inf,5.2,-61.9,0.8,-55.1,2.0,-60.9
19,10.8,-59.5,10.0,-62.1,4.0,-54.8,6.8,-60.8
20,10.5,-59.7,10.0,-62.1,5.2,-53.1,0.0,-inf
21,15.5,-59.7,14.8,-62.1,9.5,-54.4,0.0,-inf
22,15.2,-59.5,14.5,-62.1,10.0,-55.6,0.0,-inf
23,0.0,-inf,-19.8,-62.3,-24.5,-53.7,0.0,-inf
24,0.0,-inf,-19.0,-62.2,-25.0,-55.1,0.0,-inf
25,-20.5,-59.6,-21.0,-62.2,-26.2,-54.6,0.0,-inf
26,-20.5,-59.6,-21.2,-62.2,-27.2,-56.0,0.0,-inf
27,-14.8,-59.5,-15.5,-62.1,-20.2,-53.7,0.0,-inf
28,0.0,-inf,-15.8,-62.3,-21.8,-55.2,0.0,-inf
29,0.0,-inf,-9.8,-62.2,-16.0,-55.5,0.0,-inf
30,-9.2,-59.6,0.0,-inf,-15.5,-54.0,-13.5,-60.9
31,-4.5,-59.5,-5.2,-62.0,-10.0,-52.4,0.0,-inf
32,-4.8,-59.6,-5.5,-62.2,-10.2,-52.8,0.0,-inf
33,0.0,-inf,0.0,-inf,-41.2,-53.6,-39.0,-60.8
34,-35.2,-59.5,-35.8,-62.2,-40.5,-53.8,-39.2,-60.9
35,-65.2,-59.9,-66.0,-62.2,-71.2,-53.9,0.0,-inf
36,0.0,-inf,0.0,-inf,-72.2,-53.8,0.0,-inf
37,-54.8,-59.5,0.0,-inf,-60.8,-53.8,-58.8,-61.0
38,-55.0,-59.7,-55.8,-62.1,-60.2,-54.1,0.0,-inf
39,0.0,-inf,-36.8,-62.3,-41.5,-54.7,0.0,-inf
40,-36.2,-59.6,0.0,-inf,-43.2,-56.3,-40.5,-60.8
41,-21.5,-59.5,0.0,-inf,-27.5,-55.0,0.0,-inf
42,-21.8,-59.5,-22.5,-62.1,-27.0,-54.8,0.0,-inf
43,0.0,-inf,-5.8,-62.3,-11.2,-53.7,0.0,-inf
44,-5.2,-59.6,-5.8,-62.2,-11.8,-52.7,-9.2,-60.8
45,2.8,-59.7,2.0,-62.0,-4.0,-55.8,0.0,-inf
46,2.5,-59.4,1.8,-62.1,-2.8,-55.7,0.0,-inf
47,10.2,-59.6,9.5,-62.2,4.5,-53.7,0.0,-inf
48,0.0,-inf,9.2,-62.2,4.8,-54.3,0.0,-inf
49,0.0,-inf,17.2,-62.0,11.0,-55.8,13.8,-60.9
50,17.8,-59.6,17.0,-62.1,11.0,-52.9,0.0,-inf
51,25.5,-59.5,24.8,-62.2,20.2,-55.3,0.0,-inf
52,25.2,-59.6,24.5,-62.2,19.8,-53.6,0.0,-inf
53,23.0,-59.5,22.5,-62.3,16.2,-55.3,0.0,-inf
54,0.0,-inf,22.2,-62.1,16.0,-56.3,0.0,-inf
55,18.8,-59.6,0.0,-inf,13.2,-52.3,14.8,-60.8
56,18.5,-59.5,17.8,-62.1,13.2,-55.1,0.0,-inf
57,21.2,-59.6,20.5,-62.1,14.5,-54.9,0.0,-inf
58,21.0,-59.6,20.5,-62.1,14.8,-53.7,0.0,-inf
59,0.0,-inf,-13.8,-62.3,-18.2,-56.5,0.0,-inf
60,-14.2,-59.5,-15.0,-62.2,-20.8,-53.2,0.0,-inf
61,-16.5,-59.4,0.0,-inf,2025.5,-55.0,-20.5,-60.7
62,-16.8,-59.6,0.0,-inf,-22.0,-53.5,0.0,-inf
63,-11.8,-59.7,-12.5,-62.0,-18.8,-56.3,0.0,-inf
64,0.0,-inf,-12.8,-62.2,-18.8,-55.0,0.0,-inf
65,0.0,-inf,-45.0,-62.1,-50.2,-54.0,0.0,-inf
66,-43.5,-59.5,0.0,-inf,-50.2,-55.1,0.0,-inf
67,-38.8,-59.6,-39.2,-62.3,-44.0,-53.0,0.0,-inf
68,-38.8,-59.6,-39.5,-62.1,-45.5,-55.4,0.0,-inf
69,0.0,-inf,-37.8,-62.2,-42.2,-55.6,0.0,-inf
70,0.0,-inf,-38.0,-62.2,-44.0,-54.4,0.0,-inf
71,-35.5,-59.5,0.0,-inf,-42.0,-52.5,-39.5,-60.8
