,gNB0,P0,gNB1,P1,gNB2,P2,gNB3,P3
0,-15.0,-56.7,-15.0,-56.1,-13.0,-55.4,-14.0,-56.5
1,-11.0,-55.2,-11.0,-56.0,-10.0,-55.3,-11.0,-57.5
2,-10.0,-57.3,-11.0,-57.2,-10.0,-56.9,-11.0,-56.1
3,0.0,-inf,-8.0,-56.9,0.0,-inf,-7.0,-55.9
4,-7.0,-56.1,-8.0,-55.9,0.0,-inf,-7.0,-56.9
5,-5.0,-55.3,-5.0,-56.5,-4.0,-55.4,-5.0,-57.4
6,0.0,-inf,-5.0,-58.1,0.0,-inf,-5.0,-56.2
7,-4.0,-55.1,-3.0,-56.9,-1.0,-55.0,-2.0,-56.6
8,-3.0,-55.2,-3.0,-56.5,-1.0,-54.8,0.0,-inf
9,-1.0,-55.3,0.0,-56.7,1.0,-54.4,0.0,-57.0
10,-2.0,-54.4,-1.0,-58.2,1.0,-53.9,0.0,-56.6
11,2.0,-54.7,2.0,-56.9,4.0,-55.7,3.0,-56.4
12,3.0,-56.1,2.0,-56.2,4.0,-55.1,0.0,-inf
13,3.0,-55.2,5.0,-56.9,6.0,-54.9,5.0,-57.0
14,3.0,-54.8,4.0,-58.3,6.0,-53.8,5.0,-56.0
15,6.0,-54.9,7.0,-56.5,9.0,-55.9,8.0,-56.6
16,7.0,-55.1,7.0,-56.5,8.0,-55.5,7.0,-58.3
17,8.0,-53.5,10.0,-57.2,0.0,-inf,10.0,-56.6
18,0.0,-inf,9.0,-57.6,11.0,-55.4,10.0,-56.3
19,12.0,-54.2,12.0,-56.6,14.0,-54.9,13.0,-56.7
20,12.0,-54.4,12.0,-56.3,13.0,-54.9,0.0,-inf
21,1038.0,-52.5,15.0,-57.7,16.0,-55.0,15.0,-56.3
22,14.0,-54.4,14.0,-57.3,16.0,-53.8,15.0,-56.3
23,18.0,-56.7,17.0,-56.6,19.0,-54.5,18.0,-57.0
24,17.0,-54.6,17.0,-56.2,18.0,-54.9,17.0,-57.6
25,19.0,-54.8,20.0,-58.0,21.0,-53.9,20.0,-56.5
26,18.0,-59.2,19.0,-57.2,21.0,-55.3,0.0,-inf
27,21.0,-52.5,22.0,-56.5,24.0,-55.4,23.0,-57.2
28,22.0,-55.2,22.0,-56.5,23.0,-54.8,22.0,-57.6
29,24.0,-56.0,25.0,-58.4,26.0,-53.8,25.0,-56.4
30,23.0,-54.2,23.0,-57.0,0.0,-inf,24.0,-56.4
31,27.0,-55.8,27.0,-56.3,0.0,-inf,28.0,-57.3
32,27.0,-56.1,27.0,-56.5,28.0,-54.7,27.0,-57.5
33,29.0,-56.6,30.0,-58.6,31.0,-54.1,30.0,-56.2
34,29.0,-55.6,29.0,-57.0,31.0,-53.8,30.0,-56.5
35,32.0,-55.2,32.0,-56.5,34.0,-54.9,0.0,-inf
36,1055.0,-52.2,32.0,-56.7,33.0,-54.5,32.0,-57.4
37,33.0,-53.8,35.0,-58.3,36.0,-55.1,35.0,-56.4
38,33.0,-54.3,34.0,-57.1,36.0,-56.1,0.0,-inf
39,38.0,-56.0,37.0,-55.9,39.0,-54.6,0.0,-inf
40,1060.0,-52.3,37.0,-56.1,38.0,-54.1,37.0,-56.9
41,27.0,-53.9,29.0,-58.2,30.0,-57.0,29.0,-56.0
42,1052.0,-52.2,28.0,-56.6,30.0,-53.4,29.0,-56.1
43,18.0,-53.3,19.0,-55.9,21.0,-55.6,20.0,-57.1
44,18.0,-54.3,19.0,-56.2,20.0,-54.3,0.0,-inf
45,10.0,-55.6,12.0,-57.8,13.0,-56.8,12.0,-56.0
46,9.0,-55.4,10.0,-56.5,12.0,-55.5,11.0,-56.0
47,8.0,-56.0,7.0,-56.1,9.0,-54.5,8.0,-57.0
48,6.0,-54.8,7.0,-56.5,8.0,-55.5,7.0,-57.3
49,1.0,-54.2,3.0,-57.9,4.0,-54.4,3.0,-56.7
50,2.0,-54.3,2.0,-57.0,4.0,-53.8,3.0,-56.2
51,-1.0,-56.5,-2.0,-56.5,0.0,-54.6,-1.0,-57.0
52,-3.0,-54.4,-2.0,-56.7,-1.0,-55.2,-2.0,-57.6
53,-8.0,-53.2,-6.0,-57.9,-5.0,-54.7,-6.0,-56.6
54,-7.0,-54.4,-7.0,-57.3,-5.0,-53.7,-6.0,-56.1
55,-10.0,-56.5,-11.0,-56.5,-9.0,-54.6,-10.0,-57.0
56,-11.0,-55.1,-11.0,-56.4,-10.0,-54.8,0.0,-inf
57,-16.0,-54.5,-15.0,-57.7,-14.0,-53.9,0.0,-inf
58,-17.0,-59.3,-16.0,-57.3,-14.0,-53.8,-15.0,-56.0
59,-20.0,-54.8,-20.0,-56.0,-18.0,-55.9,-19.0,-56.9
60,-21.0,-54.7,-21.0,-56.2,-20.0,-54.7,-21.0,-57.8
61,-26.0,-53.4,-24.0,-57.6,-23.0,-56.4,-24.0,-56.3
62,2023.0,-55.0,-25.0,-57.5,-23.0,-53.8,-24.0,-56.1
63,-29.0,-55.7,-29.0,-56.3,-27.0,-55.5,0.0,-inf
64,-29.0,-54.6,-29.0,-56.5,-28.0,-55.0,-29.0,-57.9
65,-35.0,-52.8,-33.0,-57.8,-32.0,-55.4,-33.0,-56.4
66,0.0,-inf,-34.0,-57.4,-32.0,-53.8,-33.0,-56.4
67,-38.0,-54.3,-38.0,-56.3,-36.0,-55.0,0.0,-inf
68,-38.0,-55.0,-38.0,-56.6,-37.0,-55.0,-38.0,-57.6
69,-1068.0,-53.5,-43.0,-57.7,-42.0,-54.0,-43.0,-56.8
70,-43.0,-54.4,-43.0,-57.4,-41.0,-56.3,-42.0,-56.1
71,-47.0,-54.4,0.0,-inf,-45.0,-54.5,-46.0,-57.1
72,-47.0,-55.0,0.0,-inf,-46.0,-55.1,0.0,-inf
73,0.0,-inf,-51.0,-57.6,-50.0,-54.2,-51.0,-56.5
74,-53.0,-54.7,-52.0,-57.6,-50.0,-54.8,-51.0,-56.3
