,gNB0,P0,gNB1,P1,gNB2,P2,gNB3,P3
0,-3.0,-51.7,-3.0,-53.3,-3.0,-50.3,-4.0,-49.2
1,0.0,-inf,0.0,-inf,-1.0,-50.6,-2.0,-48.0
2,0.0,-inf,-1.0,-53.6,-1.0,-51.2,-2.0,-48.9
3,0.0,-inf,1.0,-53.2,1.0,-51.5,0.0,-48.9
4,0.0,-inf,1.0,-52.8,0.0,-51.0,0.0,-48.4
5,0.0,-inf,3.0,-53.3,2.0,-51.2,2.0,-49.0
6,0.0,-inf,0.0,-inf,2.0,-51.1,2.0,-48.9
7,0.0,-inf,0.0,-inf,4.0,-50.6,3.0,-49.0
8,0.0,-inf,0.0,-inf,4.0,-50.9,3.0,-49.1
9,0.0,-inf,0.0,-inf,6.0,-50.8,5.0,-48.9
10,0.0,-inf,0.0,-inf,6.0,-50.7,5.0,-48.2
11,0.0,-inf,0.0,-inf,8.0,-51.2,7.0,-49.3
12,8.0,-51.6,0.0,-inf,8.0,-51.1,7.0,-48.9
13,10.0,-51.2,0.0,-inf,10.0,-51.4,9.0,-48.6
14,10.0,-51.5,10.0,-53.4,9.0,-51.5,9.0,-48.7
15,12.0,-51.1,0.0,-inf,11.0,-51.0,11.0,-49.2
16,0.0,-inf,12.0,-53.2,11.0,-50.8,11.0,-49.1
17,0.0,-inf,14.0,-53.6,13.0,-50.8,12.0,-49.3
18,0.0,-inf,14.0,-53.3,13.0,-50.5,12.0,-48.7
19,0.0,-inf,16.0,-53.6,15.0,-50.5,14.0,-49.3
20,0.0,-inf,0.0,-inf,15.0,-50.8,14.0,-49.0
21,0.0,-inf,0.0,-inf,17.0,-51.0,16.0,-48.5
22,0.0,-inf,0.0,-inf,17.0,-51.0,16.0,-48.6
23,0.0,-inf,0.0,-inf,19.0,-51.5,18.0,-48.6
24,0.0,-inf,0.0,-inf,18.0,-51.7,18.0,-48.5
25,0.0,-inf,0.0,-inf,20.0,-51.1,20.0,-48.7
26,21.0,-51.0,0.0,-inf,20.0,-50.9,20.0,-48.9
27,18.0,-51.2,0.0,-inf,17.0,-50.8,16.0,-49.1
28,18.0,-51.8,0.0,-inf,17.0,-50.9,16.0,-49.2
29,11.0,-51.8,0.0,-inf,10.0,-50.7,9.0,-48.6
30,0.0,-inf,0.0,-inf,10.0,-50.4,-1015.0,-49.0
31,0.0,-inf,0.0,-inf,20.0,-50.6,19.0,-48.5
32,0.0,-inf,20.0,-53.4,20.0,-50.9,19.0,-49.4
33,0.0,-inf,19.0,-53.3,19.0,-51.2,18.0,-48.7
34,0.0,-inf,19.0,-53.3,19.0,-51.6,18.0,-48.7
35,0.0,-inf,0.0,-inf,17.0,-51.4,17.0,-49.3
36,0.0,-inf,0.0,-inf,17.0,-51.2,17.0,-48.9
37,0.0,-inf,0.0,-inf,16.0,-51.1,16.0,-49.2
38,0.0,-inf,0.0,-inf,16.0,-51.0,15.0,-49.1
39,0.0,-inf,0.0,-inf,15.0,-50.9,14.0,-48.9
40,16.0,-52.0,0.0,-inf,15.0,-51.0,14.0,-49.4
41,15.0,-52.3,0.0,-inf,14.0,-51.0,13.0,-49.5
42,14.0,-52.2,0.0,-inf,14.0,-51.1,-1011.0,-49.0
43,13.0,-51.9,13.0,-53.7,13.0,-51.2,12.0,-48.6
44,13.0,-51.8,13.0,-53.6,13.0,-51.3,12.0,-48.8
45,12.0,-51.7,12.0,-53.5,11.0,-51.6,11.0,-48.9
46,0.0,-inf,12.0,-53.3,11.0,-51.3,11.0,-49.0
47,0.0,-inf,11.0,-53.3,10.0,-51.1,10.0,-49.1
48,0.0,-inf,11.0,-53.3,10.0,-50.9,10.0,-49.2
49,0.0,-inf,0.0,-inf,9.0,-50.9,8.0,-49.2
50,0.0,-inf,0.0,-inf,9.0,-50.9,8.0,-48.8
51,0.0,-inf,0.0,-inf,8.0,-50.9,7.0,-48.7
52,0.0,-inf,0.0,-inf,8.0,-50.9,-1017.0,-49.0
53,0.0,-inf,0.0,-inf,7.0,-50.9,6.0,-48.3
54,0.0,-inf,0.0,-inf,7.0,-51.1,6.0,-49.4
55,6.0,-51.1,0.0,-inf,6.0,-51.4,5.0,-48.3
56,6.0,-51.1,6.0,-53.5,5.0,-51.3,5.0,-49.0
57,5.0,-51.5,5.0,-53.4,4.0,-51.3,4.0,-48.8
58,5.0,-51.3,0.0,-inf,4.0,-51.0,4.0,-48.8
59,0.0,-inf,0.0,-inf,3.0,-50.4,2.0,-49.0
60,0.0,-inf,4.0,-53.4,3.0,-50.6,2.0,-49.2
61,0.0,-inf,3.0,-53.9,2.0,-50.8,1.0,-49.2
62,0.0,-inf,3.0,-54.0,2.0,-50.9,1.0,-48.9
63,0.0,-inf,0.0,-inf,1.0,-50.8,0.0,-48.7
64,0.0,-inf,0.0,-inf,1.0,-50.9,0.0,-48.1
65,0.0,-inf,0.0,-inf,0.0,-51.4,-1.0,-48.3
66,0.0,-inf,0.0,-inf,-1.0,-51.8,-1.0,-48.6
67,0.0,-inf,0.0,-inf,-2.0,-51.4,-2.0,-49.1
68,-1.0,-51.2,0.0,-inf,-2.0,-50.9,-2.0,-48.7
69,-2.0,-51.1,0.0,-inf,-3.0,-50.7,-3.0,-49.0
70,-2.0,-51.2,0.0,-inf,-3.0,-50.7,-4.0,-49.2
71,-3.0,-51.7,0.0,-inf,-4.0,-50.7,-5.0,-48.6
72,-3.0,-52.2,0.0,-inf,-4.0,-50.8,-5.0,-48.5
73,0.0,-inf,0.0,-inf,-5.0,-50.5,-6.0,-48.9
74,0.0,-inf,0.0,-inf,-5.0,-50.7,-6.0,-48.6
75,0.0,-inf,-6.0,-53.3,-6.0,-51.2,-7.0,-48.2
76,0.0,-inf,-6.0,-53.5,-6.0,-51.6,-7.0,-48.6
77,0.0,-inf,0.0,-inf,-8.0,-51.5,-8.0,-49.1
78,0.0,-inf,0.0,-inf,-8.0,-50.9,-8.0,-49.2
79,0.0,-inf,0.0,-inf,-9.0,-50.8,-9.0,-49.1
80,0.0,-inf,0.0,-inf,-9.0,-51.0,-10.0,-49.1
81,0.0,-inf,0.0,-inf,-10.0,-50.8,-11.0,-49.2
82,0.0,-inf,0.0,-inf,-10.0,-50.6,-11.0,-48.5
83,-10.0,-52.1,0.0,-inf,-11.0,-50.9,-12.0,-48.6
84,-11.0,-52.0,0.0,-inf,-11.0,-51.0,-12.0,-48.9
85,-12.0,-51.4,0.0,-inf,-12.0,-51.0,-13.0,-48.5
86,-12.0,-51.7,-12.0,-53.6,-12.0,-51.6,-13.0,-48.7
87,0.0,-inf,0.0,-inf,-14.0,-51.0,-14.0,-48.7
88,0.0,-inf,-13.0,-53.3,-14.0,-51.2,-14.0,-49.1
89,0.0,-inf,-14.0,-53.1,-15.0,-50.8,-15.0,-49.0
90,0.0,-inf,-14.0,-53.2,-15.0,-50.7,-16.0,-49.2
91,0.0,-inf,0.0,-inf,-16.0,-50.9,-17.0,-49.1
92,0.0,-inf,0.0,-inf,-16.0,-50.6,-17.0,-49.1
93,0.0,-inf,0.0,-inf,-17.0,-51.1,-18.0,-48.6
94,0.0,-inf,0.0,-inf,-17.0,-50.8,-18.0,-48.5
95,0.0,-inf,0.0,-inf,-12.0,-51.4,-13.0,-48.6
96,0.0,-inf,0.0,-inf,-12.0,-51.3,-13.0,-48.6
97,-7.0,-51.4,0.0,-inf,-8.0,-51.6,-8.0,-48.8
98,-7.0,-51.0,0.0,-inf,-8.0,-51.0,-8.0,-49.0
99,-2.0,-51.4,0.0,-inf,-3.0,-51.0,-3.0,-49.1
100,-2.0,-51.3,-2.0,-53.5,-3.0,-50.7,-4.0,-49.1
101,0.0,-inf,0.0,-inf,0.0,-50.6,-1.0,-48.6
102,0.0,-inf,1.0,-54.1,0.0,-50.8,-1.0,-48.6
103,0.0,-inf,3.0,-53.6,3.0,-50.6,2.0,-48.1
104,0.0,-inf,3.0,-53.6,3.0,-51.0,2.0,-48.2
105,0.0,-inf,0.0,-inf,6.0,-51.2,5.0,-48.1
106,0.0,-inf,0.0,-inf,6.0,-51.6,5.0,-48.5
107,0.0,-inf,0.0,-inf,8.0,-51.3,8.0,-48.6
108,0.0,-inf,0.0,-inf,8.0,-51.2,8.0,-48.9
109,0.0,-inf,0.0,-inf,11.0,-50.9,11.0,-49.2
110,0.0,-inf,0.0,-inf,11.0,-50.9,10.0,-48.9
111,15.0,-51.6,0.0,-inf,14.0,-50.6,13.0,-48.8
112,15.0,-52.0,0.0,-inf,14.0,-50.9,13.0,-48.6
113,17.0,-51.9,0.0,-inf,17.0,-50.7,16.0,-48.6
114,17.0,-52.0,17.0,-53.8,17.0,-51.1,16.0,-48.6
115,0.0,-inf,0.0,-inf,20.0,-51.3,19.0,-49.0
116,20.0,-51.8,20.0,-53.4,19.0,-51.5,19.0,-49.3
117,0.0,-inf,23.0,-53.0,22.0,-51.3,-1002.0,-49.0
118,0.0,-inf,23.0,-53.3,22.0,-51.0,22.0,-48.9
119,0.0,-inf,26.0,-53.2,25.0,-50.9,24.0,-49.3
120,0.0,-inf,0.0,-inf,25.0,-50.8,24.0,-48.8
121,0.0,-inf,0.0,-inf,28.0,-50.9,27.0,-48.7
122,0.0,-inf,0.0,-inf,28.0,-50.8,27.0,-49.4
123,0.0,-inf,0.0,-inf,31.0,-51.2,30.0,-49.6
124,0.0,-inf,0.0,-inf,31.0,-51.1,30.0,-49.2
125,34.0,-51.8,0.0,-inf,34.0,-51.7,33.0,-48.5
126,34.0,-51.2,0.0,-inf,33.0,-51.6,33.0,-48.8
127,28.0,-51.5,0.0,-inf,27.0,-51.5,27.0,-48.8
128,28.0,-51.1,0.0,-inf,27.0,-51.0,27.0,-49.2
129,22.0,-51.6,0.0,-inf,21.0,-50.9,20.0,-49.1
130,0.0,-inf,22.0,-53.5,21.0,-50.8,20.0,-49.0
131,0.0,-inf,16.0,-53.7,15.0,-50.7,14.0,-48.8
132,0.0,-inf,15.0,-53.9,15.0,-50.8,14.0,-48.8
133,0.0,-inf,9.0,-53.5,9.0,-51.0,8.0,-49.0
134,0.0,-inf,0.0,-inf,9.0,-51.1,8.0,-48.9
135,0.0,-inf,0.0,-inf,3.0,-51.6,2.0,-49.1
136,0.0,-inf,0.0,-inf,2.0,-51.3,2.0,-49.0
137,0.0,-inf,0.0,-inf,-4.0,-51.3,-4.0,-49.1
138,0.0,-inf,0.0,-inf,-4.0,-50.8,-4.0,-49.0
139,-9.0,-51.6,0.0,-inf,-10.0,-50.9,-11.0,-49.0
140,-9.0,-51.3,0.0,-inf,-10.0,-50.6,-11.0,-48.8
141,-15.0,-52.1,0.0,-inf,-16.0,-51.0,-17.0,-48.6
142,-16.0,-52.0,0.0,-inf,-16.0,-50.6,-17.0,-49.3
143,-22.0,-52.3,-22.0,-54.0,-22.0,-51.1,-23.0,-49.0
144,0.0,-inf,0.0,-inf,-22.0,-50.8,-23.0,-48.7
145,0.0,-inf,-28.0,-53.5,-28.0,-51.6,-29.0,-48.7
146,0.0,-inf,-28.0,-53.1,-29.0,-51.2,-29.0,-49.4
147,0.0,-inf,-34.0,-53.3,-35.0,-51.2,-35.0,-49.1
148,0.0,-inf,0.0,-inf,-35.0,-50.9,989.0,-49.0
149,0.0,-inf,0.0,-inf,-30.0,-50.6,-31.0,-49.0
150,0.0,-inf,0.0,-inf,-30.0,-50.9,-31.0,-49.0
151,0.0,-inf,0.0,-inf,-18.0,-51.0,-19.0,-48.6
152,0.0,-inf,0.0,-inf,-18.0,-50.7,-19.0,-48.5
153,0.0,-inf,0.0,-inf,-6.0,-50.8,-7.0,-48.2
154,-6.0,-51.3,0.0,-inf,-6.0,-51.1,-7.0,-49.4
155,0.0,-51.4,0.0,-inf,0.0,-51.5,-1.0,-48.7
156,0.0,-51.6,0.0,-inf,-1.0,-51.6,-1.0,-48.3
157,0.0,-51.1,0.0,-inf,-1.0,-51.0,-1.0,-49.0
158,0.0,-inf,0.0,-inf,-1.0,-50.6,-1.0,-48.8
159,0.0,-inf,0.0,-53.0,-1.0,-50.5,-2.0,-49.1
160,0.0,-inf,0.0,-53.2,-1.0,-50.5,-2.0,-49.3
161,0.0,-inf,0.0,-53.7,-1.0,-50.6,-2.0,-48.6
162,0.0,-inf,0.0,-54.1,-1.0,-50.8,-2.0,-48.3
163,0.0,-inf,0.0,-inf,-1.0,-50.9,-2.0,-49.0
164,0.0,-inf,0.0,-inf,-1.0,-51.2,1022.0,-49.0
165,0.0,-inf,0.0,-inf,8.0,-51.4,7.0,-48.5
166,0.0,-inf,0.0,-inf,8.0,-51.7,7.0,-48.8
167,0.0,-inf,0.0,-inf,19.0,-51.4,19.0,-48.9
168,20.0,-51.2,0.0,-inf,19.0,-51.0,19.0,-48.8
169,19.0,-51.1,0.0,-inf,18.0,-50.8,18.0,-49.1
170,19.0,-51.2,0.0,-inf,18.0,-50.7,17.0,-49.0
171,18.0,-51.5,0.0,-inf,17.0,-50.7,16.0,-48.9
172,0.0,-inf,18.0,-54.1,17.0,-50.7,16.0,-48.8
173,0.0,-inf,16.0,-54.3,16.0,-50.8,15.0,-48.7
174,0.0,-inf,16.0,-53.9,16.0,-50.9,15.0,-48.6
175,0.0,-inf,15.0,-53.4,15.0,-51.2,14.0,-48.9
176,0.0,-inf,0.0,-inf,15.0,-51.3,14.0,-48.5
177,0.0,-inf,0.0,-inf,11.0,-51.2,11.0,-48.9
178,0.0,-inf,0.0,-inf,11.0,-51.1,11.0,-49.0
179,0.0,-inf,0.0,-inf,8.0,-51.1,8.0,-49.0
180,0.0,-inf,0.0,-inf,8.0,-50.9,7.0,-49.0
181,0.0,-inf,0.0,-inf,18.0,-50.7,17.0,-48.9
182,0.0,-inf,0.0,-inf,18.0,-50.6,17.0,-48.7
183,29.0,-52.2,0.0,-inf,28.0,-51.0,27.0,-48.8
184,28.0,-52.0,0.0,-inf,28.0,-50.8,27.0,-49.5
185,38.0,-51.7,0.0,-inf,38.0,-51.1,37.0,-49.4
186,38.0,-51.9,38.0,-53.8,38.0,-51.4,37.0,-48.7
187,0.0,-inf,32.0,-53.1,31.0,-51.3,31.0,-48.6
188,0.0,-inf,32.0,-53.1,31.0,-51.2,31.0,-49.0
189,0.0,-inf,26.0,-53.4,25.0,-51.1,25.0,-49.0
190,0.0,-inf,26.0,-52.9,25.0,-50.7,25.0,-49.3
191,0.0,-inf,0.0,-inf,19.0,-50.8,18.0,-49.1
192,0.0,-inf,0.0,-inf,19.0,-50.8,18.0,-48.6
193,0.0,-inf,0.0,-inf,13.0,-50.8,12.0,-48.8
194,0.0,-inf,0.0,-inf,13.0,-51.0,12.0,-49.6
195,0.0,-inf,0.0,-inf,7.0,-51.0,6.0,-49.6
196,7.0,-51.6,0.0,-inf,7.0,-51.3,6.0,-49.4
197,1.0,-50.9,0.0,-inf,0.0,-51.5,0.0,-49.0
198,1.0,-51.3,0.0,-inf,0.0,-51.1,0.0,-49.0
199,9.0,-51.2,9.0,-53.4,8.0,-50.9,8.0,-49.2
200,0.0,-inf,0.0,-inf,8.0,-50.5,7.0,-49.2
201,17.0,-51.8,17.0,-53.8,16.0,-50.7,15.0,-49.0
202,0.0,-inf,0.0,-inf,16.0,-50.5,15.0,-48.8
203,0.0,-inf,24.0,-54.2,24.0,-50.8,23.0,-48.7
204,0.0,-inf,24.0,-53.5,24.0,-50.9,23.0,-49.0
205,0.0,-inf,0.0,-inf,21.0,-51.2,20.0,-48.5
206,0.0,-inf,0.0,-inf,21.0,-51.6,-1004.0,-49.0
207,0.0,-inf,0.0,-inf,29.0,-51.4,29.0,-48.8
208,0.0,-inf,0.0,-inf,29.0,-51.3,29.0,-48.8
209,0.0,-inf,0.0,-inf,38.0,-51.1,38.0,-49.1
210,39.0,-51.5,0.0,-inf,38.0,-50.8,37.0,-49.1
211,48.0,-51.8,0.0,-inf,47.0,-51.1,46.0,-48.9
212,48.0,-51.9,0.0,-inf,47.0,-50.9,46.0,-48.8
213,39.0,-52.3,0.0,-inf,39.0,-50.9,-986.0,-49.0
214,39.0,-52.1,39.0,-54.0,39.0,-51.1,38.0,-48.7
215,0.0,-inf,0.0,-inf,28.0,-51.1,27.0,-49.3
216,0.0,-inf,28.0,-53.2,28.0,-51.5,27.0,-48.7
217,0.0,-inf,17.0,-53.3,16.0,-51.3,16.0,-49.2
218,0.0,-inf,17.0,-52.8,16.0,-50.8,16.0,-49.0
219,0.0,-inf,0.0,-inf,5.0,-51.0,5.0,-49.3
220,0.0,-inf,0.0,-inf,5.0,-50.8,4.0,-48.9
221,0.0,-inf,0.0,-inf,-6.0,-50.5,-7.0,-48.9
222,0.0,-inf,0.0,-inf,-6.0,-50.9,-7.0,-48.9
223,0.0,-inf,0.0,-inf,-17.0,-50.9,-18.0,-48.5
224,0.0,-inf,0.0,-inf,-17.0,-51.0,-18.0,-49.1
225,-28.0,-51.8,0.0,-inf,-28.0,-51.8,-29.0,-48.6
226,-28.0,-51.2,0.0,-inf,-29.0,-51.5,-29.0,-49.4
227,-39.0,-51.3,0.0,-inf,-40.0,-51.2,-40.0,-48.9
228,-39.0,-51.8,0.0,-inf,-40.0,-51.3,-40.0,-49.1
229,0.0,-inf,-50.0,-53.9,-51.0,-51.1,-52.0,-49.5
230,0.0,-inf,0.0,-inf,-51.0,-50.7,-52.0,-49.2
231,0.0,-inf,-61.0,-54.4,-62.0,-51.3,-63.0,-49.0
232,0.0,-inf,-62.0,-54.5,-62.0,-51.3,-63.0,-49.1
233,0.0,-inf,0.0,-inf,-73.0,-51.5,-74.0,-49.1
234,0.0,-inf,0.0,-inf,-73.0,-52.2,-74.0,-49.0
235,0.0,-inf,0.0,-inf,-84.0,-52.4,-85.0,-49.4
236,0.0,-inf,0.0,-inf,-85.0,-52.4,-85.0,-49.5
237,0.0,-inf,0.0,-inf,-75.0,-52.1,-75.0,-49.4
238,0.0,-inf,0.0,-inf,-75.0,-51.6,-75.0,-49.8
239,-64.0,-52.1,0.0,-inf,-65.0,-51.3,-66.0,-49.5
240,-64.0,-52.3,0.0,-inf,-65.0,-51.5,-66.0,-49.0
241,-47.0,-52.2,0.0,-inf,-48.0,-51.0,-49.0,-48.8
242,0.0,-inf,0.0,-inf,-48.0,-51.0,-49.0,-48.8
243,-31.0,-52.2,-31.0,-53.9,-31.0,-51.3,-32.0,-48.7
244,0.0,-inf,-31.0,-53.5,-31.0,-51.4,-32.0,-48.8
245,0.0,-inf,-14.0,-52.9,-15.0,-51.3,1009.0,-49.0
246,0.0,-inf,-14.0,-53.3,-15.0,-51.3,-15.0,-49.0
247,0.0,-inf,3.0,-52.8,2.0,-50.8,2.0,-48.9
248,0.0,-inf,0.0,-inf,2.0,-50.9,1.0,-49.1
249,0.0,-inf,0.0,-inf,15.0,-50.6,14.0,-48.9
250,0.0,-inf,0.0,-inf,15.0,-50.7,14.0,-48.8
251,0.0,-inf,0.0,-inf,15.0,-51.0,14.0,-49.3
252,0.0,-inf,0.0,-inf,15.0,-50.8,14.0,-48.6
253,15.0,-51.8,0.0,-inf,15.0,-51.3,14.0,-48.5
254,15.0,-51.1,0.0,-inf,15.0,-51.4,14.0,-48.6
255,15.0,-51.3,0.0,-inf,14.0,-51.4,14.0,-49.0
256,15.0,-51.2,15.0,-53.4,14.0,-51.0,14.0,-49.0
257,0.0,-inf,0.0,-inf,14.0,-50.7,14.0,-49.0
258,0.0,-inf,15.0,-53.5,14.0,-50.8,13.0,-49.1
259,0.0,-inf,15.0,-53.3,14.0,-50.5,13.0,-48.8
260,0.0,-inf,15.0,-53.9,14.0,-50.7,13.0,-48.8
261,0.0,-inf,0.0,-inf,14.0,-50.8,13.0,-48.7
262,0.0,-inf,0.0,-inf,14.0,-50.9,-1011.0,-49.0
263,0.0,-inf,0.0,-inf,14.0,-51.4,13.0,-49.5
264,0.0,-inf,0.0,-inf,14.0,-51.3,13.0,-48.7
265,0.0,-inf,0.0,-inf,13.0,-51.6,-1011.0,-49.0
266,0.0,-inf,0.0,-inf,13.0,-51.0,13.0,-48.9
267,0.0,-inf,0.0,-inf,13.0,-50.8,13.0,-49.0
268,14.0,-51.5,0.0,-inf,13.0,-50.9,12.0,-48.9
269,14.0,-51.4,0.0,-inf,13.0,-50.5,12.0,-48.8
270,14.0,-51.8,0.0,-inf,13.0,-50.6,12.0,-48.8
271,11.0,-52.5,0.0,-inf,11.0,-50.9,10.0,-49.5
272,0.0,-inf,0.0,-inf,11.0,-50.6,10.0,-49.3
273,0.0,-inf,9.0,-53.2,9.0,-51.1,8.0,-49.0
274,0.0,-inf,9.0,-53.4,9.0,-51.5,8.0,-49.1
275,0.0,-inf,7.0,-53.1,6.0,-51.5,6.0,-48.8
276,0.0,-inf,0.0,-inf,6.0,-50.9,6.0,-48.9
277,0.0,-inf,0.0,-inf,4.0,-50.9,4.0,-49.1
278,0.0,-inf,0.0,-inf,4.0,-51.0,3.0,-49.1
279,0.0,-inf,0.0,-inf,2.0,-50.8,1.0,-48.7
280,0.0,-inf,0.0,-inf,2.0,-50.6,1.0,-48.8
281,0.0,-inf,0.0,-inf,0.0,-50.7,-1.0,-48.4
282,0.0,-52.1,0.0,-inf,0.0,-51.2,1023.0,-49.0
283,-2.0,-51.6,0.0,-inf,-2.0,-50.9,-3.0,-48.1
284,-2.0,-51.2,0.0,-inf,-2.0,-51.3,-3.0,-48.1
285,-4.0,-51.4,-4.0,-53.5,-5.0,-51.4,-5.0,-48.5
286,0.0,-inf,0.0,-inf,-5.0,-51.0,-5.0,-48.9
287,0.0,-inf,-6.0,-52.9,-7.0,-50.7,-7.0,-49.1
288,0.0,-inf,-6.0,-53.5,-7.0,-50.8,-8.0,-49.2
289,0.0,-inf,-8.0,-53.2,-9.0,-50.7,-10.0,-49.0
290,0.0,-inf,-8.0,-53.7,-9.0,-50.6,-10.0,-48.6
291,0.0,-inf,0.0,-inf,-6.0,-50.9,-7.0,-49.3
292,0.0,-inf,0.0,-inf,-6.0,-50.7,-7.0,-49.0
