,gNB0,P0,gNB1,P1,gNB2,P2,gNB3,P3
0,0.0,-inf,0.0,-inf,-1.0,-46.4,-1.0,-46.4
1,0.0,-inf,0.0,-inf,-1.0,-47.2,-1.0,-48.3
2,0.0,-inf,0.0,-inf,-2.0,-48.3,0.0,-47.8
3,0.0,-inf,0.0,-inf,-1.0,-46.3,0.0,-46.1
4,0.0,-inf,0.0,-inf,-1.0,-46.4,-1.0,-46.4
5,0.0,-inf,0.0,-inf,-1.0,-46.5,-1.0,-47.7
6,0.0,-inf,0.0,-inf,-2.0,-49.0,0.0,-48.6
7,0.0,-inf,0.0,-inf,-2.0,-46.5,0.0,-46.7
8,0.0,-inf,0.0,-inf,-1.0,-46.4,-1.0,-46.4
9,0.0,-inf,0.0,-inf,-1.0,-46.5,-1.0,-47.7
10,0.0,-inf,0.0,-inf,-3.0,-48.9,0.0,-48.4
11,0.0,-inf,0.0,-inf,-1.0,-46.3,0.0,-46.2
12,0.0,-inf,0.0,-inf,-1.0,-47.2,-1.0,-48.2
13,0.0,-inf,0.0,-inf,-1.0,-46.4,0.0,-46.2
14,0.0,-inf,0.0,-inf,-1.0,-48.7,-1.0,-48.8
15,0.0,-inf,0.0,-inf,-1.0,-46.4,-1.0,-46.3
16,0.0,-inf,0.0,-inf,-1.0,-48.0,-1.0,-48.0
17,0.0,-inf,0.0,-inf,-2.0,-46.5,0.0,-47.5
18,0.0,-inf,0.0,-inf,-1.0,-46.4,-1.0,-46.4
19,0.0,-inf,0.0,-inf,-1.0,-47.8,-2.0,-48.7
20,0.0,-inf,0.0,-inf,-3.0,-48.6,0.0,-47.7
21,0.0,-inf,0.0,-inf,-2.0,-46.5,-1.0,-46.8
22,0.0,-inf,0.0,-inf,-2.0,-46.8,-1.0,-46.3
23,0.0,-inf,0.0,-inf,-2.0,-46.7,0.0,-46.9
24,0.0,-inf,0.0,-inf,-2.0,-46.8,0.0,-48.0
25,0.0,-inf,0.0,-inf,-3.0,-48.8,-2.0,-48.5
26,0.0,-inf,0.0,-inf,-1.0,-46.7,-1.0,-46.5
27,0.0,-inf,0.0,-inf,-3.0,-46.8,0.0,-47.8
28,0.0,-inf,0.0,-inf,-1.0,-47.3,-1.0,-47.0
29,0.0,-inf,0.0,-inf,-2.0,-48.0,0.0,-48.6
30,0.0,-inf,0.0,-inf,-1.0,-46.4,-1.0,-46.2
31,0.0,-inf,0.0,-inf,-1.0,-46.6,-1.0,-46.9
32,0.0,-inf,0.0,-inf,-1.0,-48.7,-2.0,-48.8
33,0.0,-inf,0.0,-inf,-2.0,-47.8,-1.0,-47.8
34,0.0,-inf,0.0,-inf,-2.0,-46.8,-1.0,-46.3
35,0.0,-inf,0.0,-inf,-1.0,-46.3,-1.0,-46.4
36,0.0,-inf,0.0,-inf,-1.0,-46.5,-1.0,-46.5
37,0.0,-inf,0.0,-inf,-2.0,-46.9,-2.0,-47.7
38,0.0,-inf,0.0,-inf,-3.0,-48.9,-2.0,-49.0
39,0.0,-inf,0.0,-inf,-2.0,-46.6,-1.0,-47.0
40,0.0,-inf,0.0,-inf,-1.0,-46.5,-2.0,-46.5
41,0.0,-inf,0.0,-inf,-3.0,-48.9,-2.0,-48.9
42,0.0,-inf,0.0,-inf,-2.0,-46.8,-1.0,-46.3
43,0.0,-inf,0.0,-inf,-2.0,-48.2,-2.0,-48.2
44,0.0,-inf,0.0,-inf,-2.0,-46.8,-1.0,-46.3
45,0.0,-inf,0.0,-inf,-2.0,-48.6,-2.0,-48.6
46,0.0,-inf,0.0,-inf,-2.0,-46.8,-2.0,-46.4
47,0.0,-inf,0.0,-inf,-3.0,-46.8,-1.0,-47.6
48,0.0,-inf,0.0,-inf,-3.0,-48.6,-1.0,-48.8
49,0.0,-inf,0.0,-inf,-3.0,-48.7,-1.0,-48.9
50,0.0,-inf,0.0,-inf,-3.0,-47.8,-1.0,-48.2
51,0.0,-inf,0.0,-inf,-2.0,-46.6,-1.0,-46.6
52,0.0,-inf,0.0,-inf,-2.0,-46.8,-2.0,-46.5
53,0.0,-inf,0.0,-inf,-2.0,-46.9,-2.0,-47.2
54,0.0,-inf,0.0,-inf,-2.0,-48.6,-2.0,-48.5
55,0.0,-inf,0.0,-inf,-2.0,-47.0,0.0,-48.0
56,0.0,-inf,0.0,-inf,-1.0,-46.4,0.0,-46.1
57,0.0,-inf,0.0,-inf,-1.0,-48.5,-1.0,-48.4
58,0.0,-inf,0.0,-inf,-1.0,-46.4,0.0,-46.2
59,0.0,-inf,0.0,-inf,-1.0,-47.0,-1.0,-47.6
60,0.0,-inf,0.0,-inf,-1.0,-46.4,0.0,-46.1
61,0.0,-inf,0.0,-inf,-2.0,-48.5,0.0,-48.3
62,0.0,-inf,0.0,-inf,-1.0,-48.8,0.0,-48.9
63,0.0,-inf,0.0,-inf,-1.0,-48.9,0.0,-48.8
64,0.0,-inf,0.0,-inf,-2.0,-47.9,0.0,-47.8
65,0.0,-inf,0.0,-inf,-1.0,-46.3,0.0,-46.2
66,0.0,-inf,0.0,-inf,-1.0,-46.4,-1.0,-46.4
67,0.0,-inf,0.0,-inf,-1.0,-48.2,-1.0,-48.9
68,0.0,-inf,0.0,-inf,-2.0,-46.6,0.0,-46.3
69,0.0,-inf,0.0,-inf,-1.0,-46.4,-1.0,-46.6
70,0.0,-inf,0.0,-inf,-1.0,-48.8,0.0,-48.9
71,0.0,-inf,0.0,-inf,-2.0,-46.6,0.0,-47.3
72,0.0,-inf,0.0,-inf,-1.0,-46.4,0.0,-46.1
73,0.0,-inf,0.0,-inf,-1.0,-46.5,-1.0,-46.6
74,0.0,-inf,0.0,-inf,-1.0,-48.9,-1.0,-48.9
75,0.0,-inf,0.0,-inf,-2.0,-47.0,0.0,-47.7
76,0.0,-inf,0.0,-inf,-2.0,-46.7,0.0,-46.9
77,0.0,-inf,0.0,-inf,-2.0,-46.7,0.0,-46.7
78,0.0,-inf,0.0,-inf,-2.0,-46.7,0.0,-46.5
79,0.0,-inf,0.0,-inf,-1.0,-46.3,0.0,-46.2
80,0.0,-inf,0.0,-inf,-1.0,-46.4,-1.0,-46.4
81,0.0,-inf,0.0,-inf,-1.0,-46.5,-1.0,-47.2
82,0.0,-inf,0.0,-inf,-1.0,-48.2,-1.0,-48.7
83,0.0,-inf,0.0,-inf,-3.0,-48.8,0.0,-48.7
84,0.0,-inf,0.0,-inf,-2.0,-47.1,0.0,-48.1
85,0.0,-inf,0.0,-inf,-2.0,-46.8,0.0,-47.7
86,0.0,-inf,0.0,-inf,-2.0,-46.7,0.0,-48.0
87,0.0,-inf,0.0,-inf,-2.0,-47.6,0.0,-48.1
88,0.0,-inf,0.0,-inf,-3.0,-48.7,0.0,-48.2
89,0.0,-inf,0.0,-inf,-2.0,-48.5,0.0,-47.6
90,0.0,-inf,0.0,-inf,-2.0,-46.5,-1.0,-46.6
91,0.0,-inf,0.0,-inf,-1.0,-46.4,-1.0,-46.5
92,0.0,-inf,0.0,-inf,-1.0,-48.0,-2.0,-48.7
93,0.0,-inf,0.0,-inf,-2.0,-46.6,-1.0,-46.8
94,0.0,-inf,0.0,-inf,-1.0,-46.4,-1.0,-47.1
95,0.0,-inf,0.0,-inf,-3.0,-48.9,0.0,-48.4
96,0.0,-inf,0.0,-inf,-1.0,-46.5,-1.0,-46.4
97,0.0,-inf,0.0,-inf,-1.0,-46.5,-1.0,-47.6
98,0.0,-inf,0.0,-inf,-3.0,-48.8,0.0,-48.7
99,0.0,-inf,0.0,-inf,-2.0,-46.8,0.0,-47.6
100,0.0,-inf,0.0,-inf,-2.0,-46.4,0.0,-47.5
101,0.0,-inf,0.0,-inf,-2.0,-46.5,0.0,-47.7
102,0.0,-inf,0.0,-inf,-2.0,-46.6,0.0,-47.6
103,0.0,-inf,0.0,-inf,-2.0,-47.0,0.0,-48.1
104,0.0,-inf,0.0,-inf,-3.0,-48.2,0.0,-48.3
105,0.0,-inf,0.0,-inf,-3.0,-48.9,0.0,-48.6
106,0.0,-inf,0.0,-inf,-1.0,-48.5,0.0,-48.8
107,0.0,-inf,0.0,-inf,-1.0,-47.8,-2.0,-48.5
108,0.0,-inf,0.0,-inf,-2.0,-47.2,-2.0,-47.9
109,0.0,-inf,0.0,-inf,-1.0,-46.8,-1.0,-47.0
110,0.0,-inf,0.0,-inf,-1.0,-46.4,-1.0,-46.5
111,0.0,-inf,0.0,-inf,-1.0,-46.4,-1.0,-46.6
112,0.0,-inf,0.0,-inf,-1.0,-46.4,-2.0,-46.8
113,0.0,-inf,0.0,-inf,-1.0,-46.4,-2.0,-47.4
114,0.0,-inf,0.0,-inf,-2.0,-47.0,-2.0,-47.8
115,0.0,-inf,0.0,-inf,-2.0,-47.0,-2.0,-48.2
116,0.0,-inf,0.0,-inf,-2.0,-47.7,-2.0,-48.6
117,0.0,-inf,0.0,-inf,-1.0,-48.4,-2.0,-48.9
118,0.0,-inf,0.0,-inf,-3.0,-48.9,-1.0,-48.8
