[2023-09-28 18:59:18.371542] [gNB 0][rsc 0][Rx 0][sfn 658][slot 2] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -54.5 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 18:59:18.381345] [gNB 1][rsc 0][Rx 0][sfn 658][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -85.2 dBm

[2023-09-28 18:59:18.381752] [gNB 2][rsc 0][Rx 0][sfn 658][slot 4] DL PRS ToA ==> -9.0 / 4096 samples, peak channel power -52.5 dBm, SNR +4.0 dB, rsrp -77.3 dBm

[2023-09-28 18:59:18.382224] [gNB 3][rsc 0][Rx 0][sfn 658][slot 5] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -53.7 dBm, SNR +4.0 dB, rsrp -78.6 dBm

[2023-09-28 18:59:18.385915] [gNB 0][rsc 0][Rx 0][sfn 659][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -54.3 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 18:59:18.386307] [gNB 1][rsc 0][Rx 0][sfn 659][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -85.7 dBm

[2023-09-28 18:59:18.386686] [gNB 2][rsc 0][Rx 0][sfn 659][slot 4] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -56.0 dBm, SNR +4.0 dB, rsrp -77.2 dBm

[2023-09-28 18:59:18.387128] [gNB 3][rsc 0][Rx 0][sfn 659][slot 5] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -55.6 dBm, SNR +4.0 dB, rsrp -78.6 dBm

[2023-09-28 18:59:18.390802] [gNB 0][rsc 0][Rx 0][sfn 660][slot 2] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -58.2 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 18:59:18.391200] [gNB 1][rsc 0][Rx 0][sfn 660][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -85.5 dBm

[2023-09-28 18:59:18.391580] [gNB 2][rsc 0][Rx 0][sfn 660][slot 4] DL PRS ToA ==> -4.0 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp -77.1 dBm

[2023-09-28 18:59:18.392048] [gNB 3][rsc 0][Rx 0][sfn 660][slot 5] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -55.6 dBm, SNR +4.0 dB, rsrp -78.7 dBm

[2023-09-28 18:59:18.395520] [gNB 0][rsc 0][Rx 0][sfn 661][slot 2] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -53.7 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 18:59:18.395909] [gNB 1][rsc 0][Rx 0][sfn 661][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -84.9 dBm

[2023-09-28 18:59:18.396287] [gNB 2][rsc 0][Rx 0][sfn 661][slot 4] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -54.1 dBm, SNR +4.0 dB, rsrp -76.9 dBm

[2023-09-28 18:59:18.396685] [gNB 3][rsc 0][Rx 0][sfn 661][slot 5] DL PRS ToA ==> -4.0 / 4096 samples, peak channel power -54.8 dBm, SNR +4.0 dB, rsrp -78.7 dBm

[2023-09-28 18:59:18.400213] [gNB 0][rsc 0][Rx 0][sfn 662][slot 2] DL PRS ToA ==> -4.0 / 4096 samples, peak channel power -54.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 18:59:18.400592] [gNB 1][rsc 0][Rx 0][sfn 662][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -84.9 dBm

[2023-09-28 18:59:18.400974] [gNB 2][rsc 0][Rx 0][sfn 662][slot 4] DL PRS ToA ==> -3.0 / 4096 samples, peak channel power -52.5 dBm, SNR +4.0 dB, rsrp -77.3 dBm

[2023-09-28 18:59:18.401368] [gNB 3][rsc 0][Rx 0][sfn 662][slot 5] DL PRS ToA ==> -4.0 / 4096 samples, peak channel power -53.5 dBm, SNR +4.0 dB, rsrp -78.8 dBm

[2023-09-28 18:59:18.404804] [gNB 0][rsc 0][Rx 0][sfn 663][slot 2] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -54.1 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 18:59:18.405201] [gNB 1][rsc 0][Rx 0][sfn 663][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -84.6 dBm

[2023-09-28 18:59:18.405584] [gNB 2][rsc 0][Rx 0][sfn 663][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -56.2 dBm, SNR +4.0 dB, rsrp -77.1 dBm

[2023-09-28 18:59:18.405979] [gNB 3][rsc 0][Rx 0][sfn 663][slot 5] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -55.2 dBm, SNR +4.0 dB, rsrp -78.8 dBm

[2023-09-28 18:59:18.411146] [gNB 0][rsc 0][Rx 0][sfn 664][slot 2] DL PRS ToA ==> -3.0 / 4096 samples, peak channel power -57.6 dBm, SNR +4.0 dB, rsrp -74.3 dBm

[2023-09-28 18:59:18.411531] [gNB 1][rsc 0][Rx 0][sfn 664][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.5 dBm

[2023-09-28 18:59:18.411925] [gNB 2][rsc 0][Rx 0][sfn 664][slot 4] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -54.5 dBm, SNR -3298746.0 dB, rsrp -77.8 dBm

[2023-09-28 18:59:18.412311] [gNB 3][rsc 0][Rx 0][sfn 664][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -56.4 dBm, SNR -3298746.0 dB, rsrp -78.9 dBm

[2023-09-28 18:59:18.417757] [gNB 0][rsc 0][Rx 0][sfn 665][slot 2] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -54.0 dBm, SNR +4.0 dB, rsrp -74.4 dBm

[2023-09-28 18:59:18.418144] [gNB 1][rsc 0][Rx 0][sfn 665][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.3 dBm

[2023-09-28 18:59:18.418532] [gNB 2][rsc 0][Rx 0][sfn 665][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -53.3 dBm, SNR -3298746.0 dB, rsrp -77.8 dBm

[2023-09-28 18:59:18.418931] [gNB 3][rsc 0][Rx 0][sfn 665][slot 5] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -54.8 dBm, SNR +4.0 dB, rsrp -78.9 dBm

[2023-09-28 18:59:18.424459] [gNB 0][rsc 0][Rx 0][sfn 666][slot 2] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -53.7 dBm, SNR -3298746.0 dB, rsrp -74.4 dBm

[2023-09-28 18:59:18.424850] [gNB 1][rsc 0][Rx 0][sfn 666][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.2 dBm

[2023-09-28 18:59:18.425231] [gNB 2][rsc 0][Rx 0][sfn 666][slot 4] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -53.4 dBm, SNR -3298746.0 dB, rsrp -77.9 dBm

[2023-09-28 18:59:18.425629] [gNB 3][rsc 0][Rx 0][sfn 666][slot 5] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -53.0 dBm, SNR +4.0 dB, rsrp -78.8 dBm

[2023-09-28 18:59:18.431082] [gNB 0][rsc 0][Rx 0][sfn 667][slot 2] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -54.5 dBm, SNR -3298746.0 dB, rsrp -74.6 dBm

