[2023-09-28 16:56:54.706255] [gNB 1][rsc 0][Rx 0][sfn 364][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.0 dBm

[2023-09-28 16:56:54.706776] [gNB 2][rsc 0][Rx 0][sfn 364][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.1 dBm, SNR +4.0 dB, rsrp -74.6 dBm

[2023-09-28 16:56:54.707263] [gNB 3][rsc 0][Rx 0][sfn 364][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.9 dBm

[2023-09-28 16:56:54.715785] [gNB 0][rsc 0][Rx 0][sfn 365][slot 2] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -49.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.716262] [gNB 1][rsc 0][Rx 0][sfn 365][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.1 dBm

[2023-09-28 16:56:54.716751] [gNB 2][rsc 0][Rx 0][sfn 365][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.0 dBm, SNR +4.0 dB, rsrp -75.5 dBm

[2023-09-28 16:56:54.717308] [gNB 3][rsc 0][Rx 0][sfn 365][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.4 dBm

[2023-09-28 16:56:54.725758] [gNB 0][rsc 0][Rx 0][sfn 366][slot 2] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -46.4 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.726271] [gNB 1][rsc 0][Rx 0][sfn 366][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.5 dBm

[2023-09-28 16:56:54.726757] [gNB 2][rsc 0][Rx 0][sfn 366][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -50.7 dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-28 16:56:54.727279] [gNB 3][rsc 0][Rx 0][sfn 366][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.6 dBm, SNR +4.0 dB, rsrp -76.7 dBm

