[2023-09-28 15:52:32.880044] [gNB 0][rsc 0][Rx 0][sfn 260][slot 2] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -53.9 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:52:32.880533] [gNB 1][rsc 0][Rx 0][sfn 260][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -88.1 dBm

[2023-09-28 15:52:32.880971] [gNB 2][rsc 0][Rx 0][sfn 260][slot 4] DL PRS ToA ==> -13.0 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:52:32.881410] [gNB 3][rsc 0][Rx 0][sfn 260][slot 5] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -57.0 dBm, SNR +4.0 dB, rsrp -76.2 dBm

[2023-09-28 15:52:32.886327] [gNB 0][rsc 0][Rx 0][sfn 261][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -52.5 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:52:32.886728] [gNB 1][rsc 0][Rx 0][sfn 261][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.6 dBm

[2023-09-28 15:52:32.887113] [gNB 2][rsc 0][Rx 0][sfn 261][slot 4] DL PRS ToA ==> 2040.0 / 4096 samples, peak channel power -55.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:52:32.887527] [gNB 3][rsc 0][Rx 0][sfn 261][slot 5] DL PRS ToA ==> -9.0 / 4096 samples, peak channel power -54.5 dBm, SNR -3298746.0 dB, rsrp -77.6 dBm

[2023-09-28 15:52:32.892914] [gNB 0][rsc 0][Rx 0][sfn 262][slot 2] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -53.7 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:52:32.893297] [gNB 1][rsc 0][Rx 0][sfn 262][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.2 dBm

[2023-09-28 15:52:32.893671] [gNB 2][rsc 0][Rx 0][sfn 262][slot 4] DL PRS ToA ==> -9.0 / 4096 samples, peak channel power -54.1 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:52:32.894049] [gNB 3][rsc 0][Rx 0][sfn 262][slot 5] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -54.0 dBm, SNR -3298746.0 dB, rsrp -78.0 dBm

[2023-09-28 15:52:32.899578] [gNB 0][rsc 0][Rx 0][sfn 263][slot 2] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -53.7 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:52:32.899958] [gNB 1][rsc 0][Rx 0][sfn 263][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.2 dBm

[2023-09-28 15:52:32.900332] [gNB 2][rsc 0][Rx 0][sfn 263][slot 4] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -53.5 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:52:32.900721] [gNB 3][rsc 0][Rx 0][sfn 263][slot 5] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -55.4 dBm, SNR -3298746.0 dB, rsrp -77.9 dBm

[2023-09-28 15:52:32.906281] [gNB 0][rsc 0][Rx 0][sfn 264][slot 2] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -53.5 dBm, SNR -3298746.0 dB, rsrp -74.2 dBm

[2023-09-28 15:52:32.906658] [gNB 1][rsc 0][Rx 0][sfn 264][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298741.0 dB, rsrp -85.6 dBm

[2023-09-28 15:52:32.907044] [gNB 2][rsc 0][Rx 0][sfn 264][slot 4] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -52.1 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:52:32.907413] [gNB 3][rsc 0][Rx 0][sfn 264][slot 5] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -55.1 dBm, SNR +4.0 dB, rsrp -77.4 dBm

[2023-09-28 15:52:32.912890] [gNB 0][rsc 0][Rx 0][sfn 265][slot 2] DL PRS ToA ==> -4.0 / 4096 samples, peak channel power -54.3 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:52:32.913289] [gNB 1][rsc 0][Rx 0][sfn 265][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.2 dBm

[2023-09-28 15:52:32.913661] [gNB 2][rsc 0][Rx 0][sfn 265][slot 4] DL PRS ToA ==> -3.0 / 4096 samples, peak channel power -54.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:52:32.914033] [gNB 3][rsc 0][Rx 0][sfn 265][slot 5] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -55.8 dBm, SNR -3298746.0 dB, rsrp -77.9 dBm

[2023-09-28 15:52:32.919585] [gNB 0][rsc 0][Rx 0][sfn 266][slot 2] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -54.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:52:32.919974] [gNB 1][rsc 0][Rx 0][sfn 266][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.2 dBm

[2023-09-28 15:52:32.920345] [gNB 2][rsc 0][Rx 0][sfn 266][slot 4] DL PRS ToA ==> -3.0 / 4096 samples, peak channel power -54.7 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:52:32.920729] [gNB 3][rsc 0][Rx 0][sfn 266][slot 5] DL PRS ToA ==> -4.0 / 4096 samples, peak channel power -54.6 dBm, SNR -3298746.0 dB, rsrp -77.9 dBm

[2023-09-28 15:52:32.926223] [gNB 0][rsc 0][Rx 0][sfn 267][slot 2] DL PRS ToA ==> -3.0 / 4096 samples, peak channel power -55.0 dBm, SNR -3298746.0 dB, rsrp -74.2 dBm

[2023-09-28 15:52:32.926599] [gNB 1][rsc 0][Rx 0][sfn 267][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298745.5 dB, rsrp -84.3 dBm

[2023-09-28 15:52:32.926980] [gNB 2][rsc 0][Rx 0][sfn 267][slot 4] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -55.3 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:52:32.927350] [gNB 3][rsc 0][Rx 0][sfn 267][slot 5] DL PRS ToA ==> -3.0 / 4096 samples, peak channel power -53.5 dBm, SNR +4.0 dB, rsrp -77.9 dBm

[2023-09-28 15:52:32.932899] [gNB 0][rsc 0][Rx 0][sfn 268][slot 2] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -53.9 dBm, SNR -3298746.0 dB, rsrp -74.3 dBm

[2023-09-28 15:52:32.933286] [gNB 1][rsc 0][Rx 0][sfn 268][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:52:32.933657] [gNB 2][rsc 0][Rx 0][sfn 268][slot 4] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -54.3 dBm, SNR -3298746.0 dB, rsrp +nan dBm

