[2023-09-28 16:49:55.714966] [gNB 0][rsc 0][Rx 0][sfn 586][slot 2] DL PRS ToA ==> 2039.0 / 4096 samples, peak channel power -55.0 dBm, SNR +4.0 dB, rsrp -76.5 dBm

[2023-09-28 16:49:55.715573] [gNB 1][rsc 0][Rx 0][sfn 586][slot 3] DL PRS ToA ==> -9.0 / 4096 samples, peak channel power -56.0 dBm, SNR +4.0 dB, rsrp -77.3 dBm

[2023-09-28 16:49:55.716070] [gNB 2][rsc 0][Rx 0][sfn 586][slot 4] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -57.1 dBm, SNR +4.0 dB, rsrp -81.9 dBm

[2023-09-28 16:49:55.716618] [gNB 3][rsc 0][Rx 0][sfn 586][slot 5] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -58.4 dBm, SNR +4.0 dB, rsrp -83.3 dBm

[2023-09-28 16:49:55.721199] [gNB 0][rsc 0][Rx 0][sfn 587][slot 2] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -54.7 dBm, SNR +4.0 dB, rsrp -76.9 dBm

[2023-09-28 16:49:55.721693] [gNB 1][rsc 0][Rx 0][sfn 587][slot 3] DL PRS ToA ==> -1033.0 / 4096 samples, peak channel power -52.1 dBm, SNR +4.0 dB, rsrp -78.3 dBm

[2023-09-28 16:49:55.722149] [gNB 2][rsc 0][Rx 0][sfn 587][slot 4] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -57.0 dBm, SNR +4.0 dB, rsrp -83.5 dBm

[2023-09-28 16:49:55.722619] [gNB 3][rsc 0][Rx 0][sfn 587][slot 5] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -59.0 dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-28 16:49:55.727753] [gNB 0][rsc 0][Rx 0][sfn 588][slot 2] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -54.6 dBm, SNR +4.0 dB, rsrp -77.2 dBm

[2023-09-28 16:49:55.728231] [gNB 1][rsc 0][Rx 0][sfn 588][slot 3] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -53.7 dBm, SNR +4.0 dB, rsrp -77.7 dBm

[2023-09-28 16:49:55.728700] [gNB 2][rsc 0][Rx 0][sfn 588][slot 4] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -56.0 dBm, SNR +4.0 dB, rsrp -83.8 dBm

