[2023-09-28 15:47:54.943698] [gNB 1][rsc 0][Rx 0][sfn 848][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:47:54.944084] [gNB 2][rsc 0][Rx 0][sfn 848][slot 4] DL PRS ToA ==> -31.0 / 4096 samples, peak channel power -53.2 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.944600] [gNB 3][rsc 0][Rx 0][sfn 848][slot 5] DL PRS ToA ==> -32.0 / 4096 samples, peak channel power -55.5 dBm, SNR -3298746.0 dB, rsrp -78.5 dBm

[2023-09-28 15:47:54.950017] [gNB 0][rsc 0][Rx 0][sfn 849][slot 2] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -53.8 dBm, SNR +4.0 dB, rsrp -77.8 dBm

[2023-09-28 15:47:54.950412] [gNB 1][rsc 0][Rx 0][sfn 849][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.1 dBm

[2023-09-28 15:47:54.950802] [gNB 2][rsc 0][Rx 0][sfn 849][slot 4] DL PRS ToA ==> -33.0 / 4096 samples, peak channel power -56.5 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.951346] [gNB 3][rsc 0][Rx 0][sfn 849][slot 5] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -53.2 dBm, SNR -3298746.0 dB, rsrp -78.4 dBm

[2023-09-28 15:47:54.956642] [gNB 0][rsc 0][Rx 0][sfn 850][slot 2] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -54.9 dBm, SNR -3298746.0 dB, rsrp -78.2 dBm

[2023-09-28 15:47:54.957046] [gNB 1][rsc 0][Rx 0][sfn 850][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:47:54.957435] [gNB 2][rsc 0][Rx 0][sfn 850][slot 4] DL PRS ToA ==> -33.0 / 4096 samples, peak channel power -56.0 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.957970] [gNB 3][rsc 0][Rx 0][sfn 850][slot 5] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -56.3 dBm, SNR +4.0 dB, rsrp -78.1 dBm

[2023-09-28 15:47:54.963329] [gNB 0][rsc 0][Rx 0][sfn 851][slot 2] DL PRS ToA ==> -32.0 / 4096 samples, peak channel power -55.0 dBm, SNR -3298746.0 dB, rsrp -78.4 dBm

[2023-09-28 15:47:54.963724] [gNB 1][rsc 0][Rx 0][sfn 851][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -83.7 dBm

[2023-09-28 15:47:54.964113] [gNB 2][rsc 0][Rx 0][sfn 851][slot 4] DL PRS ToA ==> -1058.0 / 4096 samples, peak channel power -53.2 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.964642] [gNB 3][rsc 0][Rx 0][sfn 851][slot 5] DL PRS ToA ==> -33.0 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp -78.3 dBm

[2023-09-28 15:47:54.970030] [gNB 0][rsc 0][Rx 0][sfn 852][slot 2] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -53.7 dBm, SNR -3298746.0 dB, rsrp -78.5 dBm

[2023-09-28 15:47:54.970421] [gNB 1][rsc 0][Rx 0][sfn 852][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -86.0 dBm

[2023-09-28 15:47:54.970804] [gNB 2][rsc 0][Rx 0][sfn 852][slot 4] DL PRS ToA ==> -32.0 / 4096 samples, peak channel power -54.0 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.971353] [gNB 3][rsc 0][Rx 0][sfn 852][slot 5] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -53.6 dBm, SNR -3298746.0 dB, rsrp -78.3 dBm

[2023-09-28 15:47:54.976659] [gNB 0][rsc 0][Rx 0][sfn 853][slot 2] DL PRS ToA ==> -32.0 / 4096 samples, peak channel power -54.8 dBm, SNR -3298746.0 dB, rsrp -78.4 dBm

[2023-09-28 15:47:54.977066] [gNB 1][rsc 0][Rx 0][sfn 853][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:47:54.977473] [gNB 2][rsc 0][Rx 0][sfn 853][slot 4] DL PRS ToA ==> -35.0 / 4096 samples, peak channel power -57.2 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.978024] [gNB 3][rsc 0][Rx 0][sfn 853][slot 5] DL PRS ToA ==> -35.0 / 4096 samples, peak channel power -55.1 dBm, SNR -3298746.0 dB, rsrp -78.3 dBm

[2023-09-28 15:47:54.983344] [gNB 0][rsc 0][Rx 0][sfn 854][slot 2] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -55.1 dBm, SNR -3298746.0 dB, rsrp -78.1 dBm

[2023-09-28 15:47:54.983729] [gNB 1][rsc 0][Rx 0][sfn 854][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.1 dBm

[2023-09-28 15:47:54.984110] [gNB 2][rsc 0][Rx 0][sfn 854][slot 4] DL PRS ToA ==> -1057.0 / 4096 samples, peak channel power -53.2 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.984604] [gNB 3][rsc 0][Rx 0][sfn 854][slot 5] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -53.8 dBm, SNR -3298746.0 dB, rsrp -78.7 dBm

[2023-09-28 15:47:54.989975] [gNB 0][rsc 0][Rx 0][sfn 855][slot 2] DL PRS ToA ==> -35.0 / 4096 samples, peak channel power -53.2 dBm, SNR +4.0 dB, rsrp -77.9 dBm

[2023-09-28 15:47:54.990368] [gNB 1][rsc 0][Rx 0][sfn 855][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.1 dBm

[2023-09-28 15:47:54.990742] [gNB 2][rsc 0][Rx 0][sfn 855][slot 4] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -54.9 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.991248] [gNB 3][rsc 0][Rx 0][sfn 855][slot 5] DL PRS ToA ==> -35.0 / 4096 samples, peak channel power -55.3 dBm, SNR -3298746.0 dB, rsrp -78.3 dBm

[2023-09-28 15:47:54.996671] [gNB 0][rsc 0][Rx 0][sfn 856][slot 2] DL PRS ToA ==> -33.0 / 4096 samples, peak channel power -55.1 dBm, SNR +4.0 dB, rsrp -78.3 dBm

[2023-09-28 15:47:54.997064] [gNB 1][rsc 0][Rx 0][sfn 856][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:47:54.997447] [gNB 2][rsc 0][Rx 0][sfn 856][slot 4] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -55.9 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:54.997992] [gNB 3][rsc 0][Rx 0][sfn 856][slot 5] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -54.8 dBm, SNR -3298746.0 dB, rsrp -78.4 dBm

[2023-09-28 15:47:55.003362] [gNB 0][rsc 0][Rx 0][sfn 857][slot 2] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -53.6 dBm, SNR -3298746.0 dB, rsrp -78.2 dBm

[2023-09-28 15:47:55.003757] [gNB 1][rsc 0][Rx 0][sfn 857][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.1 dBm

[2023-09-28 15:47:55.004149] [gNB 2][rsc 0][Rx 0][sfn 857][slot 4] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -56.4 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.004659] [gNB 3][rsc 0][Rx 0][sfn 857][slot 5] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -53.5 dBm, SNR +4.0 dB, rsrp -77.9 dBm

[2023-09-28 15:47:55.009984] [gNB 0][rsc 0][Rx 0][sfn 858][slot 2] DL PRS ToA ==> -35.0 / 4096 samples, peak channel power -54.6 dBm, SNR -3298746.0 dB, rsrp -78.5 dBm

[2023-09-28 15:47:55.010380] [gNB 1][rsc 0][Rx 0][sfn 858][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -83.3 dBm

[2023-09-28 15:47:55.010762] [gNB 2][rsc 0][Rx 0][sfn 858][slot 4] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -57.4 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.011350] [gNB 3][rsc 0][Rx 0][sfn 858][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.2 dBm

[2023-09-28 15:47:55.016686] [gNB 0][rsc 0][Rx 0][sfn 859][slot 2] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -55.7 dBm, SNR -3298746.0 dB, rsrp -78.5 dBm

[2023-09-28 15:47:55.017077] [gNB 1][rsc 0][Rx 0][sfn 859][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:47:55.017462] [gNB 2][rsc 0][Rx 0][sfn 859][slot 4] DL PRS ToA ==> -1059.0 / 4096 samples, peak channel power -53.2 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.018008] [gNB 3][rsc 0][Rx 0][sfn 859][slot 5] DL PRS ToA ==> -35.0 / 4096 samples, peak channel power -52.7 dBm, SNR -3298746.0 dB, rsrp -78.3 dBm

[2023-09-28 15:47:55.023310] [gNB 0][rsc 0][Rx 0][sfn 860][slot 2] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -54.1 dBm, SNR -3298746.0 dB, rsrp -78.2 dBm

[2023-09-28 15:47:55.023702] [gNB 1][rsc 0][Rx 0][sfn 860][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.1 dBm

[2023-09-28 15:47:55.024078] [gNB 2][rsc 0][Rx 0][sfn 860][slot 4] DL PRS ToA ==> -35.0 / 4096 samples, peak channel power -54.6 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.024616] [gNB 3][rsc 0][Rx 0][sfn 860][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -78.5 dBm

[2023-09-28 15:47:55.029993] [gNB 0][rsc 0][Rx 0][sfn 861][slot 2] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -55.7 dBm, SNR -3298746.0 dB, rsrp -78.2 dBm

[2023-09-28 15:47:55.030381] [gNB 1][rsc 0][Rx 0][sfn 861][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:47:55.030768] [gNB 2][rsc 0][Rx 0][sfn 861][slot 4] DL PRS ToA ==> -37.0 / 4096 samples, peak channel power -52.8 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.031270] [gNB 3][rsc 0][Rx 0][sfn 861][slot 5] DL PRS ToA ==> -37.0 / 4096 samples, peak channel power -55.3 dBm, SNR -3298746.0 dB, rsrp -78.4 dBm

[2023-09-28 15:47:55.036705] [gNB 0][rsc 0][Rx 0][sfn 862][slot 2] DL PRS ToA ==> -38.0 / 4096 samples, peak channel power -53.7 dBm, SNR +4.0 dB, rsrp -77.6 dBm

