[2023-09-28 17:11:45.168094] [gNB 0][rsc 0][Rx 0][sfn 997][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.1 dBm

[2023-09-28 17:11:45.168554] [gNB 1][rsc 0][Rx 0][sfn 997][slot 3] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -83.9 dBm

[2023-09-28 17:11:45.169078] [gNB 2][rsc 0][Rx 0][sfn 997][slot 4] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -55.1 dBm, SNR -2622080.2 dB, rsrp -80.4 dBm

[2023-09-28 17:11:45.169598] [gNB 3][rsc 0][Rx 0][sfn 997][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -54.2 dBm, SNR +4.0 dB, rsrp -79.0 dBm

[2023-09-28 17:11:45.174732] [gNB 0][rsc 0][Rx 0][sfn 998][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.9 dBm

[2023-09-28 17:11:45.175185] [gNB 1][rsc 0][Rx 0][sfn 998][slot 3] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -60.6 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 17:11:45.175697] [gNB 2][rsc 0][Rx 0][sfn 998][slot 4] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -57.3 dBm, SNR +4.0 dB, rsrp -80.3 dBm

[2023-09-28 17:11:45.176215] [gNB 3][rsc 0][Rx 0][sfn 998][slot 5] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -55.2 dBm, SNR +4.0 dB, rsrp -78.5 dBm

[2023-09-28 17:11:45.181418] [gNB 0][rsc 0][Rx 0][sfn 999][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.1 dBm

[2023-09-28 17:11:45.181880] [gNB 1][rsc 0][Rx 0][sfn 999][slot 3] DL PRS ToA ==> 6.0 / 4096 samples, peak channel power -59.1 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 17:11:45.182381] [gNB 2][rsc 0][Rx 0][sfn 999][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -54.7 dBm, SNR +4.0 dB, rsrp -80.1 dBm

[2023-09-28 17:11:45.182806] [gNB 3][rsc 0][Rx 0][sfn 999][slot 5] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -53.4 dBm, SNR -2622080.2 dB, rsrp -79.5 dBm

[2023-09-28 17:11:45.188028] [gNB 0][rsc 0][Rx 0][sfn 1000][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.3 dBm

[2023-09-28 17:11:45.188482] [gNB 1][rsc 0][Rx 0][sfn 1000][slot 3] DL PRS ToA ==> 6.0 / 4096 samples, peak channel power -58.1 dBm, SNR +4.0 dB, rsrp -83.5 dBm

[2023-09-28 17:11:45.188987] [gNB 2][rsc 0][Rx 0][sfn 1000][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -57.3 dBm, SNR -2622080.2 dB, rsrp -80.4 dBm

[2023-09-28 17:11:45.189464] [gNB 3][rsc 0][Rx 0][sfn 1000][slot 5] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -55.6 dBm, SNR -2622080.2 dB, rsrp -79.4 dBm

[2023-09-28 17:11:45.194735] [gNB 0][rsc 0][Rx 0][sfn 1001][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -85.5 dBm

[2023-09-28 17:11:45.195183] [gNB 1][rsc 0][Rx 0][sfn 1001][slot 3] DL PRS ToA ==> 9.0 / 4096 samples, peak channel power -58.4 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 17:11:45.195692] [gNB 2][rsc 0][Rx 0][sfn 1001][slot 4] DL PRS ToA ==> 6.0 / 4096 samples, peak channel power -55.8 dBm, SNR -2622080.2 dB, rsrp -80.4 dBm

[2023-09-28 17:11:45.196244] [gNB 3][rsc 0][Rx 0][sfn 1001][slot 5] DL PRS ToA ==> 5.0 / 4096 samples, peak channel power -58.5 dBm, SNR -2622080.2 dB, rsrp -79.4 dBm

[2023-09-28 17:11:45.201440] [gNB 0][rsc 0][Rx 0][sfn 1002][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.2 dBm

[2023-09-28 17:11:45.201905] [gNB 1][rsc 0][Rx 0][sfn 1002][slot 3] DL PRS ToA ==> 9.0 / 4096 samples, peak channel power -60.9 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 17:11:45.202429] [gNB 2][rsc 0][Rx 0][sfn 1002][slot 4] DL PRS ToA ==> 6.0 / 4096 samples, peak channel power -53.1 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-28 17:11:45.202945] [gNB 3][rsc 0][Rx 0][sfn 1002][slot 5] DL PRS ToA ==> 5.0 / 4096 samples, peak channel power -54.2 dBm, SNR +4.0 dB, rsrp -79.6 dBm

[2023-09-28 17:11:45.208052] [gNB 0][rsc 0][Rx 0][sfn 1003][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.0 dBm

