[2023-09-28 14:59:32.464529] [gNB 0][rsc 0][Rx 0][sfn 1007][slot 2] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -52.6 dBm, SNR +4.0 dB, rsrp -77.9 dBm

[2023-09-28 14:59:32.464980] [gNB 1][rsc 0][Rx 0][sfn 1007][slot 3] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -48.5 dBm, SNR +4.0 dB, rsrp -73.4 dBm

[2023-09-28 14:59:32.465458] [gNB 2][rsc 0][Rx 0][sfn 1007][slot 4] DL PRS ToA ==> -3.0 / 2048 samples, peak channel power -55.5 dBm, SNR +4.0 dB, rsrp -79.7 dBm

[2023-09-28 14:59:32.465960] [gNB 3][rsc 0][Rx 0][sfn 1007][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -51.7 dBm, SNR +4.0 dB, rsrp -77.0 dBm

[2023-09-28 14:59:32.474494] [gNB 0][rsc 0][Rx 0][sfn 1008][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-28 14:59:32.474945] [gNB 1][rsc 0][Rx 0][sfn 1008][slot 3] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -48.8 dBm, SNR +4.0 dB, rsrp -72.7 dBm

[2023-09-28 14:59:32.475539] [gNB 2][rsc 0][Rx 0][sfn 1008][slot 4] DL PRS ToA ==> -3.0 / 2048 samples, peak channel power -55.4 dBm, SNR +4.0 dB, rsrp -78.8 dBm

[2023-09-28 14:59:32.476028] [gNB 3][rsc 0][Rx 0][sfn 1008][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -52.0 dBm, SNR +4.0 dB, rsrp -76.2 dBm

[2023-09-28 14:59:32.484459] [gNB 0][rsc 0][Rx 0][sfn 1009][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.3 dBm

[2023-09-28 14:59:32.484937] [gNB 1][rsc 0][Rx 0][sfn 1009][slot 3] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -48.8 dBm, SNR +4.0 dB, rsrp -72.5 dBm

[2023-09-28 14:59:32.485524] [gNB 2][rsc 0][Rx 0][sfn 1009][slot 4] DL PRS ToA ==> -3.0 / 2048 samples, peak channel power -55.2 dBm, SNR +4.0 dB, rsrp -78.3 dBm

[2023-09-28 14:59:32.486024] [gNB 3][rsc 0][Rx 0][sfn 1009][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -52.2 dBm, SNR +4.0 dB, rsrp -75.9 dBm

[2023-09-28 14:59:32.494461] [gNB 0][rsc 0][Rx 0][sfn 1010][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.1 dBm

[2023-09-28 14:59:32.494942] [gNB 1][rsc 0][Rx 0][sfn 1010][slot 3] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -49.0 dBm, SNR +4.0 dB, rsrp -72.5 dBm

[2023-09-28 14:59:32.495503] [gNB 2][rsc 0][Rx 0][sfn 1010][slot 4] DL PRS ToA ==> -3.0 / 2048 samples, peak channel power -55.3 dBm, SNR +4.0 dB, rsrp -78.2 dBm

[2023-09-28 14:59:32.495953] [gNB 3][rsc 0][Rx 0][sfn 1010][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -52.4 dBm, SNR +4.0 dB, rsrp -75.8 dBm

[2023-09-28 14:59:32.504483] [gNB 0][rsc 0][Rx 0][sfn 1011][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.3 dBm

[2023-09-28 14:59:32.504961] [gNB 1][rsc 0][Rx 0][sfn 1011][slot 3] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -49.4 dBm, SNR +4.0 dB, rsrp -72.5 dBm

[2023-09-28 14:59:32.505508] [gNB 2][rsc 0][Rx 0][sfn 1011][slot 4] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -55.4 dBm, SNR +4.0 dB, rsrp -78.1 dBm

[2023-09-28 14:59:32.505960] [gNB 3][rsc 0][Rx 0][sfn 1011][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -52.5 dBm, SNR +4.0 dB, rsrp -75.6 dBm

[2023-09-28 14:59:32.514446] [gNB 0][rsc 0][Rx 0][sfn 1012][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.3 dBm

[2023-09-28 14:59:32.514956] [gNB 1][rsc 0][Rx 0][sfn 1012][slot 3] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -48.9 dBm, SNR +4.0 dB, rsrp -72.6 dBm

[2023-09-28 14:59:32.515442] [gNB 2][rsc 0][Rx 0][sfn 1012][slot 4] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -55.6 dBm, SNR +4.0 dB, rsrp -78.0 dBm

[2023-09-28 14:59:32.515962] [gNB 3][rsc 0][Rx 0][sfn 1012][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -53.0 dBm, SNR +4.0 dB, rsrp -75.4 dBm

[2023-09-28 14:59:32.524444] [gNB 0][rsc 0][Rx 0][sfn 1013][slot 2] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -52.8 dBm, SNR +4.0 dB, rsrp -75.6 dBm

[2023-09-28 14:59:32.524964] [gNB 1][rsc 0][Rx 0][sfn 1013][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -49.0 dBm, SNR +4.0 dB, rsrp -72.7 dBm

[2023-09-28 14:59:32.525525] [gNB 2][rsc 0][Rx 0][sfn 1013][slot 4] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -56.0 dBm, SNR +4.0 dB, rsrp -77.8 dBm

[2023-09-28 14:59:32.525941] [gNB 3][rsc 0][Rx 0][sfn 1013][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -53.0 dBm, SNR +4.0 dB, rsrp -75.3 dBm

[2023-09-28 14:59:32.534455] [gNB 0][rsc 0][Rx 0][sfn 1014][slot 2] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -52.9 dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-28 14:59:32.534938] [gNB 1][rsc 0][Rx 0][sfn 1014][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -49.0 dBm, SNR +4.0 dB, rsrp -72.9 dBm

[2023-09-28 14:59:32.535458] [gNB 2][rsc 0][Rx 0][sfn 1014][slot 4] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -56.6 dBm, SNR +4.0 dB, rsrp -77.4 dBm

[2023-09-28 14:59:32.535943] [gNB 3][rsc 0][Rx 0][sfn 1014][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -52.5 dBm, SNR +4.0 dB, rsrp -75.2 dBm

[2023-09-28 14:59:32.544458] [gNB 0][rsc 0][Rx 0][sfn 1015][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.4 dBm

[2023-09-28 14:59:32.544945] [gNB 1][rsc 0][Rx 0][sfn 1015][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -49.1 dBm, SNR +4.0 dB, rsrp -73.0 dBm

[2023-09-28 14:59:32.545544] [gNB 2][rsc 0][Rx 0][sfn 1015][slot 4] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -57.3 dBm, SNR +4.0 dB, rsrp -76.9 dBm

[2023-09-28 14:59:32.545953] [gNB 3][rsc 0][Rx 0][sfn 1015][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -52.3 dBm, SNR +4.0 dB, rsrp -75.4 dBm

[2023-09-28 14:59:32.554466] [gNB 0][rsc 0][Rx 0][sfn 1016][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.5 dBm

[2023-09-28 14:59:32.554950] [gNB 1][rsc 0][Rx 0][sfn 1016][slot 3] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -49.2 dBm, SNR +4.0 dB, rsrp -72.9 dBm

[2023-09-28 14:59:32.555435] [gNB 2][rsc 0][Rx 0][sfn 1016][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.8 dBm

[2023-09-28 14:59:32.555957] [gNB 3][rsc 0][Rx 0][sfn 1016][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -52.1 dBm, SNR +4.0 dB, rsrp -75.9 dBm

[2023-09-28 14:59:32.564443] [gNB 0][rsc 0][Rx 0][sfn 1017][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.8 dBm

[2023-09-28 14:59:32.564959] [gNB 1][rsc 0][Rx 0][sfn 1017][slot 3] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -48.8 dBm, SNR +4.0 dB, rsrp -72.6 dBm

[2023-09-28 14:59:32.565546] [gNB 2][rsc 0][Rx 0][sfn 1017][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.2 dBm

[2023-09-28 14:59:32.565968] [gNB 3][rsc 0][Rx 0][sfn 1017][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -52.0 dBm, SNR +4.0 dB, rsrp -76.5 dBm

[2023-09-28 14:59:32.574451] [gNB 0][rsc 0][Rx 0][sfn 1018][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.1 dBm

