[2023-09-28 15:09:57.891541] [gNB 1][rsc 0][Rx 0][sfn 55][slot 3] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -51.3 dBm, SNR +4.0 dB, rsrp -72.5 dBm

[2023-09-28 15:09:57.892025] [gNB 2][rsc 0][Rx 0][sfn 55][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.6 dBm

[2023-09-28 15:09:57.892551] [gNB 3][rsc 0][Rx 0][sfn 55][slot 5] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.4 dBm, SNR +4.0 dB, rsrp -75.1 dBm

[2023-09-28 15:09:57.901031] [gNB 0][rsc 0][Rx 0][sfn 56][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.8 dBm

[2023-09-28 15:09:57.901542] [gNB 1][rsc 0][Rx 0][sfn 56][slot 3] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -51.4 dBm, SNR +4.0 dB, rsrp -72.7 dBm

[2023-09-28 15:09:57.902027] [gNB 2][rsc 0][Rx 0][sfn 56][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.4 dBm

[2023-09-28 15:09:57.902519] [gNB 3][rsc 0][Rx 0][sfn 56][slot 5] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.2 dBm, SNR +4.0 dB, rsrp -75.8 dBm

[2023-09-28 15:09:57.911033] [gNB 0][rsc 0][Rx 0][sfn 57][slot 2] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.9 dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-28 15:09:57.911552] [gNB 1][rsc 0][Rx 0][sfn 57][slot 3] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -51.6 dBm, SNR +4.0 dB, rsrp -72.4 dBm

[2023-09-28 15:09:57.912039] [gNB 2][rsc 0][Rx 0][sfn 57][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -58.3 dBm, SNR +4.0 dB, rsrp -77.9 dBm

[2023-09-28 15:09:57.912532] [gNB 3][rsc 0][Rx 0][sfn 57][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.3 dBm

