[2023-09-28 18:39:18.450908] [gNB 0][rsc 0][Rx 0][sfn 75][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -83.4 dBm

[2023-09-28 18:39:18.451446] [gNB 1][rsc 0][Rx 0][sfn 75][slot 3] DL PRS ToA ==> -29.0 / 4096 samples, peak channel power -53.4 dBm, SNR +4.0 dB, rsrp -80.0 dBm

[2023-09-28 18:39:18.452003] [gNB 2][rsc 0][Rx 0][sfn 75][slot 4] DL PRS ToA ==> -1059.0 / 4096 samples, peak channel power -52.3 dBm, SNR +4.0 dB, rsrp -78.9 dBm

[2023-09-28 18:39:18.452466] [gNB 3][rsc 0][Rx 0][sfn 75][slot 5] DL PRS ToA ==> -33.0 / 4096 samples, peak channel power -53.7 dBm, SNR +4.0 dB, rsrp -79.8 dBm

[2023-09-28 18:39:18.456996] [gNB 0][rsc 0][Rx 0][sfn 76][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.3 dBm

[2023-09-28 18:39:18.457442] [gNB 1][rsc 0][Rx 0][sfn 76][slot 3] DL PRS ToA ==> -29.0 / 4096 samples, peak channel power -54.9 dBm, SNR -2622080.2 dB, rsrp -81.1 dBm

[2023-09-28 18:39:18.457972] [gNB 2][rsc 0][Rx 0][sfn 76][slot 4] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -52.7 dBm, SNR +4.0 dB, rsrp -81.9 dBm

[2023-09-28 18:39:18.458456] [gNB 3][rsc 0][Rx 0][sfn 76][slot 5] DL PRS ToA ==> -34.0 / 4096 samples, peak channel power -54.2 dBm, SNR +4.0 dB, rsrp -81.2 dBm

[2023-09-28 18:39:18.463693] [gNB 0][rsc 0][Rx 0][sfn 77][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.1 dBm

[2023-09-28 18:39:18.464120] [gNB 1][rsc 0][Rx 0][sfn 77][slot 3] DL PRS ToA ==> -30.0 / 4096 samples, peak channel power -55.9 dBm, SNR -2622080.2 dB, rsrp -81.2 dBm

[2023-09-28 18:39:18.464661] [gNB 2][rsc 0][Rx 0][sfn 77][slot 4] DL PRS ToA ==> -35.0 / 4096 samples, peak channel power -54.2 dBm, SNR -2622080.2 dB, rsrp -96.6 dBm

[2023-09-28 18:39:18.465089] [gNB 3][rsc 0][Rx 0][sfn 77][slot 5] DL PRS ToA ==> -33.0 / 4096 samples, peak channel power -56.4 dBm, SNR +4.0 dB, rsrp -80.8 dBm

[2023-09-28 18:39:18.470343] [gNB 0][rsc 0][Rx 0][sfn 78][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.1 dBm

[2023-09-28 18:39:18.470777] [gNB 1][rsc 0][Rx 0][sfn 78][slot 3] DL PRS ToA ==> -30.0 / 4096 samples, peak channel power -52.5 dBm, SNR -2622080.2 dB, rsrp -81.0 dBm

[2023-09-28 18:39:18.471313] [gNB 2][rsc 0][Rx 0][sfn 78][slot 4] DL PRS ToA ==> -1059.0 / 4096 samples, peak channel power -52.2 dBm, SNR +4.0 dB, rsrp -82.1 dBm

