[2023-09-28 18:38:09.263408] [gNB 0][rsc 0][Rx 0][sfn 962][slot 2] DL PRS ToA ==> -13.0 / 4096 samples, peak channel power -53.6 dBm, SNR +4.0 dB, rsrp -79.2 dBm

[2023-09-28 18:38:09.263920] [gNB 1][rsc 0][Rx 0][sfn 962][slot 3] DL PRS ToA ==> -13.0 / 4096 samples, peak channel power -56.2 dBm, SNR +4.0 dB, rsrp -80.3 dBm

[2023-09-28 18:38:09.264364] [gNB 2][rsc 0][Rx 0][sfn 962][slot 4] DL PRS ToA ==> -17.0 / 4096 samples, peak channel power -52.3 dBm, SNR +4.0 dB, rsrp -79.0 dBm

[2023-09-28 18:38:09.264809] [gNB 3][rsc 0][Rx 0][sfn 962][slot 5] DL PRS ToA ==> -18.0 / 4096 samples, peak channel power -55.3 dBm, SNR +4.0 dB, rsrp -81.6 dBm

[2023-09-28 18:38:09.269594] [gNB 0][rsc 0][Rx 0][sfn 963][slot 2] DL PRS ToA ==> -9.0 / 4096 samples, peak channel power -58.8 dBm, SNR -2622080.2 dB, rsrp -80.3 dBm

[2023-09-28 18:38:09.270041] [gNB 1][rsc 0][Rx 0][sfn 963][slot 3] DL PRS ToA ==> -9.0 / 4096 samples, peak channel power -56.5 dBm, SNR -2622080.2 dB, rsrp -81.1 dBm

[2023-09-28 18:38:09.270479] [gNB 2][rsc 0][Rx 0][sfn 963][slot 4] DL PRS ToA ==> -15.0 / 4096 samples, peak channel power -53.9 dBm, SNR +4.0 dB, rsrp -80.8 dBm

[2023-09-28 18:38:09.270893] [gNB 3][rsc 0][Rx 0][sfn 963][slot 5] DL PRS ToA ==> -12.0 / 4096 samples, peak channel power -54.1 dBm, SNR +4.0 dB, rsrp -80.2 dBm

[2023-09-28 18:38:09.276372] [gNB 0][rsc 0][Rx 0][sfn 964][slot 2] DL PRS ToA ==> -9.0 / 4096 samples, peak channel power -57.4 dBm, SNR -2622080.2 dB, rsrp -80.4 dBm

