[2023-09-28 15:44:46.423669] [gNB 1][rsc 0][Rx 0][sfn 397][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:44:46.424047] [gNB 2][rsc 0][Rx 0][sfn 397][slot 4] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -53.7 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.424436] [gNB 3][rsc 0][Rx 0][sfn 397][slot 5] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -55.4 dBm, SNR +4.0 dB, rsrp -77.8 dBm

[2023-09-28 15:44:46.429937] [gNB 0][rsc 0][Rx 0][sfn 398][slot 2] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -54.2 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.430336] [gNB 1][rsc 0][Rx 0][sfn 398][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -84.9 dBm

[2023-09-28 15:44:46.430711] [gNB 2][rsc 0][Rx 0][sfn 398][slot 4] DL PRS ToA ==> 5.0 / 4096 samples, peak channel power -54.2 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.431100] [gNB 3][rsc 0][Rx 0][sfn 398][slot 5] DL PRS ToA ==> 5.0 / 4096 samples, peak channel power -55.4 dBm, SNR -3298746.0 dB, rsrp -77.9 dBm

[2023-09-28 15:44:46.437093] [gNB 0][rsc 0][Rx 0][sfn 399][slot 2] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -54.3 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.437481] [gNB 1][rsc 0][Rx 0][sfn 399][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.4 dBm

[2023-09-28 15:44:46.437859] [gNB 2][rsc 0][Rx 0][sfn 399][slot 4] DL PRS ToA ==> 11.0 / 4096 samples, peak channel power -55.5 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.438305] [gNB 3][rsc 0][Rx 0][sfn 399][slot 5] DL PRS ToA ==> 11.0 / 4096 samples, peak channel power -55.4 dBm, SNR -3298746.0 dB, rsrp -77.8 dBm

[2023-09-28 15:44:46.443259] [gNB 0][rsc 0][Rx 0][sfn 400][slot 2] DL PRS ToA ==> 11.0 / 4096 samples, peak channel power -54.1 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.443639] [gNB 1][rsc 0][Rx 0][sfn 400][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -83.1 dBm

[2023-09-28 15:44:46.444032] [gNB 2][rsc 0][Rx 0][sfn 400][slot 4] DL PRS ToA ==> 11.0 / 4096 samples, peak channel power -53.6 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.444422] [gNB 3][rsc 0][Rx 0][sfn 400][slot 5] DL PRS ToA ==> 10.0 / 4096 samples, peak channel power -55.8 dBm, SNR +4.0 dB, rsrp -77.7 dBm

[2023-09-28 15:44:46.449957] [gNB 0][rsc 0][Rx 0][sfn 401][slot 2] DL PRS ToA ==> 18.0 / 4096 samples, peak channel power -55.3 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.450358] [gNB 1][rsc 0][Rx 0][sfn 401][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.1 dBm

[2023-09-28 15:44:46.450736] [gNB 2][rsc 0][Rx 0][sfn 401][slot 4] DL PRS ToA ==> 16.0 / 4096 samples, peak channel power -53.1 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.451122] [gNB 3][rsc 0][Rx 0][sfn 401][slot 5] DL PRS ToA ==> 16.0 / 4096 samples, peak channel power -54.8 dBm, SNR -3298746.0 dB, rsrp -77.9 dBm

[2023-09-28 15:44:46.456587] [gNB 0][rsc 0][Rx 0][sfn 402][slot 2] DL PRS ToA ==> 13.0 / 4096 samples, peak channel power -54.6 dBm, SNR -3298746.0 dB, rsrp -74.3 dBm

[2023-09-28 15:44:46.456976] [gNB 1][rsc 0][Rx 0][sfn 402][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:44:46.457363] [gNB 2][rsc 0][Rx 0][sfn 402][slot 4] DL PRS ToA ==> 15.0 / 4096 samples, peak channel power -54.1 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.458406] [gNB 3][rsc 0][Rx 0][sfn 402][slot 5] DL PRS ToA ==> 16.0 / 4096 samples, peak channel power -54.7 dBm, SNR -3298746.0 dB, rsrp -78.3 dBm

[2023-09-28 15:44:46.463276] [gNB 0][rsc 0][Rx 0][sfn 403][slot 2] DL PRS ToA ==> 22.0 / 4096 samples, peak channel power -53.3 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.463654] [gNB 1][rsc 0][Rx 0][sfn 403][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -85.1 dBm

[2023-09-28 15:44:46.464046] [gNB 2][rsc 0][Rx 0][sfn 403][slot 4] DL PRS ToA ==> 21.0 / 4096 samples, peak channel power -54.5 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.464439] [gNB 3][rsc 0][Rx 0][sfn 403][slot 5] DL PRS ToA ==> 22.0 / 4096 samples, peak channel power -54.9 dBm, SNR +4.0 dB, rsrp -77.9 dBm

[2023-09-28 15:44:46.469990] [gNB 0][rsc 0][Rx 0][sfn 404][slot 2] DL PRS ToA ==> 22.0 / 4096 samples, peak channel power -53.1 dBm, SNR -3298746.0 dB, rsrp -74.2 dBm

[2023-09-28 15:44:46.470387] [gNB 1][rsc 0][Rx 0][sfn 404][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.1 dBm

