[2023-09-28 16:09:34.075538] [gNB 0][rsc 0][Rx 0][sfn 73][slot 2] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -55.4 dBm, SNR +4.0 dB, rsrp -80.4 dBm

[2023-09-28 16:09:34.076120] [gNB 1][rsc 0][Rx 0][sfn 73][slot 3] DL PRS ToA ==> -63.0 / 4096 samples, peak channel power -69.6 dBm, SNR +4.0 dB, rsrp -86.9 dBm

[2023-09-28 16:09:34.076659] [gNB 2][rsc 0][Rx 0][sfn 73][slot 4] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -55.6 dBm, SNR +4.0 dB, rsrp -81.9 dBm

[2023-09-28 16:09:34.077179] [gNB 3][rsc 0][Rx 0][sfn 73][slot 5] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -59.8 dBm, SNR +4.0 dB, rsrp -87.6 dBm

[2023-09-28 16:09:34.081718] [gNB 0][rsc 0][Rx 0][sfn 74][slot 2] DL PRS ToA ==> -12.0 / 4096 samples, peak channel power -55.5 dBm, SNR +4.0 dB, rsrp -79.7 dBm

[2023-09-28 16:09:34.082277] [gNB 1][rsc 0][Rx 0][sfn 74][slot 3] DL PRS ToA ==> -63.0 / 4096 samples, peak channel power -69.6 dBm, SNR -2622080.2 dB, rsrp -84.4 dBm

[2023-09-28 16:09:34.082760] [gNB 2][rsc 0][Rx 0][sfn 74][slot 4] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -57.3 dBm, SNR +4.0 dB, rsrp -80.8 dBm

[2023-09-28 16:09:34.083237] [gNB 3][rsc 0][Rx 0][sfn 74][slot 5] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -59.6 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 16:09:34.088438] [gNB 0][rsc 0][Rx 0][sfn 75][slot 2] DL PRS ToA ==> -13.0 / 4096 samples, peak channel power -55.8 dBm, SNR -2622080.2 dB, rsrp -80.1 dBm

[2023-09-28 16:09:34.089026] [gNB 1][rsc 0][Rx 0][sfn 75][slot 3] DL PRS ToA ==> -63.0 / 4096 samples, peak channel power -69.7 dBm, SNR +4.0 dB, rsrp -83.7 dBm

[2023-09-28 16:09:34.089691] [gNB 2][rsc 0][Rx 0][sfn 75][slot 4] DL PRS ToA ==> -12.0 / 4096 samples, peak channel power -53.6 dBm, SNR -2622080.2 dB, rsrp -81.0 dBm

[2023-09-28 16:09:34.090171] [gNB 3][rsc 0][Rx 0][sfn 75][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -83.3 dBm

[2023-09-28 16:09:34.094974] [gNB 0][rsc 0][Rx 0][sfn 76][slot 2] DL PRS ToA ==> -12.0 / 4096 samples, peak channel power -53.3 dBm, SNR -2622080.2 dB, rsrp -80.3 dBm

[2023-09-28 16:09:34.095443] [gNB 1][rsc 0][Rx 0][sfn 76][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.0 dB, rsrp -83.8 dBm

[2023-09-28 16:09:34.095953] [gNB 2][rsc 0][Rx 0][sfn 76][slot 4] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -58.3 dBm, SNR -2622080.2 dB, rsrp -81.1 dBm

[2023-09-28 16:09:34.096400] [gNB 3][rsc 0][Rx 0][sfn 76][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -84.5 dBm

[2023-09-28 16:09:34.101645] [gNB 0][rsc 0][Rx 0][sfn 77][slot 2] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -55.0 dBm, SNR -2622080.2 dB, rsrp -80.0 dBm

[2023-09-28 16:09:34.102094] [gNB 1][rsc 0][Rx 0][sfn 77][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.9 dBm

[2023-09-28 16:09:34.102636] [gNB 2][rsc 0][Rx 0][sfn 77][slot 4] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -52.9 dBm, SNR +4.0 dB, rsrp -81.1 dBm

[2023-09-28 16:09:34.103065] [gNB 3][rsc 0][Rx 0][sfn 77][slot 5] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -84.6 dBm

[2023-09-28 16:09:34.108347] [gNB 0][rsc 0][Rx 0][sfn 78][slot 2] DL PRS ToA ==> -12.0 / 4096 samples, peak channel power -52.6 dBm, SNR +4.0 dB, rsrp -79.9 dBm

[2023-09-28 16:09:34.108847] [gNB 1][rsc 0][Rx 0][sfn 78][slot 3] DL PRS ToA ==> -63.0 / 4096 samples, peak channel power -69.9 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

