[2023-09-28 16:15:32.633777] [gNB 0][rsc 0][Rx 0][sfn 603][slot 2] DL PRS ToA ==> -22.0 / 4096 samples, peak channel power -53.4 dBm, SNR +4.0 dB, rsrp -80.0 dBm

[2023-09-28 16:15:32.634326] [gNB 1][rsc 0][Rx 0][sfn 603][slot 3] DL PRS ToA ==> -22.0 / 4096 samples, peak channel power -56.4 dBm, SNR +4.0 dB, rsrp -81.5 dBm

[2023-09-28 16:15:32.634790] [gNB 2][rsc 0][Rx 0][sfn 603][slot 4] DL PRS ToA ==> -22.0 / 4096 samples, peak channel power -52.3 dBm, SNR +4.0 dB, rsrp -81.3 dBm

[2023-09-28 16:15:32.635309] [gNB 3][rsc 0][Rx 0][sfn 603][slot 5] DL PRS ToA ==> -22.0 / 4096 samples, peak channel power -59.6 dBm, SNR +4.0 dB, rsrp -85.2 dBm

[2023-09-28 16:15:32.640112] [gNB 0][rsc 0][Rx 0][sfn 604][slot 2] DL PRS ToA ==> -22.0 / 4096 samples, peak channel power -53.3 dBm, SNR +4.0 dB, rsrp -80.5 dBm

[2023-09-28 16:15:32.640608] [gNB 1][rsc 0][Rx 0][sfn 604][slot 3] DL PRS ToA ==> -22.0 / 4096 samples, peak channel power -54.8 dBm, SNR -2622080.2 dB, rsrp -81.4 dBm

[2023-09-28 16:15:32.641257] [gNB 2][rsc 0][Rx 0][sfn 604][slot 4] DL PRS ToA ==> -22.0 / 4096 samples, peak channel power -52.1 dBm, SNR +4.0 dB, rsrp -80.4 dBm

[2023-09-28 16:15:32.641710] [gNB 3][rsc 0][Rx 0][sfn 604][slot 5] DL PRS ToA ==> -22.0 / 4096 samples, peak channel power -58.8 dBm, SNR +4.0 dB, rsrp -86.1 dBm

[2023-09-28 16:15:32.646675] [gNB 0][rsc 0][Rx 0][sfn 605][slot 2] DL PRS ToA ==> -22.0 / 4096 samples, peak channel power -54.4 dBm, SNR -2622080.2 dB, rsrp -80.1 dBm

[2023-09-28 16:15:32.647121] [gNB 1][rsc 0][Rx 0][sfn 605][slot 3] DL PRS ToA ==> -23.0 / 4096 samples, peak channel power -54.9 dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-28 16:15:32.647549] [gNB 2][rsc 0][Rx 0][sfn 605][slot 4] DL PRS ToA ==> -22.0 / 4096 samples, peak channel power -52.6 dBm, SNR +4.0 dB, rsrp -81.2 dBm

[2023-09-28 16:15:32.648505] [gNB 3][rsc 0][Rx 0][sfn 605][slot 5] DL PRS ToA ==> -22.0 / 4096 samples, peak channel power -58.9 dBm, SNR -2622080.2 dB, rsrp -84.7 dBm

[2023-09-28 16:15:32.653759] [gNB 0][rsc 0][Rx 0][sfn 606][slot 2] DL PRS ToA ==> -23.0 / 4096 samples, peak channel power -56.7 dBm, SNR +4.0 dB, rsrp -79.5 dBm

[2023-09-28 16:15:32.654238] [gNB 1][rsc 0][Rx 0][sfn 606][slot 3] DL PRS ToA ==> -23.0 / 4096 samples, peak channel power -54.1 dBm, SNR -2622080.2 dB, rsrp -81.7 dBm

[2023-09-28 16:15:32.654667] [gNB 2][rsc 0][Rx 0][sfn 606][slot 4] DL PRS ToA ==> -22.0 / 4096 samples, peak channel power -53.4 dBm, SNR +4.0 dB, rsrp -81.3 dBm

[2023-09-28 16:15:32.655175] [gNB 3][rsc 0][Rx 0][sfn 606][slot 5] DL PRS ToA ==> -22.0 / 4096 samples, peak channel power -59.2 dBm, SNR +4.0 dB, rsrp -84.8 dBm

[2023-09-28 16:15:32.660026] [gNB 0][rsc 0][Rx 0][sfn 607][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.2 dBm

[2023-09-28 16:15:32.660451] [gNB 1][rsc 0][Rx 0][sfn 607][slot 3] DL PRS ToA ==> -23.0 / 4096 samples, peak channel power -52.8 dBm, SNR +4.0 dB, rsrp -80.4 dBm

[2023-09-28 16:15:32.660875] [gNB 2][rsc 0][Rx 0][sfn 607][slot 4] DL PRS ToA ==> -22.0 / 4096 samples, peak channel power -55.2 dBm, SNR -2622080.2 dB, rsrp -81.3 dBm

[2023-09-28 16:15:32.661305] [gNB 3][rsc 0][Rx 0][sfn 607][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -84.2 dBm

[2023-09-28 16:15:32.666687] [gNB 0][rsc 0][Rx 0][sfn 608][slot 2] DL PRS ToA ==> -24.0 / 4096 samples, peak channel power -56.6 dBm, SNR -2622080.2 dB, rsrp -80.2 dBm

[2023-09-28 16:15:32.667107] [gNB 1][rsc 0][Rx 0][sfn 608][slot 3] DL PRS ToA ==> -23.0 / 4096 samples, peak channel power -53.7 dBm, SNR -2622080.2 dB, rsrp -81.7 dBm

[2023-09-28 16:15:32.667532] [gNB 2][rsc 0][Rx 0][sfn 608][slot 4] DL PRS ToA ==> -23.0 / 4096 samples, peak channel power -57.0 dBm, SNR +4.0 dB, rsrp -81.4 dBm

[2023-09-28 16:15:32.667947] [gNB 3][rsc 0][Rx 0][sfn 608][slot 5] DL PRS ToA ==> -23.0 / 4096 samples, peak channel power -60.2 dBm, SNR -2622080.2 dB, rsrp -84.6 dBm

[2023-09-28 16:15:32.673385] [gNB 0][rsc 0][Rx 0][sfn 609][slot 2] DL PRS ToA ==> -24.0 / 4096 samples, peak channel power -56.2 dBm, SNR -2622080.2 dB, rsrp -80.3 dBm

[2023-09-28 16:15:32.673828] [gNB 1][rsc 0][Rx 0][sfn 609][slot 3] DL PRS ToA ==> -24.0 / 4096 samples, peak channel power -54.9 dBm, SNR +4.0 dB, rsrp -81.4 dBm

[2023-09-28 16:15:32.674248] [gNB 2][rsc 0][Rx 0][sfn 609][slot 4] DL PRS ToA ==> -23.0 / 4096 samples, peak channel power -58.0 dBm, SNR -2622080.2 dB, rsrp -81.2 dBm

[2023-09-28 16:15:32.674666] [gNB 3][rsc 0][Rx 0][sfn 609][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -84.3 dBm

[2023-09-28 16:15:32.679983] [gNB 0][rsc 0][Rx 0][sfn 610][slot 2] DL PRS ToA ==> -23.0 / 4096 samples, peak channel power -55.0 dBm, SNR -2622080.2 dB, rsrp -80.2 dBm

[2023-09-28 16:15:32.680403] [gNB 1][rsc 0][Rx 0][sfn 610][slot 3] DL PRS ToA ==> -24.0 / 4096 samples, peak channel power -53.6 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-28 16:15:32.680829] [gNB 2][rsc 0][Rx 0][sfn 610][slot 4] DL PRS ToA ==> -24.0 / 4096 samples, peak channel power -57.8 dBm, SNR +4.0 dB, rsrp -80.4 dBm

[2023-09-28 16:15:32.681274] [gNB 3][rsc 0][Rx 0][sfn 610][slot 5] DL PRS ToA ==> -23.0 / 4096 samples, peak channel power -58.9 dBm, SNR -2622080.2 dB, rsrp -84.6 dBm

[2023-09-28 16:15:32.686694] [gNB 0][rsc 0][Rx 0][sfn 611][slot 2] DL PRS ToA ==> -23.0 / 4096 samples, peak channel power -58.9 dBm, SNR +4.0 dB, rsrp -80.2 dBm

[2023-09-28 16:15:32.687155] [gNB 1][rsc 0][Rx 0][sfn 611][slot 3] DL PRS ToA ==> -24.0 / 4096 samples, peak channel power -54.3 dBm, SNR +4.0 dB, rsrp -81.5 dBm

[2023-09-28 16:15:32.687580] [gNB 2][rsc 0][Rx 0][sfn 611][slot 4] DL PRS ToA ==> -24.0 / 4096 samples, peak channel power -55.3 dBm, SNR -2622080.2 dB, rsrp -81.3 dBm

[2023-09-28 16:15:32.688131] [gNB 3][rsc 0][Rx 0][sfn 611][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -84.2 dBm

[2023-09-28 16:15:32.693302] [gNB 0][rsc 0][Rx 0][sfn 612][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.3 dBm

[2023-09-28 16:15:32.693728] [gNB 1][rsc 0][Rx 0][sfn 612][slot 3] DL PRS ToA ==> -25.0 / 4096 samples, peak channel power -55.1 dBm, SNR -2622080.2 dB, rsrp -81.8 dBm

[2023-09-28 16:15:32.694141] [gNB 2][rsc 0][Rx 0][sfn 612][slot 4] DL PRS ToA ==> -24.0 / 4096 samples, peak channel power -55.5 dBm, SNR +4.0 dB, rsrp -80.9 dBm

[2023-09-28 16:15:32.696156] [gNB 3][rsc 0][Rx 0][sfn 612][slot 5] DL PRS ToA ==> -24.0 / 4096 samples, peak channel power -60.1 dBm, SNR -2622080.2 dB, rsrp -84.7 dBm

[2023-09-28 16:15:32.700010] [gNB 0][rsc 0][Rx 0][sfn 613][slot 2] DL PRS ToA ==> -25.0 / 4096 samples, peak channel power -56.0 dBm, SNR +4.0 dB, rsrp -80.5 dBm

[2023-09-28 16:15:32.700431] [gNB 1][rsc 0][Rx 0][sfn 613][slot 3] DL PRS ToA ==> -24.0 / 4096 samples, peak channel power -55.3 dBm, SNR -2622080.2 dB, rsrp -81.7 dBm

[2023-09-28 16:15:32.700842] [gNB 2][rsc 0][Rx 0][sfn 613][slot 4] DL PRS ToA ==> -24.0 / 4096 samples, peak channel power -57.8 dBm, SNR -2622080.2 dB, rsrp -81.4 dBm

[2023-09-28 16:15:32.701267] [gNB 3][rsc 0][Rx 0][sfn 613][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.8 dBm

[2023-09-28 16:15:32.706714] [gNB 0][rsc 0][Rx 0][sfn 614][slot 2] DL PRS ToA ==> -25.0 / 4096 samples, peak channel power -55.0 dBm, SNR -2622080.2 dB, rsrp -80.2 dBm

[2023-09-28 16:15:32.707136] [gNB 1][rsc 0][Rx 0][sfn 614][slot 3] DL PRS ToA ==> -25.0 / 4096 samples, peak channel power -54.9 dBm, SNR -2622080.2 dB, rsrp -81.6 dBm

[2023-09-28 16:15:32.707553] [gNB 2][rsc 0][Rx 0][sfn 614][slot 4] DL PRS ToA ==> -24.0 / 4096 samples, peak channel power -57.7 dBm, SNR -2622080.2 dB, rsrp -81.4 dBm

[2023-09-28 16:15:32.707976] [gNB 3][rsc 0][Rx 0][sfn 614][slot 5] DL PRS ToA ==> -24.0 / 4096 samples, peak channel power -59.0 dBm, SNR -2622080.2 dB, rsrp -84.8 dBm

