[2023-09-28 17:18:37.645056] [gNB 0][rsc 0][Rx 0][sfn 896][slot 2] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.5 dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-28 17:18:37.645484] [gNB 1][rsc 0][Rx 0][sfn 896][slot 3] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -53.3 dBm, SNR +4.0 dB, rsrp -77.7 dBm

[2023-09-28 17:18:37.646030] [gNB 2][rsc 0][Rx 0][sfn 896][slot 4] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -50.1 dBm, SNR +4.0 dB, rsrp -75.3 dBm

[2023-09-28 17:18:37.646492] [gNB 3][rsc 0][Rx 0][sfn 896][slot 5] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -47.7 dBm, SNR +4.0 dB, rsrp -73.1 dBm

[2023-09-28 17:18:37.655004] [gNB 0][rsc 0][Rx 0][sfn 897][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -74.8 dBm

[2023-09-28 17:18:37.655453] [gNB 1][rsc 0][Rx 0][sfn 897][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.6 dBm

[2023-09-28 17:18:37.656018] [gNB 2][rsc 0][Rx 0][sfn 897][slot 4] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -50.7 dBm, SNR +4.0 dB, rsrp -74.6 dBm

[2023-09-28 17:18:37.656501] [gNB 3][rsc 0][Rx 0][sfn 897][slot 5] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -47.9 dBm, SNR +4.0 dB, rsrp -73.0 dBm

[2023-09-28 17:18:37.664964] [gNB 0][rsc 0][Rx 0][sfn 898][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -74.8 dBm

[2023-09-28 17:18:37.665449] [gNB 1][rsc 0][Rx 0][sfn 898][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.4 dBm

[2023-09-28 17:18:37.666000] [gNB 2][rsc 0][Rx 0][sfn 898][slot 4] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -50.8 dBm, SNR +4.0 dB, rsrp -74.2 dBm

[2023-09-28 17:18:37.666455] [gNB 3][rsc 0][Rx 0][sfn 898][slot 5] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -48.0 dBm, SNR +4.0 dB, rsrp -72.6 dBm

[2023-09-28 17:18:37.674973] [gNB 0][rsc 0][Rx 0][sfn 899][slot 2] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -51.4 dBm, SNR +4.0 dB, rsrp -75.1 dBm

[2023-09-28 17:18:37.675460] [gNB 1][rsc 0][Rx 0][sfn 899][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-28 17:18:37.675940] [gNB 2][rsc 0][Rx 0][sfn 899][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -51.2 dBm, SNR +4.0 dB, rsrp -74.9 dBm

[2023-09-28 17:18:37.676492] [gNB 3][rsc 0][Rx 0][sfn 899][slot 5] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -48.1 dBm, SNR +4.0 dB, rsrp -72.6 dBm

[2023-09-28 17:18:37.684944] [gNB 0][rsc 0][Rx 0][sfn 900][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -74.5 dBm

[2023-09-28 17:18:37.685463] [gNB 1][rsc 0][Rx 0][sfn 900][slot 3] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -53.2 dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-28 17:18:37.685947] [gNB 2][rsc 0][Rx 0][sfn 900][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -50.7 dBm, SNR +4.0 dB, rsrp -74.5 dBm

