[2023-09-28 19:02:17.117632] [gNB 1][rsc 0][Rx 0][sfn 23][slot 3] DL PRS ToA ==> -3.0 / 4096 samples, peak channel power -56.9 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-28 19:02:17.118343] [gNB 2][rsc 0][Rx 0][sfn 23][slot 4] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -55.0 dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

[2023-09-28 19:02:17.118998] [gNB 3][rsc 0][Rx 0][sfn 23][slot 5] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -56.6 dBm, SNR -2622080.2 dB, rsrp -83.6 dBm

[2023-09-28 19:02:17.123630] [gNB 0][rsc 0][Rx 0][sfn 24][slot 2] DL PRS ToA ==> -3.0 / 4096 samples, peak channel power -55.2 dBm, SNR +4.0 dB, rsrp -75.9 dBm

[2023-09-28 19:02:17.124269] [gNB 1][rsc 0][Rx 0][sfn 24][slot 3] DL PRS ToA ==> -3.0 / 4096 samples, peak channel power -56.5 dBm, SNR +4.0 dB, rsrp -81.9 dBm

[2023-09-28 19:02:17.124907] [gNB 2][rsc 0][Rx 0][sfn 24][slot 4] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -54.8 dBm, SNR +4.0 dB, rsrp -82.7 dBm

[2023-09-28 19:02:17.125545] [gNB 3][rsc 0][Rx 0][sfn 24][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.1 dBm

[2023-09-28 19:02:17.130299] [gNB 0][rsc 0][Rx 0][sfn 25][slot 2] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -55.3 dBm, SNR -2622080.2 dB, rsrp -76.4 dBm

[2023-09-28 19:02:17.130952] [gNB 1][rsc 0][Rx 0][sfn 25][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -56.7 dBm, SNR +4.0 dB, rsrp -82.5 dBm

[2023-09-28 19:02:17.131572] [gNB 2][rsc 0][Rx 0][sfn 25][slot 4] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -54.4 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-28 19:02:17.132194] [gNB 3][rsc 0][Rx 0][sfn 25][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -57.0 dBm, SNR -2622080.2 dB, rsrp -83.6 dBm

[2023-09-28 19:02:17.136964] [gNB 0][rsc 0][Rx 0][sfn 26][slot 2] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -54.4 dBm, SNR -2622080.2 dB, rsrp -76.7 dBm

[2023-09-28 19:02:17.137625] [gNB 1][rsc 0][Rx 0][sfn 26][slot 3] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -58.2 dBm, SNR -2622080.2 dB, rsrp -82.4 dBm

[2023-09-28 19:02:17.138249] [gNB 2][rsc 0][Rx 0][sfn 26][slot 4] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -53.9 dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

[2023-09-28 19:02:17.138866] [gNB 3][rsc 0][Rx 0][sfn 26][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -56.6 dBm, SNR -2622080.2 dB, rsrp -83.5 dBm

[2023-09-28 19:02:17.143617] [gNB 0][rsc 0][Rx 0][sfn 27][slot 2] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -54.7 dBm, SNR -2622080.2 dB, rsrp -76.5 dBm

[2023-09-28 19:02:17.144283] [gNB 1][rsc 0][Rx 0][sfn 27][slot 3] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -56.9 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

