[2023-09-28 14:14:34.248402] [gNB 0][rsc 0][Rx 0][sfn 341][slot 2] DL PRS ToA ==> -3.0 / 4096 samples, peak channel power -54.5 dBm, SNR +4.0 dB, rsrp -77.6 dBm

[2023-09-28 14:14:34.248819] [gNB 1][rsc 0][Rx 0][sfn 341][slot 3] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -55.3 dBm, SNR +4.0 dB, rsrp -82.8 dBm

[2023-09-28 14:14:34.249261] [gNB 2][rsc 0][Rx 0][sfn 341][slot 4] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -53.4 dBm, SNR +4.0 dB, rsrp -81.1 dBm

[2023-09-28 14:14:34.249679] [gNB 3][rsc 0][Rx 0][sfn 341][slot 5] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -57.1 dBm, SNR +4.0 dB, rsrp -84.4 dBm

[2023-09-28 14:14:34.255056] [gNB 0][rsc 0][Rx 0][sfn 342][slot 2] DL PRS ToA ==> -3.0 / 4096 samples, peak channel power -55.3 dBm, SNR -2622080.2 dB, rsrp -78.1 dBm

[2023-09-28 14:14:34.255375] [gNB 1][rsc 0][Rx 0][sfn 342][slot 3] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -55.1 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-28 14:14:34.255692] [gNB 2][rsc 0][Rx 0][sfn 342][slot 4] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -52.7 dBm, SNR -2622080.2 dB, rsrp -81.2 dBm

[2023-09-28 14:14:34.256246] [gNB 3][rsc 0][Rx 0][sfn 342][slot 5] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -57.5 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 14:14:34.261616] [gNB 0][rsc 0][Rx 0][sfn 343][slot 2] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -56.0 dBm, SNR -2622080.2 dB, rsrp -78.2 dBm

[2023-09-28 14:14:34.261956] [gNB 1][rsc 0][Rx 0][sfn 343][slot 3] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -55.3 dBm, SNR -2622080.2 dB, rsrp -82.8 dBm

[2023-09-28 14:14:34.262375] [gNB 2][rsc 0][Rx 0][sfn 343][slot 4] DL PRS ToA ==> -1.0 / 4096 samples, peak channel power -52.5 dBm, SNR -2622080.2 dB, rsrp -81.3 dBm

[2023-09-28 14:14:34.262728] [gNB 3][rsc 0][Rx 0][sfn 343][slot 5] DL PRS ToA ==> -2.0 / 4096 samples, peak channel power -57.7 dBm, SNR -2622080.2 dB, rsrp -83.8 dBm

