Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,11.35n,597,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,39.18n,597,
Delay(Ch1,Ch2),64.33ms,64.417794m,64.33m,66.08m,93.29µ,597,

