Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,11.86n,658,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,37.08n,658,
Delay(Ch1,Ch2),64.15ms,64.238482m,64.15m,66.08m,93.31µ,658,

