Measurements,Value,Mean,Minimum,Maximum,Std. Dev.,Count
Freq(Ch2),1.0Hz,1.0000008,1.0,1.0,10.17n,849,
Freq(Ch1),1.0Hz,1.0000002,1.0,1.0,36.6n,849,
Delay(Ch1,Ch2),63.59ms,63.677675m,63.59m,66.08m,93.13µ,849,

